rank,team_raw,norm_key,sp_plus_overall,sp_plus_off,sp_plus_def
1,Alabama,alabama,31.7,44.8,13.1
2,Clemson,clemson,28.6,41.9,13.3
3,Oklahoma,oklahoma,28.6,46.5,17.9
4,Ohio St.,ohiostate,26.5,46.6,20.0
5,Georgia,georgia,25.4,38.8,13.4
6,Wisconsin,wisconsin,22.4,34.9,12.4
7,Iowa St.,iowastate,22.0,41.0,19.0
8,Miami,miamifl,21.8,39.0,17.1
9,Texas A&M,texasam,21.6,36.7,15.1
10,Penn St.,pennstate,21.2,36.4,15.2
11,N. Carolina,northcarolina,21.0,44.4,23.4
12,Florida,florida,20.7,41.7,21.0
13,Washington,washington,20.2,39.7,19.5
14,USC,usc,19.7,40.4,20.7
15,Oregon,oregon,19.0,38.0,19.0
16,Iowa,iowa,18.4,30.6,12.1
17,Michigan,michigan,18.3,35.4,17.1
18,Notre Dame,notredame,17.1,35.4,18.3
19,Cincinnati,cincinnati,17.0,33.6,16.5
20,Texas,texas,16.7,38.2,21.5
21,Utah,utah,16.7,34.3,17.6
22,Arizona St.,arizonastate,16.3,35.2,18.9
23,Auburn,auburn,15.7,34.0,18.3
24,Minnesota,minnesota,15.5,39.0,23.5
25,Ole Miss,olemiss,15.1,40.6,25.5
26,LSU,lsu,14.6,36.3,21.7
27,Oklahoma St.,oklahomastate,14.1,31.5,17.4
28,Indiana,indiana,13.8,34.5,20.7
29,UCLA,ucla,13.3,40.1,26.7
30,Louisiana,louisiana,13.0,35.1,22.2
31,BYU,byu,12.9,36.1,23.1
32,Nebraska,nebraska,12.4,32.7,20.2
33,Va. Tech,virginiatech,11.8,35.5,23.7
34,UCF,ucf,11.5,39.5,28.0
35,TCU,tcu,11.2,30.2,19.0
36,App. St.,appalachianstate,10.8,30.7,20.0
37,Coastal Caro.,coastalcarolina,10.6,37.6,27.1
38,Maryland,maryland,9.2,31.3,22.1
39,Boise St.,boisestate,8.9,32.7,23.8
40,Pittsburgh,pittsburgh,8.5,28.7,20.2
41,Tennessee,tennessee,8.3,28.8,20.5
42,Louisville,louisville,8.2,38.2,30.0
43,W. Virginia,westvirginia,8.2,29.0,20.8
44,Miss. St.,mississippistate,8.1,28.5,20.4
45,Wash. St.,washingtonstate,7.9,39.1,31.1
46,NC St.,ncstate,7.8,29.5,21.7
47,Memphis,memphis,7.7,29.1,21.3
48,Arkansas,arkansas,7.7,29.8,22.2
49,Baylor,baylor,7.0,25.0,18.0
50,Florida St.,floridastate,6.7,33.4,26.7
51,Michigan St.,michiganstate,6.6,24.8,18.2
52,Purdue,purdue,6.1,35.0,28.9
53,California,california,6.0,31.7,25.6
54,Liberty,liberty,5.8,34.0,28.2
55,Tulane,tulane,5.8,34.1,28.3
56,Virginia,virginia,5.8,32.5,26.6
57,SMU,smu,5.4,32.9,27.5
58,Kentucky,kentucky,5.1,27.7,22.6
59,Missouri,missouri,5.0,28.8,23.8
60,Boston Coll.,bostoncollege,4.6,36.0,31.3
61,Kansas St.,kansasstate,4.0,31.5,27.5
62,Ga. Tech,georgiatech,4.0,28.4,24.4
63,Houston,houston,3.7,29.5,25.8
64,Stanford,stanford,3.3,32.3,29.1
65,Troy,troy,2.8,27.3,24.5
66,Toledo,toledo,2.7,29.0,26.3
67,Nevada,nevada,2.6,29.8,27.2
68,UAB,uab,2.5,21.7,19.2
69,Colorado,colorado,2.3,26.9,24.6
70,Texas Tech,texastech,2.3,30.4,28.1
71,Tulsa,tulsa,2.2,24.5,22.3
72,WMU,westernmichigan,1.8,32.8,31.0
73,SDSU,sandiegostate,1.8,18.2,16.4
74,Wake Forest,wakeforest,1.6,29.0,27.4
75,FAU,floridaatlantic,1.1,24.4,23.3
76,Northwestern,northwestern,1.0,18.1,17.2
77,Wyoming,wyoming,0.9,22.2,21.3
78,Oregon St.,oregonstate,0.6,34.4,33.8
79,Georgia St.,georgiastate,0.5,33.0,32.5
80,Marshall,marshall,0.1,22.9,22.8
81,Illinois,illinois,-0.2,28.0,28.3
82,Fresno St.,fresnostate,-0.5,32.0,32.5
83,Rutgers,rutgers,-0.7,25.2,25.9
84,SJSU,sanjosestate,-0.8,27.8,28.7
85,Ohio,ohio,-1.2,30.5,31.7
86,Ball St.,ballstate,-1.3,29.8,31.1
87,Army,army,-1.3,23.0,24.3
88,Buffalo,buffalo,-1.5,26.5,27.9
