year,week,player,team,conf,opp,pts,opp_pts,yds,att
2020,1,Trae Self,Stephen F. Austin,Southland,UTEP,14,24,133.0,21.0
2020,1,Gavin Hardison,UTEP,Conference USA,Stephen F. Austin,24,14,212.0,28.0
2020,1,Dalen Morris,Navy,American Athletic,BYU,3,55,16.0,4.0
2020,1,Perry Olsen,Navy,American Athletic,BYU,3,55,14.0,4.0
2020,1,Zach Wilson,BYU,FBS Independents,Navy,55,3,232.0,18.0
2020,1,Baylor Romney,BYU,FBS Independents,Navy,55,3,47.0,4.0
2020,1,Christian Anderson,Army,FBS Independents,Middle Tennessee,42,0,28.0,4.0
2020,1,Chase Cunningham,Middle Tennessee,Conference USA,Army,0,42,63.0,10.0
2020,1,Asher O'Hara,Middle Tennessee,Conference USA,Army,0,42,46.0,14.0
2020,1,Bailey Zappe,Houston Christian,Southland,North Texas,31,57,480.0,62.0
2020,1,Jason Bean,North Texas,Conference USA,Houston Christian,57,31,217.0,18.0
2020,1,Austin Aune,North Texas,Conference USA,Houston Christian,57,31,111.0,11.0
2020,1,Kason Martin,North Texas,Conference USA,Houston Christian,57,31,33.0,5.0
2020,1,Layne Hatcher,Arkansas State,Sun Belt,Memphis,24,37,166.0,21.0
2020,1,Logan Bonner,Arkansas State,Sun Belt,Memphis,24,37,133.0,23.0
2020,1,Brady White,Memphis,American Athletic,Arkansas State,37,24,275.0,36.0
2020,1,Brady McBride,Texas State,Sun Belt,SMU,24,31,227.0,39.0
2020,1,Shane Buechele,SMU,American Athletic,Texas State,31,24,367.0,36.0
2020,1,Breylin Smith,Central Arkansas,Southland,UAB,35,45,193.0,46.0
2020,1,Tyler Johnston III,UAB,Conference USA,Central Arkansas,45,35,143.0,25.0
2020,1,Bryson Lucero,UAB,Conference USA,Central Arkansas,45,35,83.0,9.0
2020,1,Jack Abraham,Southern Miss,Conference USA,South Alabama,21,32,314.0,32.0
2020,1,Desmond Trotter,South Alabama,Sun Belt,Southern Miss,32,21,299.0,27.0
2020,1,Chance Lovertich,South Alabama,Sun Belt,Southern Miss,32,21,64.0,3.0
2020,1,Grant Wells,Marshall,Conference USA,Eastern Kentucky,59,0,307.0,23.0
2020,1,Luke Zban,Marshall,Conference USA,Eastern Kentucky,59,0,38.0,6.0
2020,1,Parker McKinney,Eastern Kentucky,OVC,Marshall,0,59,71.0,10.0
2020,1,Dakota Allen,Eastern Kentucky,OVC,Marshall,0,59,9.0,5.0
2020,1,Jacquez Jones,Eastern Kentucky,OVC,Marshall,0,59,0.0,1.0
2020,10,Dustin Crum,Kent State,Mid-American,Eastern Michigan,27,23,219.0,29.0
2020,10,Preston Hutchinson,Eastern Michigan,Mid-American,Kent State,23,27,241.0,35.0
2020,10,Zach Gibson,Akron,Mid-American,Western Michigan,13,58,125.0,30.0
2020,10,T.J. DeShields,Akron,Mid-American,Western Michigan,13,58,1.0,2.0
2020,10,Kaleb Eleby,Western Michigan,Mid-American,Akron,58,13,262.0,16.0
2020,10,Nick Kargman,Western Michigan,Mid-American,Akron,58,13,4.0,3.0
2020,10,Ross Bowers,Northern Illinois,Mid-American,Buffalo,30,49,202.0,28.0
2020,10,Rodney Thompson,Northern Illinois,Mid-American,Buffalo,30,49,34.0,2.0
2020,10,Andrew Haidet,Northern Illinois,Mid-American,Buffalo,30,49,5.0,3.0
2020,10,Kyle Vantrease,Buffalo,Mid-American,Northern Illinois,49,30,175.0,17.0
2020,10,Daniel Richardson,Central Michigan,Mid-American,Ohio,30,27,243.0,41.0
2020,10,Kurtis Rourke,Ohio,Mid-American,Central Michigan,27,30,239.0,19.0
2020,10,Armani Rogers,Ohio,Mid-American,Central Michigan,27,30,4.0,3.0
2020,10,Drew Plitt,Ball State,Mid-American,Miami (OH),31,38,309.0,32.0
2020,10,AJ Mayer,Miami (OH),Mid-American,Ball State,38,31,212.0,24.0
2020,10,Brett Gabbert,Miami (OH),Mid-American,Ball State,38,31,76.0,8.0
2020,10,Eli Peters,Toledo,Mid-American,Bowling Green,38,3,214.0,32.0
2020,10,Matt McDonald,Bowling Green,Mid-American,Toledo,3,38,128.0,30.0
