team,rating,band,tier,note
Abilene Christian,-34,9.0,good,
Alabama A&M,-48,12.0,low,
Alabama State,-41,10.0,mid,
Alcorn State,-44,10.0,low,
Arkansas-Pine Bluff,-47,12.0,low,
Austin Peay,-31,9.0,good,
Bethune-Cookman,-45,10.0,low,
Bryant,-43,10.0,low,
Bucknell,-46,12.0,low,
Cal Poly,-44,10.0,low,
Campbell,-43,10.0,low,
Central Arkansas,-40,10.0,mid,
Central Connecticut,-46,12.0,low,
Charleston Southern,-43,10.0,low,
Chattanooga,-37,9.0,mid,
Colgate,-45,10.0,low,
Delaware State,-49,12.0,low,
Duquesne,-43,10.0,low,
ETSU,-40,10.0,mid,
East Tennessee State,-40,10.0,mid,
East Texas A&M,-41,10.0,mid,
Eastern Illinois,-45,10.0,low,
Eastern Kentucky,-41,10.0,mid,
Eastern Washington,-34,9.0,good,
Elon,-40,10.0,mid,
Florida A&M,-40,10.0,mid,
Fordham,-40,10.0,mid,
Furman,-33,9.0,good,
Gardner-Webb,-42,10.0,mid,
Grambling,-41,10.0,mid,
Hampton,-45,10.0,low,
Holy Cross,-37,9.0,mid,
Houston Christian,-47,12.0,low,
Howard,-42,10.0,mid,
Idaho,-29,9.0,good,
Idaho State,-35,9.0,good,
Illinois State,-24,9.0,strong,
Incarnate Word,-30,9.0,good,
Indiana State,-42,10.0,mid,
Lafayette,-44,10.0,low,
Lamar,-32,9.0,good,
Lindenwood,-46,12.0,low,
Long Island University,-48,12.0,low,
Maine,-43,10.0,low,
McNeese,-38,10.0,mid,
Mercer,-35,9.0,good,
Mercyhurst,-50,12.0,low,
Merrimack,-47,12.0,low,
Mississippi Valley State,-52,12.0,low,
Monmouth,-35,9.0,good,
Montana,-19,9.0,elite,
Montana State,-18,9.0,elite,
Morgan State,-45,10.0,low,
Murray State,-41,10.0,mid,
New Hampshire,-40,10.0,mid,
Nicholls,-38,10.0,mid,
Norfolk State,-42,10.0,mid,
North Alabama,-42,10.0,mid,
North Carolina A&T,-44,10.0,low,
North Carolina Central,-41,10.0,mid,
North Dakota,-26,9.0,strong,
Northern Arizona,-39,10.0,mid,
Northern Colorado,-44,10.0,low,
Northern Iowa,-31,9.0,good,
Northwestern State,-45,10.0,low,
Portland State,-41,10.0,mid,
Prairie View A&M,-44,10.0,low,
Rhode Island,-26,9.0,strong,
Richmond,-37,9.0,mid,
Robert Morris,-46,12.0,low,
SE Louisiana,-33,9.0,good,
Sacred Heart,-45,10.0,low,
Samford,-35,9.0,good,
South Dakota,-28,9.0,strong,
South Dakota State,-20,9.0,elite,
Southeast Missouri State,-40,10.0,mid,
Southern,-42,10.0,mid,
Southern Illinois,-29,9.0,good,
Southern Utah,-44,10.0,low,
Stonehill,-49,12.0,low,
Stony Brook,-37,9.0,mid,
Tarleton State,-27,9.0,strong,
Tennessee State,-42,10.0,mid,
Tennessee Tech,-33,9.0,good,
Texas Southern,-46,12.0,low,
The Citadel,-42,10.0,mid,
Towson,-40,10.0,mid,
UAlbany,-38,10.0,mid,
UC Davis,-24,9.0,strong,
UT Martin,-34,9.0,good,
UT Rio Grande Valley,-41,10.0,mid,
Utah Tech,-47,12.0,low,
VMI,-46,12.0,low,
Villanova,-26,9.0,strong,
Wagner,-48,12.0,low,
Weber State,-34,9.0,good,
West Georgia,-46,12.0,low,
Western Carolina,-35,9.0,good,
Western Illinois,-45,10.0,low,
William & Mary,-33,9.0,good,
Wofford,-40,10.0,mid,
Youngstown State,-28,9.0,strong,
