team1,team2,favorite,line,price,book
Alabama,Clemson,Alabama,0.5,-110,DK
Arkansas,Auburn,Auburn,2.5,-115,DK
Florida,Tennessee,Tennessee,0.5,-115,DK
Georgia,Ohio State,Georgia,0.5,130,DK
LSU,Ole Miss,LSU,0.5,100,DK
Kansas,Missouri,Missouri,1.5,105,DK
Texas,Texas Tech,Texas Tech,1.5,-140,DK
Texas A&M,Kansas State,Texas A&M,0.5,-115,DK
Indiana,Miami Florida,Indiana,0.5,100,DK
Iowa,Oklahoma State,Iowa,1.5,-150,DK
Michigan,Utah,Utah,1.5,110,DK
Nebraska,Oregon,Oregon,4.5,125,DK
Penn State,Virginia Tech,Penn State,2.5,-115,DK
USC,Notre Dame,Notre Dame,2.5,-160,DK
Colorado,North Carolina,North Carolina,0.5,-110,DK
