player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Mason White,43872,S,OREGON ST,11,5,0,80.0,0,1,265,0,0,81.1,69.2,81.8,68.1,43.3,73.7,0,0,0,0,18,11.1,3,2,0,92.5,4,0,0,91,3,83,194,0,0,0,0,0,55,194,4,107,44,6,19,1,5,0,0,31,18,7.8
James Camden,53418,LB,W MICHIGAN,14,23,0,76.2,0,2,347,1,0,78.3,80.5,54.6,77.0,74.9,66.9,2,8,0,0,24,13.5,13,0,1,111.0,16,5,0,560,2,274,653,21,0,0,21,0,0,632,67,312,70,39,60,2,21,15,1,149,96,9.3
Iesa Jarmon,53981,CB,AKRON,1,0,0,100.0,0,0,102,0,0,43.4,43.4,71.0,,60.0,,0,0,0,0,37,,0,0,0,158.3,2,0,0,1,11,8,12,0,0,0,0,0,0,12,0,4,0,0,0,0,2,0,2,49,21,24.5
Malik Denkins,55516,ED,C MICHIGAN,8,3,0,,0,0,134,0,0,61.2,62.1,79.0,56.0,60.2,78.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,66,66,5,0,54,7,0,0,27,39,0,3,4,0,0,0,0,0,0,
Shaun Myers,62235,LB,COLORADO,12,7,0,72.7,0,0,143,1,0,74.1,70.1,29.0,52.4,69.1,54.8,0,3,0,0,33,17.5,7,1,1,125.0,8,0,0,275,2,95,318,21,0,0,21,0,0,297,33,190,19,19,26,4,11,3,2,60,45,7.5
Will Whitson,64470,ED,MISS STATE,2,2,0,,0,0,227,0,0,,81.1,76.9,74.8,75.4,78.8,0,4,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,0,46,46,0,2,29,15,0,0,28,18,0,5,3,3,0,6,0,0,0,
Mister Williams,70521,LB,S DIEGO ST,13,21,0,65.4,0,0,284,0,0,54.2,69.8,83.9,72.1,80.1,76.5,2,5,0,0,35,7.8,5,1,0,99.5,17,0,0,438,2,270,554,17,0,0,17,0,0,537,34,250,97,25,38,3,26,7,1,188,150,11.1
Ben Florentine,70644,DI,WYOMING,12,9,1,,0,0,351,0,0,57.0,74.8,86.1,69.3,74.5,67.5,5,12,0,0,,8.8,3,0,0,0.0,0,4,0,1,0,3,551,550,62,408,7,73,0,1,266,282,0,21,22,3,0,21,0,0,0,
Korey Foreman,70831,ED,FRESNO ST,13,4,1,66.7,1,0,169,0,0,46.4,66.6,36.4,69.4,70.5,58.7,4,10,0,0,17,21.7,5,2,2,103.5,2,4,0,0,0,18,322,322,0,4,315,3,0,0,191,113,0,13,14,2,3,18,0,33,10,16.5
Calvin Pitcher,70877,LB,UAB,12,14,0,77.8,0,0,321,0,0,45.6,60.1,84.7,52.3,70.4,66.1,0,2,0,0,65,14.9,7,1,0,155.8,7,1,0,232,0,88,307,51,0,0,50,1,0,256,19,200,24,15,26,0,9,3,1,126,104,18.0
Tate Romney,70946,LB,ARIZONA ST,10,2,0,66.7,0,0,110,0,0,52.1,49.6,0.0,53.4,56.5,50.2,0,0,0,0,30,21.4,3,1,1,138.9,4,0,0,77,0,46,101,11,0,0,11,0,2,90,7,48,11,2,9,0,6,0,1,60,31,15.0
Domani Jackson,71370,CB,ALABAMA,15,5,0,76.2,0,1,103,0,0,74.3,73.3,37.8,67.2,66.4,83.6,0,1,0,0,38,6.5,3,1,4,108.2,16,0,0,41,457,300,516,10,0,0,10,0,7,506,3,213,1,14,38,2,21,1,1,135,42,8.4
Keanu Tanuvasa,71398,DI,BYU,14,13,1,,0,0,128,0,0,71.7,63.2,34.6,61.9,63.8,57.6,2,16,0,0,,16.7,5,0,3,0.0,0,2,0,2,0,0,544,542,279,234,0,29,0,2,302,242,0,12,12,1,0,20,0,0,0,
Aaron Smith,71596,CB,NEW MEXICO,2,0,0,100.0,0,0,241,0,0,33.3,34.2,76.3,,53.8,41.8,0,0,0,0,19,50.0,1,0,0,108.3,5,0,0,2,1,13,25,0,0,0,0,0,1,25,0,12,21,0,1,0,5,0,0,50,13,10.0
DJ Harvey,72089,CB,USC,8,3,0,53.3,0,0,326,0,0,61.4,60.8,79.8,,55.0,49.4,0,0,0,0,75,25.0,3,2,1,112.1,8,0,0,6,129,93,141,0,0,0,0,0,2,141,0,48,4,1,6,0,15,0,1,156,67,19.5
