player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_distance,average_hangtime,average_starting_field_position,average_yards_per_return,declined_penalties,fair_catches,franchise_id,grades_kickoff_kicker,kicked_yards,kicks_returned,onside_kicks,penalties,percent_returned,return_yards,total_hangtime,touchbacks
Cash McVay,70670,K,APP STATE,13,59,56,67.0,4.12,26.3,17.9,0,3,108,84.4,3954,14,2,0,23.7,251,230.79,41
David Nunez,121982,P,TEXAS ST,1,1,0,10.0,,55.0,0.0,0,0,314,60.0,10,1,1,0,100.0,0,0.0,0
Quinn Castner,122145,K,CLEMSON,1,1,1,75.0,4.21,25.0,,0,0,140,60.1,75,0,0,0,0.0,0,4.21,1
Logan Klotz,122680,K,LA LAFAYET,13,58,56,60.1,3.7,25.5,19.2,0,10,207,56.9,3488,39,0,0,67.2,748,207.33,7
Kyle Lowe,123356,K,VA TECH,12,51,43,66.1,4.26,27.5,18.9,0,1,337,87.1,3372,10,4,0,19.6,189,183.03,38
Wes Pahl,123461,P,OKLA STATE,7,20,19,64.6,3.85,26.5,19.2,0,2,262,65.6,1291,6,0,0,30.0,115,73.06,10
Daniel Sparks,123492,P,VIRGINIA,3,15,15,71.2,4.22,25.3,20.0,0,0,335,76.7,1068,2,0,0,13.3,40,63.24,13
Morgan Suarez,123612,K,JAMES MAD,3,4,3,52.0,3.87,35.3,18.5,0,0,197,67.8,208,4,1,0,100.0,74,11.62,0
Chase Allen,123902,K,RICE,5,5,0,35.6,,39.4,0.0,0,0,275,63.0,178,2,3,0,40.0,0,0.0,2
Jared Zirkel,124046,K,TEXAS A&M,4,30,28,66.4,3.9,25.6,21.2,0,1,312,73.7,1993,10,0,0,33.3,212,109.13,18
Alex Bacchetta,127516,P,RICE,1,1,1,58.0,4.45,43.0,21.0,0,0,275,60.0,58,1,0,0,100.0,21,4.45,0
Chris Freeman,129439,K,UCONN,13,87,83,68.2,4.02,25.2,21.9,0,9,146,88.6,5936,21,1,0,24.1,459,334.01,57
Luke Akers,131788,P,NWESTERN,7,40,36,65.2,3.91,25.8,23.2,0,1,256,81.9,2609,17,0,0,42.5,395,140.84,22
RJ Lopez,131800,K,SM HOUSTON,1,2,2,68.5,3.8,30.0,,0,0,281,54.6,137,0,0,0,0.0,0,7.6,1
Tanner Cragun,131850,K,UTEP,4,22,21,65.8,3.63,26.0,19.1,0,1,330,73.6,1447,9,0,0,40.9,172,76.25,12
DC Pippin,138064,K,BALL ST,9,32,27,59.3,3.77,26.5,17.6,0,3,117,65.5,1896,19,1,0,59.4,334,101.66,10
Seth Morgan,139555,K,TULSA,12,60,54,62.0,4.18,25.2,15.1,0,5,320,77.3,3722,22,3,0,36.7,333,225.87,31
Jackson Cleaver,141522,K,UTEP,6,24,23,64.0,3.69,23.4,19.2,0,1,330,65.1,1537,13,0,0,54.2,249,84.92,9
Caleb Junko,144026,P,PITTSBURGH,4,23,22,57.3,3.85,28.9,19.4,0,4,268,50.9,1319,14,1,0,60.9,271,84.63,3
Noah Grant,144266,K,FIU,13,75,70,61.0,3.88,25.8,19.3,0,5,166,60.0,4578,46,2,0,61.3,887,271.65,19
John Cannon,144475,K,W KENTUCKY,2,4,3,51.5,3.99,31.8,10.0,0,0,346,64.1,206,2,1,0,50.0,20,11.96,2
Isaiah Hankins,144532,K,COLO STATE,12,46,36,61.2,3.88,28.8,18.2,0,3,144,70.1,2817,15,5,0,32.6,273,139.62,25
Logan Ward,144675,K,OKLA STATE,8,25,24,60.6,3.97,26.6,21.8,0,7,262,66.0,1514,14,0,0,56.0,305,95.33,4
Bert Auburn,144740,K,MIAMI FL,2,3,3,70.0,4.01,25.0,,0,0,220,69.1,210,0,0,0,0.0,0,12.04,3
Jack Howes,144913,K,BUFFALO,12,58,55,63.8,3.73,27.1,22.2,0,7,126,80.4,3702,18,0,0,31.0,400,204.97,31
