player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Mason White,43872,S,OREGON ST,12,0,0,265,60.0,,,,,,61.2,,,52.0,4,1,0,7,20,11,64,29,3
Joe Royer,52545,TE,CINCINNATI,3,0,0,138,,,,59.9,,,60.1,,,64.0,0,0,0,0,0,3,0,0,0
James Camden,53418,LB,W MICHIGAN,14,0,0,347,60.4,,,,,,58.3,,,47.1,1,1,0,31,15,4,58,13,1
Iesa Jarmon,53981,CB,AKRON,3,0,0,102,59.9,,,,,,34.1,,,28.4,1,1,0,3,3,0,7,5,1
Sterling Berkhalter,54221,WR,WAKE,2,0,0,339,,,,,,,60.3,,,66.7,0,0,0,0,0,1,0,1,0
Malik Denkins,55516,ED,C MICHIGAN,3,0,0,134,59.6,,,,,,64.0,,,72.1,0,0,0,3,0,0,0,8,0
Shaun Myers,62235,LB,COLORADO,9,0,0,143,59.8,,,,,,58.5,,,66.0,0,0,0,31,0,0,3,7,0
Will Whitson,64470,ED,MISS STATE,2,0,0,227,,,,,,,60.1,,,66.0,0,0,0,0,0,4,0,0,0
Mister Williams,70521,LB,S DIEGO ST,8,0,0,284,60.0,,,,,,57.9,,,67.2,0,0,0,5,3,21,0,1,0
Ben Florentine,70644,DI,WYOMING,12,0,0,351,57.3,,,,,,58.1,,,70.2,0,0,0,48,0,0,7,10,0
Cash McVay,70670,K,APP STATE,13,0,0,108,,,,,84.4,,63.4,,,77.3,0,0,0,0,59,0,0,0,1
Jake Retzlaff,70874,QB,TULANE,1,0,0,319,,,,,,,60.0,,,63.0,0,0,0,0,0,1,0,0,0
Calvin Pitcher,70877,LB,UAB,11,1,0,321,59.9,,,,,,49.3,,,78.0,1,0,0,31,23,0,30,12,2
Tate Romney,70946,LB,ARIZONA ST,9,0,0,110,59.9,,,,,,64.2,,,51.6,1,1,0,8,41,43,0,28,1
Boden Groen,71325,TE,KANSAS,4,0,0,198,,,60.0,,,,59.6,,,64.3,0,0,4,0,1,1,1,0,0
Domani Jackson,71370,CB,ALABAMA,10,0,0,103,59.9,,,,,,62.1,,,71.4,0,0,0,22,0,0,0,11,0
Keanu Tanuvasa,71398,DI,BYU,14,0,0,128,72.1,,,,,,79.5,,,70.0,0,0,0,48,0,0,0,10,0
Mavin Anderson,71443,WR,TEXAS ST,4,0,0,314,,,,63.2,,,59.6,,,68.4,0,0,0,0,0,29,0,0,0
Andrew Madrigal,71502,C,NEVADA,2,0,0,239,,,60.3,,,,59.0,,,67.3,0,0,5,0,0,0,2,0,0
Marquis Ashley,71530,WR,NEVADA,2,0,0,239,,,,,,,61.1,,,67.9,0,0,0,0,3,0,0,1,0
Aaron Smith,71596,CB,NEW MEXICO,13,1,0,241,,,,61.8,,,63.6,,,36.1,2,1,0,0,69,61,41,5,2
Jayden Dixon-Veal,71698,WR,CAL,6,0,0,130,,,,59.9,,,54.7,,,74.4,0,1,0,0,1,30,0,3,0
DJ Harvey,72089,CB,USC,6,0,0,326,59.8,,,,,,61.0,,,68.0,0,0,0,10,2,1,0,0,0
Solomone Langi,72318,DI,S JOSE ST,10,0,0,285,58.5,,71.4,,,,61.1,,,65.6,0,0,23,19,0,0,0,0,0
Sonny Makasini,72324,G,BYU,14,0,0,128,,,79.3,,,,66.8,,,75.0,0,0,74,0,0,0,0,0,0
Rowan Reay,72336,WR,BYU,13,0,0,128,,,,,,,73.9,,,71.0,0,0,0,0,12,57,0,0,0
Raider Damuni,72338,S,BYU,11,0,0,128,59.8,,,,,,57.9,,,70.0,0,0,0,27,18,0,0,12,0
Cam Davis,72376,HB,MINNESOTA,8,0,0,225,,,,59.6,,,70.0,,,70.5,0,0,0,0,0,41,0,0,0
Justin Flowe,72388,LB,UNLV,12,0,1,325,,,,,,,61.1,,,33.0,0,2,0,0,76,7,0,1,3
