player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Dru Prox,23093,LB,UTSA,5,0,0,331,59.8,,,,,,64.7,,,71.6,0,0,0,1,22,12,0,0,0
Jacob Meeks,24703,K,S ALABAMA,13,0,0,288,,,,,74.1,,63.9,,,78.6,0,0,0,0,76,0,0,0,0
Zach Rasmussen,26134,TE,LA MONROE,12,0,0,209,,,72.9,,,,63.9,,,72.2,0,0,43,0,0,23,30,0,0
John Porchivina,28202,LB,OLE MISS,11,0,0,226,,,,,,,48.7,,,76.8,1,1,0,0,36,50,0,16,0
Aubry Payne,29432,TE,GA STATE,1,0,0,175,,,,,,,60.2,,,66.7,0,0,0,0,0,6,0,0,0
Colby Reeder,30285,LB,IOWA STATE,8,0,0,193,59.8,,,,,,60.2,,,64.7,0,0,0,17,0,1,0,0,0
Kyle Coale,34136,WR,TROY,1,0,0,318,,,,,,,60.0,,,60.5,0,0,0,0,0,0,0,1,0
Kyle Pugh,35900,LB,N ILLINOIS,11,0,0,254,60.4,,,,,,61.6,,,68.4,0,0,0,35,0,0,0,0,0
Chance Lytle,39834,G,DUKE,13,0,0,154,,,80.2,,,,66.4,,,65.7,0,0,76,0,0,0,0,0,0
Walter Dawn Jr.,39921,WR,UTEP,10,0,0,330,,,,58.3,,,61.2,,,64.8,0,0,0,0,4,55,0,0,0
Jordan Carmouche,39951,LB,ARK STATE,12,0,0,113,59.9,,,,,,63.2,,,65.8,0,0,0,47,0,0,0,17,0
Clay Geary,40552,WR,MINNESOTA,13,0,0,225,,,,59.4,,,58.5,,,70.2,0,0,0,0,9,46,0,3,0
Vincent Picozzi,40641,G,NWESTERN,2,0,0,256,,,60.0,,,,60.0,,,64.0,0,0,2,0,0,0,0,0,0
Austin Myers,40815,T,MEMPHIS,4,0,0,218,,,67.0,,,,51.5,,,26.7,0,1,17,0,0,0,0,0,0
Rontavius Groves,40901,WR,TEXAS ST,8,0,0,314,,,,,,,62.2,54.4,,72.2,0,0,0,0,1,0,0,36,0
Brandon Council,41433,C,AUBURN,1,0,0,115,,,,,,,60.0,,,63.3,0,0,0,0,0,0,0,0,0
Devaughn Cooper,41966,WR,SYRACUSE,11,0,0,304,59.9,,,,,,64.6,,,75.3,0,0,0,1,23,2,5,13,0
Cam McCormick,41982,TE,OREGON,13,0,0,264,,,77.8,,,,74.4,,,77.9,0,0,71,0,0,9,1,0,0
Renard Bell,42089,WR,WASH STATE,4,0,0,341,,,,65.3,,,60.4,61.8,,63.7,0,0,0,0,0,9,0,5,0
Noah Turner,42347,TE,JAMES MAD,7,0,0,197,,,72.5,,,,63.9,,,61.3,0,0,42,0,0,0,1,0,0
Monte McGary,42477,CB,KANSAS,11,0,0,198,,,,,,,33.2,,,48.9,0,1,0,0,67,0,31,24,0
Bricen Garner,42520,S,W MICHIGAN,12,0,0,347,59.7,,,,,,60.8,,,66.1,0,0,0,49,2,0,1,4,0
Brandon Moore,42620,CB,NEBRASKA,7,0,0,238,59.7,,,,,,62.2,,,71.8,0,0,0,8,0,0,0,20,0
Brandon Bouyer-Randle,42637,LB,UCONN,13,0,0,146,59.6,,,,,,59.2,,,50.3,0,1,0,60,0,0,53,38,1
Clifford Chattman,42657,S,UTSA,14,0,0,331,59.5,,,,,,48.6,,,33.8,1,1,0,54,4,0,34,2,0
