TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
Air Force,5-7,227,279,75.7,75.2,57.9,42.0,61.9,76.2,76.0,69.9,69.4,70.0,67.6,62.3,60.6
Akron,4-8,245,384,61.8,59.5,63.3,49.7,60.9,76.2,44.6,63.1,67.8,42.3,62.3,53.7,63.0
Alabama,9-4,439,226,91.5,80.9,78.4,69.1,75.9,90.7,62.0,92.5,94.0,83.7,75.6,90.3,75.3
Appalachian State,5-6,293,362,78.9,75.7,66.1,62.6,72.8,85.1,65.8,75.0,73.6,66.9,79.3,64.9,74.6
Arizona,4-8,261,381,75.3,73.8,72.0,79.1,69.4,78.6,57.6,66.2,67.7,51.4,70.9,62.8,76.2
Arizona State,11-3,461,316,80.9,79.5,80.0,77.3,67.5,93.7,56.4,75.8,81.4,72.4,58.7,75.5,69.0
Arkansas,7-6,402,325,86.6,82.3,80.2,64.1,78.4,90.6,63.8,81.5,93.3,73.5,71.8,61.0,72.0
Arkansas State,8-5,336,418,76.4,74.7,73.1,57.9,66.4,79.4,71.4,67.6,66.9,55.8,71.6,62.2,75.4
Army,12-2,435,217,93.1,96.4,68.9,65.5,88.1,92.4,90.9,79.5,75.2,68.5,67.1,78.5,67.9
Auburn,5-7,333,256,88.7,78.2,70.8,70.0,73.3,80.8,68.5,90.8,92.1,73.5,81.0,76.2,76.2
Ball State,3-9,304,481,67.4,71.5,67.3,73.3,70.6,70.8,59.7,54.4,56.1,55.7,73.5,40.6,65.9
Baylor,8-5,447,347,84.6,82.6,70.8,71.2,79.2,86.6,68.9,71.3,79.0,68.0,64.9,61.5,90.3
Boise State,12-2,522,316,88.4,85.5,72.3,67.9,78.2,96.1,64.6,81.9,75.5,44.6,74.5,81.8,73.9
Boston College,7-6,366,309,81.9,75.5,70.6,72.4,66.2,76.7,69.2,84.4,87.4,76.0,72.6,76.2,68.3
Bowling Green,7-6,352,281,85.5,77.8,74.3,67.3,78.7,83.3,59.4,86.6,74.3,75.3,77.1,89.2,82.5
Buffalo,9-4,375,343,80.4,70.8,61.1,61.8,67.5,74.4,65.1,87.1,84.2,83.9,70.6,87.0,68.2
BYU,11-2,405,255,87.1,76.3,70.4,71.4,71.6,82.7,62.8,87.0,88.7,63.7,73.0,80.2,81.0
California,6-7,326,290,80.2,70.9,69.1,67.3,72.1,76.3,54.1,85.7,84.7,78.2,75.1,80.1,83.6
Central Michigan,4-8,271,356,73.6,61.2,50.8,47.0,60.6,77.8,56.4,83.0,84.3,78.7,80.5,70.9,77.4
Charlotte,5-7,284,421,70.0,70.0,46.1,75.2,73.4,80.5,60.7,63.5,58.3,71.4,64.5,68.9,58.7
Cincinnati,5-7,302,295,81.6,77.8,72.2,74.8,69.4,87.3,65.9,81.0,77.9,69.1,65.8,82.4,69.8
Clemson,10-4,486,328,86.9,79.3,86.1,67.1,69.5,85.0,63.0,86.9,85.3,70.7,78.4,82.7,78.8
Coastal Carolina,6-7,373,411,73.6,73.5,74.0,66.9,64.8,85.9,60.1,67.6,64.0,56.4,71.1,65.9,67.8
Colorado,9-4,428,300,88.6,82.5,90.1,71.6,81.4,78.2,61.3,86.1,80.9,68.3,78.4,89.6,71.3
Colorado State,8-5,317,335,84.6,79.8,72.0,81.5,68.9,79.5,76.2,83.4,86.5,72.0,67.7,78.2,68.9
Connecticut,9-4,415,300,85.4,78.1,66.1,70.3,61.5,78.7,85.3,84.0,75.9,69.6,65.9,90.0,79.9
Duke,9-4,342,318,81.6,71.4,69.5,67.0,70.7,73.1,58.3,88.5,77.9,67.6,80.1,90.1,72.2
East Carolina,8-5,416,355,82.2,78.4,70.9,68.7,74.1,84.6,68.8,82.6,88.4,64.6,71.7,73.7,61.6
Eastern Michigan,5-7,311,335,78.4,72.8,72.1,68.9,67.8,71.5,64.8,80.7,88.8,78.9,84.4,54.1,65.9
Florida,8-5,368,300,88.7,84.1,70.6,80.1,76.8,80.5,79.8,81.0,90.7,69.6,73.2,63.4,79.0
Florida Atlantic,3-9,311,363,79.7,73.5,57.9,67.5,67.6,81.8,69.7,82.0,66.7,59.5,78.9,88.8,71.9
Florida International,4-8,316,309,82.0,73.3,69.1,51.1,77.9,75.3,62.5,86.9,74.7,77.7,76.1,90.2,67.9
Florida State,2-10,185,336,69.6,63.5,61.7,66.2,60.8,72.2,53.7,70.0,70.0,73.3,68.3,65.4,82.4
Fresno State,6-7,339,323,78.5,75.5,72.5,68.1,70.2,75.2,69.5,77.5,76.0,70.8,66.4,79.5,62.9
Georgia,11-3,441,288,88.8,79.1,77.7,78.7,67.2,87.6,68.1,90.2,91.6,82.9,77.9,81.6,73.2
Georgia Southern,8-5,364,359,76.6,71.4,68.3,77.1,66.9,80.7,53.6,77.2,76.9,71.1,70.1,74.4,74.0
Georgia State,3-9,286,406,69.6,68.0,65.9,59.4,66.5,84.4,50.6,65.4,65.1,76.8,68.7,59.1,75.4
Georgia Tech,7-6,376,333,80.4,76.9,82.3,74.1,73.6,78.4,59.8,73.4,78.7,51.9,63.9,65.2,85.9
Hawaii,5-7,268,312,76.1,69.5,73.8,67.6,60.6,79.2,65.4,80.6,75.8,69.6,66.4,85.8,68.8
Houston,4-8,168,275,68.5,63.0,52.6,72.3,60.5,70.4,57.5,73.6,76.2,68.3,60.9,69.6,65.7
Illinois,10-3,368,282,87.5,81.2,75.0,64.9,82.0,86.1,64.0,84.2,72.7,85.2,75.4,87.3,76.8
Indiana,11-2,537,203,94.8,92.9,89.6,73.9,90.4,87.5,75.5,93.1,93.5,65.0,88.1,89.5,88.7
Iowa,8-5,360,232,92.0,81.3,64.3,79.0,61.9,81.5,82.8,91.6,85.3,79.4,87.2,89.6,86.8
Iowa State,11-3,435,321,77.9,74.1,69.4,56.1,77.8,84.0,53.0,75.9,64.8,49.4,62.9,85.1,74.1
Jacksonville State,9-5,504,366,80.9,83.0,73.6,62.2,66.4,91.8,74.1,73.3,76.7,78.4,62.5,73.6,58.9
James Madison,9-4,433,266,89.4,77.8,69.9,73.6,63.5,87.1,74.9,91.0,90.6,66.8,84.6,86.1,76.8
Kansas,5-7,356,312,87.3,86.9,72.6,79.2,72.4,91.0,79.9,73.9,72.8,62.0,66.6,69.1,85.6
Kansas State,9-4,401,304,82.2,77.5,72.5,74.1,61.0,90.6,68.5,79.1,86.7,67.3,66.7,71.5,72.1
Kennesaw State,2-10,198,374,67.1,55.8,43.7,43.8,55.4,70.9,56.6,75.7,72.2,76.8,70.0,72.0,84.3
Kent State,0-12,167,529,58.7,55.4,47.4,54.6,65.8,69.9,39.7,61.2,61.5,57.9,71.6,51.8,67.3
Kentucky,4-8,247,265,79.5,71.4,61.1,54.8,69.4,87.8,59.4,79.5,68.0,62.6,83.2,79.8,80.1
Liberty,8-4,345,282,85.0,81.6,72.5,59.4,64.7,85.4,82.6,80.2,76.0,72.3,72.8,78.9,68.9
Louisiana,10-4,433,338,83.1,81.5,84.4,73.8,73.7,82.1,69.2,74.5,70.8,48.9,64.3,80.1,61.2
Louisiana Tech,5-8,272,273,70.0,66.5,67.7,70.9,64.8,76.3,48.0,70.3,72.4,67.4,63.6,68.4,71.1
Louisiana-Monroe,5-7,252,345,70.2,67.3,62.2,64.2,65.3,90.4,48.2,69.8,55.7,65.8,67.3,85.5,66.9
Louisville,9-4,474,313,91.9,85.4,88.3,67.2,80.5,89.8,65.1,91.3,92.0,68.6,86.1,84.4,79.9
LSU,9-4,396,316,83.3,77.9,81.1,71.0,78.5,79.4,58.2,81.2,76.2,77.4,88.4,67.8,60.6
Marshall,10-3,414,300,86.2,72.2,68.9,72.4,63.2,82.9,60.6,90.9,78.9,84.7,81.5,91.6,81.3
Maryland,4-8,284,365,69.8,64.0,68.6,38.9,68.8,81.8,42.6,74.3,76.5,68.2,71.0,64.0,70.9
Massachusetts,2-10,270,426,67.4,66.6,60.7,70.6,61.1,74.4,58.9,67.5,66.0,83.2,69.3,67.0,62.1
Memphis,11-2,464,310,87.3,84.4,79.3,82.6,70.2,88.0,78.2,81.6,88.8,69.1,62.3,75.1,72.9
Miami (FL),10-3,571,329,93.6,92.7,91.4,76.2,85.4,97.2,62.6,91.3,93.1,65.3,89.0,76.4,69.2
Miami (OH),9-5,337,263,82.9,74.4,57.8,53.8,71.9,79.1,77.3,84.2,80.2,70.6,73.2,84.9,80.4
Michigan,8-5,286,259,89.1,69.8,54.3,65.0,65.2,83.6,60.2,92.9,95.0,85.4,91.4,78.4,79.4
Michigan State,5-7,233,313,74.0,69.7,62.9,50.4,70.7,87.5,55.1,72.7,88.3,76.6,62.2,56.2,63.6
Middle Tennessee,3-9,217,411,64.7,63.5,77.6,30.8,62.8,80.4,50.2,62.5,66.7,67.1,60.9,55.3,64.0
Minnesota,8-5,340,220,89.7,80.0,85.0,66.6,70.2,82.4,69.7,88.9,89.4,65.1,73.3,82.4,90.3
Mississippi,10-3,502,187,92.9,85.9,91.8,63.4,85.9,85.3,58.3,93.3,95.2,90.5,90.7,88.1,73.5
Mississippi State,2-10,310,409,65.6,68.8,74.2,58.1,67.5,76.6,53.9,55.3,73.2,62.4,50.5,35.6,75.9
Missouri,10-3,376,265,89.4,82.9,72.1,76.4,69.1,84.4,82.6,85.3,84.8,70.8,79.1,73.1,81.7
Navy,10-3,407,288,88.3,83.3,59.2,77.8,77.7,85.7,74.6,84.8,87.2,79.0,64.4,83.2,90.0
Nebraska,7-6,306,253,82.0,78.0,70.5,71.8,71.2,84.3,69.0,79.6,78.4,71.8,80.9,70.6,68.6
Nevada,3-10,300,374,76.4,79.9,80.7,66.2,75.2,81.9,66.8,66.7,56.6,46.7,74.0,76.4,58.4
New Mexico,5-7,402,456,76.4,84.5,78.8,77.9,71.3,92.6,70.6,58.7,62.3,56.8,55.4,61.9,58.4
New Mexico State,3-9,259,435,67.6,61.1,46.8,60.4,50.9,77.5,63.7,69.9,70.9,70.1,61.7,68.1,73.5
North Carolina,6-7,402,365,80.8,75.9,63.1,71.9,67.4,90.4,69.6,74.5,74.9,76.0,74.6,69.8,86.6
North Carolina State,6-7,371,392,83.7,78.0,77.3,80.3,68.0,76.5,71.5,83.0,79.2,73.0,74.5,81.4,68.9
North Texas,6-7,436,444,74.4,70.4,75.6,62.9,68.5,89.7,42.7,74.9,83.5,67.9,63.2,64.6,73.7
Northern Illinois,8-5,319,241,83.3,74.3,61.3,72.8,62.0,78.3,73.4,89.1,87.9,88.3,70.6,86.8,75.7
Northwestern,4-8,214,316,72.2,60.9,49.5,70.0,59.4,70.9,60.4,84.3,76.1,62.8,77.4,80.7,63.3
Notre Dame,14-2,578,248,91.7,84.8,75.7,68.0,71.4,93.4,74.9,91.7,89.3,84.0,87.2,90.8,85.6
Ohio,11-3,410,254,83.5,77.3,69.4,57.3,73.2,86.5,67.3,84.3,75.8,58.3,85.1,79.9,69.0
Ohio State,14-2,571,206,93.8,90.0,84.4,61.5,88.0,92.2,68.7,93.3,95.1,81.2,89.4,87.0,87.7
Oklahoma,6-7,312,280,77.0,60.2,57.7,62.9,54.1,71.4,55.6,91.4,93.8,76.4,88.1,69.8,75.1
Oklahoma State,3-9,326,427,74.7,76.4,64.2,85.7,74.5,78.6,63.4,63.0,62.3,53.6,62.6,60.8,76.8
Old Dominion,5-7,336,336,70.2,63.4,46.7,40.6,62.6,91.4,50.8,77.4,87.0,56.6,61.7,67.8,65.4
Oregon,13-1,488,272,92.1,85.8,84.5,76.8,78.0,90.3,68.5,92.2,85.6,84.4,90.0,90.6,79.1
Oregon State,5-7,291,359,75.3,77.7,69.2,76.1,67.1,84.7,68.8,60.1,58.8,67.0,66.8,57.3,80.4
Penn State,13-3,530,264,91.3,85.8,83.5,64.0,77.7,91.8,69.0,90.7,91.1,63.1,87.9,84.0,74.7
Pittsburgh,7-6,428,369,78.6,66.1,60.7,50.2,64.7,84.7,58.4,85.8,85.8,78.9,78.3,80.1,79.6
Purdue,1-11,189,480,69.1,71.9,70.3,61.8,68.4,79.6,62.3,61.1,68.4,57.8,67.8,40.9,74.5
Rice,4-8,266,305,74.7,65.3,65.0,62.6,65.1,75.8,54.2,85.0,72.1,77.3,76.1,89.8,67.3
Rutgers,7-6,376,330,85.5,82.8,73.2,63.1,72.5,84.0,78.8,80.7,70.3,71.5,82.3,75.6,62.3
Sam Houston State,10-3,309,266,76.7,69.7,64.8,65.7,67.7,77.1,55.2,80.8,67.7,73.2,78.8,85.6,73.0
San Diego State,3-9,256,355,73.7,71.6,71.6,69.2,68.8,74.4,62.4,68.5,62.5,54.2,69.4,70.4,81.0
San Jose State,7-6,369,358,77.1,72.0,79.1,43.1,74.9,82.5,47.0,79.0,75.3,58.9,63.2,86.0,69.5
SMU,11-3,511,309,91.2,82.0,85.3,75.5,77.6,81.4,67.6,91.8,92.8,77.5,87.3,87.2,70.5
South Alabama,7-6,447,327,82.7,78.9,68.6,74.2,76.1,95.9,55.7,80.6,83.4,57.4,66.0,79.6,63.5
South Carolina,9-4,396,235,88.9,74.6,72.6,61.8,72.1,87.5,56.2,91.8,88.3,76.2,90.8,89.6,80.7
Southern Miss,1-11,183,453,62.1,58.5,52.8,59.6,60.0,77.9,43.2,64.3,63.4,43.0,73.3,57.0,70.7
Stanford,3-9,274,404,72.1,64.9,59.7,62.4,65.7,71.3,55.7,71.4,72.8,64.6,75.1,61.2,88.2
Syracuse,10-3,443,379,85.9,86.7,87.4,72.6,85.7,79.8,65.6,74.2,74.3,58.8,70.4,71.8,63.6
TCU,9-4,435,320,88.3,81.3,84.5,71.7,82.0,77.3,59.7,85.7,79.4,83.0,63.4,90.5,84.7
Temple,3-9,235,425,71.9,63.7,73.0,53.9,64.1,69.6,49.6,77.3,68.9,74.0,73.6,79.2,72.3
Tennessee,10-3,464,209,89.6,77.4,81.7,67.3,69.2,88.7,59.4,90.9,91.3,78.4,86.7,87.3,77.9
Texas,13-3,528,245,91.9,83.3,75.6,86.5,78.0,88.4,68.0,93.0,91.2,70.2,90.2,91.7,80.3
Texas A&M,8-5,395,289,83.5,76.5,62.8,72.5,71.7,84.0,67.4,83.5,90.4,60.7,84.6,67.3,65.9
Texas State,8-5,475,319,90.9,85.7,79.3,82.9,80.3,86.9,68.9,88.3,91.5,72.9,90.1,67.2,78.1
Texas Tech,8-5,489,453,78.8,79.5,75.5,78.2,72.7,87.4,66.1,65.3,71.8,43.5,66.2,55.5,81.6
Toledo,8-5,368,302,82.8,68.9,69.5,52.2,77.3,69.5,52.8,91.0,89.4,79.1,84.8,89.3,82.0
Troy,4-8,312,341,77.6,77.6,67.7,63.6,75.9,84.6,63.8,70.9,76.0,65.3,59.8,66.3,62.4
Tulane,9-5,491,289,91.0,88.8,75.3,78.1,79.1,90.8,77.8,86.2,74.4,70.9,90.5,77.9,73.9
Tulsa,3-9,300,510,64.2,65.0,61.6,54.1,67.9,76.8,51.9,58.7,69.8,47.3,77.1,31.3,64.5
UAB,3-9,314,411,68.5,68.0,66.3,71.6,61.7,75.6,63.1,63.1,49.5,65.8,74.3,77.6,67.0
UCF,4-8,365,323,84.0,77.9,60.4,78.8,66.2,90.4,69.4,84.2,85.7,71.3,73.1,76.5,65.1
