player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Kenny Bennett,56032,CB,VIRSTA,1,0,0,100.0,0,0,1164,0,0,63.0,64.2,76.3,,65.1,21.4,0,0,0,0,33,100.0,1,0,0,118.8,1,0,0,4,50,21,56,0,0,0,0,0,0,56,0,35,2,0,0,0,1,0,0,33,10,33.0
Deven Jarvis,70770,LB,RU,1,1,0,50.0,0,0,1529,0,0,58.5,62.7,78.0,64.7,64.1,57.4,0,0,0,0,7,12.5,1,0,0,58.3,1,1,0,22,0,21,55,18,0,0,18,0,0,37,2,32,15,5,6,1,2,1,0,7,4,7.0
Marques Sherman,76186,DI,CLARK ATL,1,1,0,,0,0,369,0,0,,61.2,75.8,53.0,68.7,72.9,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,43,43,0,12,6,25,0,0,29,14,0,1,1,1,0,1,0,0,0,
Aaron Gethers,76633,S,CATAWB,1,0,0,,0,0,802,0,0,62.5,66.1,67.4,,64.5,74.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,11,3,4,14,0,0,0,0,0,0,14,0,10,0,0,1,0,0,0,0,0,0,
Lancine Turay,76799,ED,VIRUNI,1,4,0,,0,0,1165,0,0,57.6,54.5,78.8,52.8,60.5,57.7,0,1,0,0,,11.1,1,0,0,0.0,0,0,0,0,0,0,68,68,0,0,50,18,0,0,29,39,0,3,4,0,0,1,0,0,0,
Cory Gross Jr.,77862,S,EDNBFS,1,0,0,,0,0,860,0,0,65.5,69.1,74.6,,67.4,77.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,6,0,12,18,1,0,0,1,0,8,17,0,6,3,1,2,0,0,0,0,0,0,
K'Vaughan Pope,81353,LB,VIRSTA,1,1,0,66.7,0,0,1164,0,0,48.0,52.2,75.3,58.4,62.9,50.9,0,0,0,0,8,33.3,1,0,0,75.7,2,0,0,18,0,8,25,1,0,0,1,0,0,24,2,15,6,1,1,0,3,0,0,13,4,6.5
Jabari Murray,83282,S,NAUSTA,1,0,0,,0,0,1453,0,0,,60.3,68.5,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,3,0,0,0,0,0,2,3,0,3,0,0,0,0,0,0,0,0,0,
Emmanuel White,84554,ED,WSRAMS,1,0,0,,0,0,1206,0,0,,68.3,75.9,57.8,73.8,71.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,26,26,0,1,23,2,0,0,17,9,0,1,1,0,0,0,0,0,0,
Diamante Howard,100739,CB,ED WATERS,1,0,0,0.0,0,0,372,0,0,62.4,63.0,71.6,,60.0,,0,0,0,0,,,0,0,0,39.6,0,0,0,0,0,4,5,0,0,0,0,0,0,5,0,1,5,0,0,0,1,0,0,0,0,
Lavonte Gater,101385,CB,VIRSTA,1,1,0,100.0,0,0,1164,0,0,61.5,63.1,75.7,,66.2,77.0,0,0,0,0,8,0.0,0,0,0,100.0,1,0,0,1,41,22,44,0,0,0,0,0,0,44,0,22,2,0,1,0,1,0,0,8,9,8.0
