player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Charles Perkins,138518,T,VA LYNCHBU,5,100.0,0,406,30.7,12.4,48.0,2,21,142,100.0,100.0,89.1,1,27,4,242,0,0,0,242,151,151,0,242,91,0
Terrence Ames,90470,G,VA LYNCHBU,4,100.0,0,406,43.1,6.4,57.2,0,11,107,100.0,100.0,93.9,1,12,1,190,1,123,66,190,115,115,0,0,75,0
Emmanus Joseph,155679,C,VA LYNCHBU,4,100.0,0,406,29.0,0.0,45.0,3,11,106,100.0,100.0,91.5,1,16,2,182,93,0,89,182,113,113,0,0,69,0
Spencer Graves,155681,G,VA LYNCHBU,5,100.0,1,406,29.3,0.0,48.1,1,12,92,100.0,100.0,92.9,3,13,0,153,0,85,0,153,95,95,68,0,58,0
Ryan Barkley,91365,T,FORT LEW,2,100.0,0,873,44.6,46.3,46.9,2,5,77,100.0,100.0,95.5,1,7,0,139,0,0,139,139,80,80,0,0,59,0
Lajuan Pauling,155693,G,VA LYNCHBU,5,100.0,0,406,14.1,0.0,40.0,1,16,83,100.0,100.0,86.1,3,20,3,137,47,0,0,137,88,88,90,0,49,0
Jason Sitala,143392,C,FORT LEW,2,100.0,0,873,43.3,43.6,47.2,1,2,74,100.0,100.0,98.0,1,3,0,136,136,0,0,136,77,77,0,0,59,0
Christian Twymon,151582,G,MILES,2,100.0,0,386,59.3,64.2,57.5,0,1,45,100.0,100.0,94.4,0,3,2,130,0,130,0,130,48,48,0,0,82,0
Jalen King,112752,T,MILES,2,100.0,0,386,41.1,19.0,48.2,2,3,45,100.0,100.0,94.4,0,5,0,130,0,0,128,130,48,48,0,0,82,2
Eric Blair,151578,G,MILES,2,100.0,0,386,55.9,36.8,57.0,0,2,45,100.0,100.0,95.6,0,3,1,130,0,0,0,130,48,48,130,0,82,0
Tyler Lowery,112652,C,MILES,2,100.0,0,386,76.7,76.7,72.0,0,0,45,100.0,100.0,100.0,0,0,0,129,129,0,0,129,48,48,0,0,81,0
Devon Taylor,143387,G,FORT LEW,2,100.0,0,873,61.5,68.2,58.4,0,1,75,100.0,100.0,99.3,0,1,0,128,0,0,0,128,78,78,128,0,50,0
Migel Garcia,87417,T,FORT LEW,2,100.0,0,873,36.6,14.0,48.4,2,8,75,100.0,100.0,93.3,1,10,0,128,0,0,0,128,78,78,0,128,50,0
Christopher Brown,155695,C,VA LYNCHBU,5,100.0,0,406,30.4,11.5,50.3,0,8,72,100.0,100.0,94.4,2,8,0,125,112,0,0,125,77,77,13,0,48,0
Nathan Harrison,91706,C,TUSKEGEE,2,100.0,0,405,57.8,59.3,59.5,0,0,75,100.0,100.0,98.7,1,1,1,119,119,0,0,119,77,77,0,0,42,0
Jhaelyn West,91707,G,TUSKEGEE,2,100.0,0,405,52.6,41.6,52.7,1,3,75,100.0,100.0,96.0,0,5,1,119,0,0,0,119,77,77,119,0,42,0
Shaun Stitten,155632,G,TUSKEGEE,2,100.0,0,405,55.4,59.4,55.3,0,3,75,100.0,100.0,98.0,1,3,0,119,0,119,0,119,77,77,0,0,42,0
George Ball,91711,T,TUSKEGEE,2,100.0,0,405,63.4,67.1,58.6,1,4,74,100.0,100.0,95.3,0,6,1,118,0,0,0,118,76,76,0,118,42,0
Jacob Longacre,152731,T,POINTVILLE,2,100.0,0,393,62.3,78.7,52.6,0,1,58,100.0,100.0,99.1,0,1,0,103,0,0,0,103,58,58,0,102,45,0
Gavin Torbert,152729,T,POINTVILLE,2,100.0,0,393,38.4,39.8,42.6,0,3,58,100.0,100.0,97.4,1,3,0,103,0,0,102,103,58,58,0,0,45,0
Austin Herring,151642,T,N MEX HIGH,1,100.0,0,388,60.8,63.8,57.8,1,2,50,100.0,100.0,97.0,0,3,0,100,0,0,0,100,53,53,0,100,47,0
Josh Cooper,151646,T,N MEX HIGH,1,100.0,0,388,56.7,57.9,54.7,0,2,50,100.0,100.0,94.0,0,4,2,100,0,0,100,100,53,53,0,0,47,0
Jacob Gamble,151643,C,N MEX HIGH,1,100.0,0,388,68.6,85.1,62.3,0,0,50,100.0,100.0,100.0,0,0,0,100,100,0,0,100,53,53,0,0,47,0
Travis Eitel,151644,G,N MEX HIGH,1,100.0,1,388,68.2,61.2,69.2,1,0,50,100.0,100.0,99.0,1,1,0,100,0,96,0,100,53,53,4,0,47,0
Kenneth Brown,151358,T,NAUSTA,2,100.0,0,1453,49.4,53.2,50.7,0,3,66,100.0,100.0,96.2,1,4,1,98,0,0,0,98,68,68,0,98,30,0
Jayden Adebo,151357,T,NAUSTA,2,100.0,0,1453,48.9,70.3,34.2,0,3,66,100.0,100.0,97.7,0,3,0,98,0,0,98,98,68,68,0,0,30,0
King Taylor,38476,G,N MEX HIGH,1,100.0,0,388,69.8,68.2,69.9,0,2,49,100.0,100.0,98.0,0,2,0,96,0,0,0,96,52,52,96,0,44,0
Enrique Newman,151327,C,NAUSTA,2,100.0,0,1453,61.3,68.2,57.1,0,2,63,100.0,100.0,96.8,0,3,1,95,48,47,0,95,65,65,0,0,30,0
Allen Leiato,151328,G,NAUSTA,2,100.0,0,1453,33.2,0.0,46.5,0,9,59,100.0,100.0,90.7,0,10,1,90,0,42,0,90,61,61,48,0,29,0
Cinsere Clark,155641,WR,VA LYNCHBU,5,37.5,0,406,54.5,,55.7,0,0,0,0.0,0.0,,0,0,0,90,0,0,0,240,0,150,0,0,90,0
Joshua Gray,155644,WR,VA LYNCHBU,5,37.7,0,406,62.7,,48.7,0,0,0,0.0,0.0,,1,0,0,86,0,0,0,228,0,141,0,0,86,0
Austan Davis,152133,T,MWSTATE,1,100.0,0,983,63.2,84.8,51.2,0,2,41,100.0,100.0,97.6,0,2,0,81,0,0,81,81,44,44,0,0,37,0
Caleb Gill,142881,G,MWSTATE,1,100.0,0,983,56.3,76.3,50.3,0,2,41,100.0,100.0,97.6,0,2,0,81,0,76,0,81,44,44,5,0,37,0
Nick Gonzalez,142874,C,MWSTATE,1,100.0,0,983,62.4,67.2,63.5,0,2,41,100.0,100.0,97.6,1,2,0,81,81,0,0,81,44,44,0,0,37,0
Colton Martinez,143653,G,FORT LEW,2,100.0,0,873,30.3,0.0,44.4,2,5,44,100.0,100.0,92.0,0,7,0,78,3,75,0,78,46,46,0,0,32,0
Zion Hughes,154491,G,ST ANSELM,1,100.0,0,399,63.3,58.5,65.2,0,3,59,100.0,100.0,97.5,0,3,0,78,0,77,0,78,64,64,1,0,14,0
Michael Boucher,153497,T,ST ANSELM,1,100.0,0,399,72.6,74.6,69.2,0,1,59,100.0,100.0,99.2,0,1,0,78,0,0,1,78,64,64,0,77,14,0
Tom Cavanagh,153505,G,ST ANSELM,1,100.0,0,399,55.2,61.1,49.1,0,1,59,100.0,100.0,99.2,0,1,0,78,2,0,0,78,64,64,76,0,14,0
Thomas Walton,154545,T,ST ANSELM,1,100.0,0,399,62.6,58.9,63.8,0,1,59,100.0,100.0,95.8,0,3,2,78,0,1,76,78,64,64,1,0,14,0
Hunter Hickok,152352,C,TXPERB,1,100.0,0,1268,72.0,84.5,66.1,0,0,38,100.0,100.0,100.0,0,0,0,77,77,0,0,77,41,41,0,0,36,0
Ramon Diaz,152261,T,TXPERB,1,100.0,0,1268,53.5,23.8,62.4,0,2,38,100.0,100.0,94.7,0,3,1,77,0,15,62,77,41,41,0,0,36,0
Dawson Reynolds,152332,G,TXPERB,1,100.0,0,1268,44.9,58.8,38.9,0,1,38,100.0,100.0,98.7,0,1,0,77,0,0,0,77,41,41,77,0,36,0
Ryan Wilson,152353,T,TXPERB,1,100.0,0,1268,51.9,40.7,55.8,0,4,38,100.0,100.0,89.5,0,6,2,77,0,0,0,77,41,41,0,77,36,0
James Daly,153517,C,ST ANSELM,1,100.0,0,399,62.6,66.6,59.0,0,1,57,100.0,100.0,99.1,0,1,0,76,76,0,0,76,62,62,0,0,14,0
Kenyana Heard,152136,G,MWSTATE,1,100.0,0,983,68.1,65.4,68.3,1,2,40,100.0,100.0,96.2,0,3,0,76,0,0,0,76,43,43,76,0,33,0
Daric Cotman,113074,T,UVAWIS,1,100.0,0,1320,76.0,70.0,78.5,1,0,55,100.0,100.0,99.1,0,1,0,75,0,0,75,75,57,57,0,0,18,0
Kamari Scott,155056,G,UFTLEA,1,100.0,0,1458,14.8,0.0,40.0,4,1,49,100.0,100.0,90.8,0,7,2,75,0,62,0,75,53,53,0,13,22,0
Kyle Kruszewski,112669,T,UVAWIS,1,100.0,0,1320,60.5,46.9,69.1,0,2,55,100.0,100.0,96.4,0,3,1,75,0,0,0,75,57,57,0,75,18,0
Ethan Anderson,154431,C,UVAWIS,1,100.0,0,1320,75.7,81.9,71.6,0,0,55,100.0,100.0,100.0,0,0,0,75,75,0,0,75,57,57,0,0,18,0
Ethan Blank,154435,G,UVAWIS,1,100.0,0,1320,64.2,86.8,62.2,0,0,55,100.0,100.0,100.0,1,0,0,75,0,0,0,75,57,57,75,0,18,0
Alex Brown,155026,T,UFTLEA,1,100.0,0,1458,16.8,0.0,49.7,3,3,48,100.0,100.0,93.7,0,6,0,74,1,11,0,74,52,52,0,62,22,0
Jason Brown,155557,C,UFTLEA,1,100.0,1,1458,26.2,0.0,52.9,2,0,49,100.0,100.0,98.0,2,2,0,74,74,0,0,74,53,53,0,0,21,0
Cameron Davis,153102,T,STANKN,1,100.0,0,1455,55.0,5.7,66.8,0,4,26,100.0,100.0,84.6,0,6,2,73,0,0,73,73,29,29,0,0,44,0
Freddie Johnson,155047,G,UFTLEA,1,100.0,0,1458,17.7,0.0,52.7,1,4,48,100.0,100.0,92.7,1,6,1,73,0,0,0,73,52,52,73,0,21,0
Marvin Farmer II,153108,C,STANKN,1,100.0,0,1455,65.5,82.5,61.0,0,0,26,100.0,100.0,100.0,0,0,0,72,67,0,1,72,29,29,0,4,43,0
Dave Bonnet,151577,T,MILES,1,100.0,0,386,55.3,53.6,60.0,0,0,28,100.0,100.0,100.0,2,0,0,72,1,0,0,72,30,30,0,71,42,0
Jaih Andrews,151569,WR,MILES,2,64.3,0,386,63.6,,65.5,0,0,0,0.0,0.0,,0,0,0,72,0,0,0,112,0,40,0,0,72,1
Tavin Fitzgerald,153109,G,STANKN,1,100.0,0,1455,67.6,78.8,65.3,0,1,26,100.0,100.0,98.1,0,1,0,71,0,68,0,71,29,29,3,0,42,0
Eaamon Sullivan,154478,G,UVAWIS,1,100.0,0,1320,62.3,57.4,70.1,0,2,51,100.0,100.0,98.0,1,2,0,70,0,70,0,70,53,53,0,0,17,0
Josh McKey,152429,G,W OREGON,1,100.0,0,411,53.3,24.0,59.8,0,4,44,100.0,100.0,95.5,0,4,0,69,0,0,0,69,48,48,69,0,21,0
Braden Gravely,152213,G,N GREENVLE,1,100.0,0,390,54.5,31.6,57.1,1,1,37,100.0,100.0,97.3,0,2,0,69,0,69,0,69,39,39,0,0,30,0
Edward Taufa'asau,152464,T,W OREGON,1,100.0,0,411,23.9,0.0,30.1,1,5,44,100.0,100.0,93.2,0,6,0,69,0,0,69,69,48,48,0,0,21,0
Jakob Pruitt,152463,T,W OREGON,1,100.0,0,411,42.9,17.3,57.4,0,5,44,100.0,100.0,92.0,0,6,1,69,0,0,0,69,48,48,0,69,21,0
Elyjah Lipscomb,152200,T,N GREENVLE,1,100.0,0,390,47.4,23.6,56.5,0,3,37,100.0,100.0,95.9,0,3,0,69,0,0,0,69,39,39,0,68,30,1
Lewis McBeth,152217,G,N GREENVLE,1,100.0,0,390,65.6,80.1,62.3,1,0,37,100.0,100.0,98.6,0,1,0,69,0,0,0,69,39,39,69,0,30,0
Justice Opoku,153157,G,STANKN,1,100.0,0,1455,79.7,18.7,88.8,0,3,26,100.0,100.0,94.2,0,3,0,69,0,1,0,69,29,29,68,0,40,0
Dalton McKittrick,152208,T,N GREENVLE,1,100.0,0,390,63.9,49.4,67.1,0,0,37,100.0,100.0,94.6,0,2,2,69,0,0,68,69,39,39,0,0,30,1
Tyrese Bobbitt,154285,C,SHAWBE,1,100.0,0,1094,60.4,70.7,61.3,0,1,35,100.0,100.0,98.6,1,1,0,68,68,0,0,68,36,36,0,0,32,0
Jonathan Lorza,154317,T,SHAWBE,1,100.0,0,1094,52.0,58.4,54.8,0,3,35,100.0,100.0,92.9,1,4,1,68,0,0,0,68,36,36,0,68,32,0
Queonte Hilliard,154312,G,SHAWBE,1,100.0,0,1094,58.7,86.2,52.0,0,0,35,100.0,100.0,100.0,0,0,0,68,0,0,0,68,36,36,68,0,32,0
Antavious Zachery,154352,G,SHAWBE,1,100.0,0,1094,67.9,80.6,65.1,0,1,34,100.0,100.0,98.5,0,1,0,67,0,67,0,67,35,35,0,0,32,0
