player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Nick Semptimphelter,142984,QB,JOHNCA,14,86.9,388,416,6.5,2.65,10,17,3.9,76.9,320,0,115,5.0,456,17,0.42,187,926,48.2,91.0,91.4,49.6,4,4,473,2,57.0,18.3,127.5,4.6,21,19,5,9,36,11,2.3,3644,8.8
Robert Brazziel,212065,QB,LINCOK,4,65.3,101,106,7.4,2.76,1,5,4.3,57.5,61,0,65,7.6,134,5,-0.35,31,1452,60.6,62.2,67.9,49.9,0,4,144,4,36.6,26.2,56.9,12.7,17,10,1,3,0,3,2.1,574,5.4
Brinley Vandiver,193742,QB,MILES,2,72.9,59,69,6.8,2.3,2,4,5.5,59.4,41,0,39,4.7,77,2,0.08,20,386,48.8,44.1,42.9,58.7,4,0,81,0,39.0,15.4,86.3,7.8,6,2,0,4,2,7,8.6,415,6.0
Tyler Green,212674,QB,DENISON,1,62.5,56,59,9.8,2.35,2,3,4.8,59.3,35,0,20,0.0,63,0,-0.08,19,842,52.3,58.3,59.9,57.3,0,1,67,1,47.6,15.0,84.5,4.8,3,1,0,1,2,3,4.5,407,6.9
Griffin Scalf,209152,QB,THMORE,2,61.1,54,56,7.1,2.27,1,0,0.0,55.4,31,0,20,6.1,59,2,-0.44,13,1296,20.1,29.8,33.5,40.6,0,3,59,2,33.9,10.0,42.6,3.4,2,1,0,1,0,4,6.8,224,4.0
Max Zavala,210343,QB,VA LYNCHBU,2,63.6,44,50,7.2,2.51,2,0,0.0,54.0,27,0,28,3.6,60,1,-0.41,12,406,71.3,50.5,48.2,61.4,0,3,63,1,35.0,21.4,47.6,10.0,6,3,0,4,1,3,4.8,226,4.5
Rahsaan Matthews Jr.,193775,QB,VIRSTA,1,60.0,40,49,12.6,3.15,0,4,7.8,42.9,21,0,21,12.5,55,3,0.16,13,1164,72.1,63.2,59.7,60.6,1,1,57,0,43.6,14.3,67.7,5.5,3,3,0,8,2,3,5.3,292,6.0
Jabari Ruise,210348,QB,VA LYNCHBU,4,54.8,42,44,10.6,2.82,1,2,4.3,40.9,18,0,23,21.7,60,5,-0.58,10,406,20.3,40.8,40.1,54.7,0,2,64,0,26.7,39.1,48.4,15.0,9,7,0,1,1,6,9.4,249,5.7
Jay Carney,164716,QB,LINCOK,4,48.8,41,43,11.0,3.29,0,1,2.3,41.9,18,0,24,10.0,63,2,-0.71,9,1452,43.8,29.1,32.9,39.8,0,2,64,1,23.8,33.3,36.9,12.7,8,12,0,2,0,5,7.8,199,4.6
Jordan McCarty,180205,QB,W OREGON,1,69.2,39,41,9.5,2.58,1,2,4.4,58.5,24,0,15,11.1,47,3,-0.4,11,411,71.8,67.6,65.4,64.7,1,2,51,0,29.8,13.3,65.7,4.3,2,4,0,0,1,0,0.0,266,6.5
Jamir Dismukes,207790,QB,ALU,1,71.1,38,39,11.6,3.02,0,1,2.4,66.7,26,0,23,3.7,51,1,0.28,21,735,71.7,72.6,68.7,68.4,0,0,55,1,51.0,17.4,107.6,7.8,4,8,0,1,2,0,0.0,308,7.9
Mason McKenzie,207982,QB,SVSU,1,62.2,37,39,10.4,2.53,0,0,0.0,53.8,21,0,9,8.7,43,2,0.11,11,1082,72.3,71.0,69.4,67.0,0,1,46,1,41.9,11.1,74.9,2.3,1,3,1,1,2,0,0.0,202,5.2
Noah Bodden,150881,QB,ED WATERS,1,51.4,35,39,10.4,2.72,1,0,0.0,46.2,18,0,21,0.0,44,0,-0.39,11,372,71.7,45.9,38.2,73.9,0,3,46,3,34.1,14.3,34.9,6.8,3,2,0,3,1,4,8.7,167,4.3
Chase Altis,207551,QB,GC,1,68.8,32,35,11.7,2.29,1,3,7.9,57.1,20,0,17,9.1,42,2,-0.36,8,1533,23.4,42.7,46.0,56.5,1,2,45,2,38.1,35.3,50.9,14.3,6,1,0,1,0,5,11.1,210,6.0
Donnie Smith,210870,QB,NORTHEA ST,1,67.6,34,34,7.9,2.38,0,3,8.1,52.9,18,0,19,21.7,37,5,-0.35,6,1030,31.1,60.5,61.5,57.3,0,2,40,0,29.7,10.5,68.0,5.4,2,1,0,0,2,4,10.0,218,6.4
Drew Nye,213018,QB,OBERLIN,1,56.7,30,34,5.5,2.51,1,0,0.0,47.1,16,0,8,5.9,37,1,-0.39,6,1544,68.8,44.3,43.6,57.8,1,0,37,0,21.6,12.5,53.8,2.7,1,2,0,2,0,1,2.7,90,2.6
Kohl Meisman,211694,QB,WLU,1,67.7,31,34,10.4,2.56,1,3,8.1,58.8,20,0,19,4.8,43,1,-0.24,13,1178,71.0,75.7,72.5,68.6,1,2,47,0,41.9,21.1,62.5,9.3,4,4,0,1,1,1,2.1,213,6.3
Hamas Duren,211979,QB,LINCOLN,1,79.3,29,34,5.6,2.68,0,2,5.7,55.9,19,0,19,17.4,38,4,-0.03,9,380,32.8,63.4,67.7,49.1,1,0,39,0,39.5,21.1,91.7,10.5,4,0,0,4,2,1,2.6,191,5.6
C.J. Jackson,213088,QB,OHIO WES,1,57.1,28,32,10.0,2.49,2,0,0.0,43.8,14,0,12,12.5,36,2,-0.49,4,1042,36.3,42.1,49.3,39.4,0,0,40,0,16.7,25.0,51.6,8.3,3,1,0,2,0,1,2.5,100,3.1
DJ Ralph,158802,QB,CHADST,1,70.0,30,31,8.8,2.75,0,0,0.0,64.5,20,0,14,4.8,37,1,-0.13,13,809,69.9,62.8,63.0,58.3,0,1,40,0,45.9,21.4,71.6,8.1,3,3,0,1,0,1,2.5,217,7.0
Brand Campbell,179911,QB,WABASH,1,65.4,26,31,13.8,3.03,1,3,8.3,48.4,15,0,14,11.8,38,2,-0.04,10,1167,36.2,69.3,72.4,56.5,0,0,44,0,34.2,21.4,82.7,7.9,3,4,0,4,1,1,2.3,220,7.1
Dylan Hair,211379,QB,TRSU,1,62.1,29,31,11.4,2.85,0,1,2.9,45.2,14,0,8,22.2,33,4,0.11,9,1147,37.6,69.6,69.4,61.3,0,0,36,0,36.4,25.0,101.7,6.1,2,0,0,2,3,0,0.0,221,7.1
Nico Cleaves,182849,QB,VA LYNCHBU,1,44.8,29,31,16.6,3.51,0,2,6.5,35.5,11,0,15,15.4,41,2,-0.31,9,406,34.5,46.2,50.1,49.7,0,3,41,0,36.6,13.3,16.3,4.9,2,8,0,2,1,1,2.4,100,3.2
Scott Ballentine,212705,QB,DEPAUW,1,65.4,26,31,12.5,2.68,2,4,11.4,54.8,17,0,20,0.0,38,0,-0.05,11,845,33.4,71.4,75.3,47.7,2,1,42,0,34.2,20.0,102.2,10.5,4,3,0,1,3,2,4.8,265,8.5
Bay Harvey,212831,QB,JHN HOP,1,70.4,27,31,13.9,3.18,0,2,6.5,54.8,17,0,12,10.5,34,2,0.12,11,1543,70.9,77.9,81.8,56.2,0,1,35,0,38.2,8.3,103.3,2.9,1,2,0,4,3,1,2.9,273,8.8
Luke Warnock,206990,QB,Bent,1,70.0,30,30,6.5,2.5,0,1,3.1,60.0,18,0,3,14.3,33,3,-0.37,6,1238,69.1,43.1,44.5,52.8,0,1,35,0,33.3,66.7,51.2,6.1,2,1,0,0,0,2,5.7,94,3.1
Cole Michael Francis,211273,QB,TXWSLY,1,51.7,29,30,10.8,2.41,0,2,6.7,50.0,15,0,6,0.0,33,0,-0.56,7,1457,68.4,49.4,46.2,64.3,0,2,33,0,30.3,33.3,46.1,6.1,2,1,0,1,0,3,9.1,217,7.2
Christopher Perkins,211881,QB,ELIZBTH ST,1,73.1,26,30,6.8,2.78,1,0,0.0,63.3,19,0,17,0.0,36,0,0.31,12,373,27.4,53.7,51.8,59.1,1,0,43,0,41.7,5.9,92.1,2.8,1,5,0,2,1,2,4.7,188,6.3
Isaiah Knowles,144324,QB,ALBANY ST,1,80.0,25,30,10.0,2.81,2,4,11.8,56.7,17,0,7,15.0,36,3,0.12,14,360,69.5,91.0,90.7,67.2,0,0,40,0,47.2,28.6,88.3,5.6,2,4,0,3,1,0,0.0,201,6.7
Michael Franklin,196791,QB,TUSKEGEE,1,51.7,29,29,14.7,2.77,0,2,6.3,41.4,12,0,4,20.0,33,3,-0.28,9,405,29.9,31.4,31.6,53.4,0,3,36,0,36.4,75.0,38.4,9.1,3,1,0,0,1,4,11.1,208,7.2
