player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Cinsere Clark,155641,WR,VA LYNCHBU,6,12.9,5,45.5,0.0,0,2,0,13.0,3,-0.34,10,406,0,57.7,71.2,63.5,,62.6,0.0,0,2,46,0.0,0,228,0,29.2,20,93.0,212,27.6,63,45.0,44,0,71.9,164,253,87,4.4,12.7,1.19
Donmonic Perks,168837,WR,VA LYNCHBU,6,12.0,7,43.9,20.0,1,5,1,14.3,3,-0.19,11,406,0,50.8,70.8,61.5,66.4,62.3,0.6,1,1,90,0.6,1,180,2,29.2,18,92.8,167,42.2,76,68.0,41,1,57.2,103,309,162,9.0,17.2,1.85
Joshua Gray,155644,WR,VA LYNCHBU,6,10.3,3,47.8,33.3,1,3,1,0.0,0,-0.36,4,406,0,81.5,69.0,52.4,70.8,52.6,0.0,0,1,18,1.3,2,149,1,23.4,11,96.0,143,71.1,106,39.6,23,0,26.8,40,87,65,5.9,7.9,0.61
Anthony Duffy,168849,WR,VA LYNCHBU,7,11.5,1,45.0,50.0,1,2,0,18.2,2,-0.24,2,406,1,44.3,18.7,48.7,,48.5,0.5,1,1,22,0.0,0,190,1,28.7,9,95.3,181,54.2,103,52.3,20,1,45.3,86,81,7,0.8,9.0,0.45
Jhayvee Daily,155750,WR,LINCOK,5,6.7,0,43.8,0.0,0,3,0,22.2,2,-0.74,1,1452,0,38.0,68.8,50.9,,51.7,0.0,0,3,10,0.0,0,73,1,27.3,7,90.4,66,82.2,60,11.5,16,0,17.8,13,40,15,2.1,5.7,0.61
Treyvion Dimmings,168370,WR,LINCOK,5,16.8,2,50.0,60.0,3,5,0,11.1,1,-0.63,4,1452,2,59.3,9.0,57.7,,57.5,0.0,0,1,47,0.0,0,104,0,22.3,8,90.4,94,1.0,1,56.0,16,0,99.0,103,147,10,1.3,18.4,1.56
Seeger DeGayner,166918,WR,CONCMI,1,8.9,1,60.0,,0,0,0,10.0,1,-0.24,4,1472,0,61.0,69.1,61.1,,60.9,0.0,0,2,18,0.0,0,45,0,50.0,9,97.8,44,37.8,17,38.9,15,0,60.0,27,95,43,4.8,10.6,2.16
Lorenzo Hardy,169109,WR,VA LYNCHBU,5,11.7,1,35.7,20.0,1,5,0,16.7,1,-0.28,3,406,0,49.8,65.7,54.2,66.3,53.2,1.1,1,1,20,2.2,2,92,0,35.3,5,90.2,83,40.2,37,43.8,14,1,58.7,54,60,-2,-0.4,12.0,0.72
Jacquez Carter,105057,WR,INWSLY,1,7.9,2,61.5,50.0,1,2,0,11.1,1,-0.04,3,1451,0,61.0,70.2,64.8,,64.5,0.0,0,0,47,0.0,0,51,0,34.7,8,96.1,49,72.5,37,84.1,13,0,23.5,12,96,52,6.5,12.0,1.96
Mikey Jones,160794,WR,LIMEST,1,11.9,1,58.3,50.0,1,2,0,0.0,0,0.04,4,1283,0,78.5,66.7,75.6,,74.4,0.0,0,0,42,0.0,0,37,0,45.9,7,100.0,37,2.7,1,118.4,12,1,97.3,36,115,70,10.0,16.4,3.11
Jaiveyon Tucker,166370,WR,FLKNR,1,15.0,1,25.0,20.0,1,5,0,40.0,2,-0.35,3,1270,0,21.7,64.1,57.7,,57.3,0.0,0,0,19,0.0,0,37,0,29.4,3,91.9,34,2.7,1,41.0,12,0,97.3,36,40,11,3.7,13.3,1.18
Ronnie Faison,168963,WR,VA LYNCHBU,5,14.8,0,33.3,100.0,2,2,0,33.3,2,-0.43,4,406,0,25.7,69.6,59.6,,59.1,0.0,0,0,59,0.0,0,75,0,20.5,4,97.3,73,62.7,47,110.1,12,2,37.3,28,117,55,13.8,29.3,1.6
