player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Otis Weah,87580,HB,LINCOK,8,122,41,5,28.3,128,0,452,4,7,41,420,110.9,11,23,1452,2,40,66.9,64.2,85.5,,56.0,66.2,63.9,47.6,47,0,234,27,170,153,0,0,36,149,3,452,420,3.44,3.7,1.38,77
Jacob Walker,182442,HB,VA LYNCHBU,6,60,12,3,46.4,77,1,166,0,1,12,187,59.6,4,8,406,1,19,83.4,62.4,0.0,,70.5,66.3,62.9,52.3,44,2,52,8,75,80,0,0,10,68,0,166,187,3.12,2.8,0.69,39
TJ Goodwin,100826,QB,LINCOK,8,39,5,1,11.9,19,0,95,0,0,4,59,48.8,2,8,1452,7,7,25.5,44.5,71.3,43.8,,60.0,53.7,60.0,19,1,0,0,1,170,64,17,0,22,1,159,104,2.67,4.1,0.0,12
Brian Trobel,179546,HB,EDNBFS,2,34,9,3,43.9,75,0,171,1,0,9,102,71.1,5,9,860,0,18,79.8,76.3,78.0,,79.9,51.2,79.6,56.8,30,1,16,4,30,52,0,0,5,38,3,171,102,3.0,5.0,0.53,16
Justus Durant,181430,HB,SHORTER,2,33,9,1,16.0,20,0,125,0,1,9,94,69.5,3,9,396,0,10,79.8,75.5,78.9,,78.6,64.2,76.8,59.9,20,0,20,8,39,37,0,0,10,41,2,125,94,2.85,3.8,0.51,23
Kelvin Smith,167561,HB,DELTAST,2,32,3,2,45.5,71,0,156,0,0,3,71,19.6,4,8,841,0,5,79.5,70.7,78.0,,29.7,71.4,72.2,45.8,52,0,101,2,27,38,0,0,2,34,2,156,71,2.22,4.9,3.74,27
Rontavious Farmer,165493,HB,STTMFL,1,31,8,2,37.9,74,0,195,0,0,8,130,101.7,4,9,1477,1,9,46.9,66.7,77.8,,66.0,63.6,69.9,36.2,39,0,14,2,19,38,0,0,2,33,2,195,130,4.19,6.3,0.74,20
Corey Watkins,78575,HB,N GREENVLE,2,30,14,3,48.0,60,0,125,0,0,14,104,151.7,4,9,390,1,13,46.9,71.3,78.9,,66.1,73.3,69.6,57.7,24,0,53,2,43,42,0,0,2,32,2,125,104,3.47,4.2,1.23,16
Johnny Morris,168550,HB,TUSKEGEE,2,26,7,1,19.0,24,0,126,0,0,7,102,101.7,5,7,405,0,10,78.5,67.5,77.4,,51.3,58.3,68.0,59.7,24,0,2,1,13,30,0,0,1,27,0,126,102,3.92,4.8,0.15,16
Matt Carlisle,138330,QB,EDNBFS,2,26,9,3,27.5,60,0,146,0,0,6,51,84.8,8,11,860,2,11,37.4,58.8,40.8,42.6,,,75.5,60.0,32,2,0,0,0,57,72,7,0,19,1,218,70,2.69,8.4,,4
