player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jakari Patterson,53555,LB,ROB MORRIS,7,11,1,100.0,0,1,277,0,0,67.4,70.5,82.1,53.6,75.3,64.0,0,7,0,0,39,16.7,8,0,0,102.1,14,0,0,188,3,133,344,49,0,0,49,0,0,295,27,184,104,17,29,4,14,7,0,119,57,8.5
Jacob Skobis,70487,S,IDAHO,2,1,0,25.0,0,0,185,0,0,54.0,58.5,74.7,,67.6,78.7,0,0,0,0,34,0.0,0,0,0,62.5,1,0,0,5,0,18,32,0,0,0,0,0,19,32,0,14,8,0,1,0,4,0,0,34,0,34.0
Anthony Hebert,70875,S,DELWARE ST,10,6,0,74.1,0,0,152,1,0,66.0,62.5,50.1,56.7,57.6,54.1,0,3,0,0,36,21.0,13,1,1,137.2,20,2,0,191,0,392,653,23,0,0,23,0,393,630,21,240,46,14,43,1,27,5,4,219,99,11.0
Bryce Lucas,71098,CB,E WASHGTON,1,0,0,100.0,0,0,161,0,0,62.8,63.5,74.9,,62.1,77.0,0,0,0,0,15,0.0,0,0,0,116.7,2,0,0,1,28,15,30,1,0,0,1,0,0,29,0,15,0,0,2,0,2,0,0,24,10,12.0
Kamren Blanton,71575,S,TEXAS STHN,1,1,0,100.0,0,0,313,0,0,39.2,42.1,69.2,,58.4,76.5,0,0,0,0,7,0.0,0,0,0,131.3,2,0,0,5,0,5,12,0,0,0,0,0,5,12,0,7,2,0,1,0,2,0,1,12,14,6.0
Quentin Moten,71681,CB,N ARIZONA,11,8,0,55.4,0,0,252,0,0,78.8,76.9,85.0,43.7,64.3,42.1,0,1,0,4,61,23.8,10,7,1,60.5,31,0,0,36,514,350,564,3,0,0,3,0,3,561,2,212,6,10,24,1,56,1,2,405,187,13.1
Jake Hall,72023,LB,MAINE,12,6,0,91.3,1,0,212,0,0,55.5,55.1,0.0,49.0,66.1,44.9,1,2,0,0,13,22.6,7,0,2,89.3,21,0,0,260,1,176,308,20,0,1,19,0,2,288,36,96,25,13,18,1,23,3,0,125,110,6.0
Cole Bullock,72090,LB,NEW HAMP,10,13,0,92.3,0,0,240,0,0,76.9,75.6,83.6,70.2,68.6,78.0,1,2,0,0,35,10.7,6,0,0,104.8,12,0,0,342,0,147,370,2,0,0,2,0,1,368,6,217,23,12,37,2,13,3,0,119,88,9.9
Dillon Towles-Kendle,72160,CB,PRESBYTERN,3,0,0,0.0,0,0,271,0,0,64.6,68.7,74.3,,71.3,76.0,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,3,22,10,29,2,0,0,2,0,1,27,0,19,0,1,1,1,1,0,0,0,0,
Logan Pili,72354,LB,UTAHTC,11,14,0,83.3,0,0,1285,0,0,48.7,56.5,80.9,50.5,64.9,72.2,0,4,0,0,60,13.6,6,0,0,152.1,15,0,0,357,0,146,414,13,0,0,13,0,0,401,45,223,43,15,24,1,18,4,3,198,131,13.2
