player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Nolan Hay,161411,T,INCAR WORD,14,100.0,0,189,76.8,80.6,70.1,1,15,592,100.0,100.0,98.0,3,20,4,1052,0,0,0,1052,621,621,56,996,431,0
Rasheed Jackson,172954,T,INCAR WORD,14,100.0,1,189,53.4,67.3,44.7,4,24,592,100.0,100.0,97.6,6,28,0,1052,0,1,1050,1052,621,621,0,0,431,0
Mason Williams,108596,C,INCAR WORD,14,100.0,1,189,59.7,83.8,50.8,2,6,589,100.0,100.0,99.3,7,8,0,1042,1042,0,0,1042,617,617,0,0,425,0
Eli Simonson,129712,T,UC DAVIS,14,99.8,0,322,66.0,66.2,65.3,4,20,570,99.7,99.7,97.0,6,29,5,1024,0,1,1014,1026,596,598,0,0,428,11
Tay Yanta II,144742,C,ABILENE CH,14,100.0,0,100,61.3,82.8,57.7,3,7,580,100.0,100.0,98.8,12,12,2,1023,1023,0,0,1023,608,608,0,0,415,0
Zaire Collier,185105,C,UC DAVIS,14,99.9,0,322,66.0,67.5,62.8,3,8,567,99.8,99.8,98.1,1,16,5,1022,1021,0,0,1023,593,594,1,0,429,1
Jacob Thielen,123528,G,ABILENE CH,14,100.0,0,100,75.1,77.5,76.2,2,13,579,100.0,100.0,98.5,5,16,1,1020,0,0,0,1020,607,607,1020,0,413,0
Carter Guillaume,192860,G,SE MO ST,13,100.0,0,293,63.7,81.4,57.6,2,9,669,100.0,100.0,99.2,6,11,0,1012,0,1012,0,1012,707,707,0,0,305,0
Kobe Sixkiller,159622,C,SE MO ST,13,100.0,0,293,61.8,79.4,54.7,3,14,667,100.0,100.0,98.6,10,18,1,1011,569,0,0,1011,705,705,441,0,306,0
Jace Rodriguez,164622,G,UC DAVIS,14,99.8,0,322,57.2,67.9,52.4,0,4,553,99.6,99.7,98.4,3,11,7,998,0,904,2,1000,577,579,0,92,421,1
Landon Woodard,159364,G,ILL STATE,14,100.0,0,188,62.5,85.1,54.1,2,6,523,100.0,100.0,99.2,2,8,0,998,0,25,0,998,545,545,973,0,453,0
Trent Pullen,122983,T,ABILENE CH,14,100.0,0,100,63.1,67.1,59.9,9,33,562,100.0,100.0,96.1,6,43,1,997,0,0,0,997,589,589,0,997,408,0
JJ Guedet,101563,T,ILL STATE,14,100.0,1,188,72.3,78.4,66.2,1,10,516,100.0,100.0,98.7,3,12,1,986,0,53,933,986,537,537,0,0,449,0
Trent Fraley,156795,C,N DAK ST,16,100.0,0,250,67.9,82.2,62.7,1,13,430,100.0,100.0,98.4,5,14,0,984,984,0,0,984,459,459,0,0,525,0
Jake Pope,99114,T,ILL STATE,14,100.0,0,188,75.7,75.5,71.3,5,14,502,100.0,100.0,97.1,1,24,5,975,0,0,10,975,524,524,0,965,451,0
Grey Zabel,125314,T,N DAK ST,16,100.0,2,250,90.4,93.1,86.4,2,4,424,100.0,100.0,99.1,7,7,1,970,0,0,961,970,453,453,0,0,517,8
Alan Hatten,151176,G,ABILENE CH,14,100.0,0,100,65.6,73.7,62.9,2,15,537,100.0,100.0,98.0,4,19,2,964,0,964,0,964,560,560,0,0,404,0
Mason Miller,125300,T,N DAK ST,16,100.0,0,250,77.8,79.9,75.1,1,14,419,100.0,100.0,97.7,5,17,2,959,0,0,1,959,448,448,20,934,511,3
Cade Klimczak,130440,C,MONTANA,14,100.0,0,232,63.8,72.9,59.9,6,7,525,100.0,100.0,98.0,5,17,4,959,833,125,0,959,552,552,0,0,407,1
Titan Fleischmann,147659,T,MONTANA ST,16,100.0,0,233,83.1,69.6,84.5,0,9,361,100.0,100.0,98.5,5,10,1,956,0,0,0,956,370,370,0,955,586,0
Cole Sain,89376,C,MONTANA ST,16,100.0,0,233,64.6,57.9,65.0,4,8,360,100.0,100.0,97.5,5,15,3,952,952,0,0,952,369,369,0,0,583,0
Ryan Gudaitis,148039,C,ILL STATE,13,100.0,0,188,57.9,71.2,52.1,0,11,496,100.0,100.0,98.3,2,14,3,938,938,0,0,938,517,517,0,0,421,0
Ernesto Nava,168468,T,UC DAVIS,13,100.0,0,322,64.4,79.9,58.6,1,14,524,100.0,100.0,97.8,9,19,4,935,0,1,5,935,547,547,0,928,388,1
Riley Adcock,139051,C,MERCER,14,100.0,0,219,66.8,82.2,61.9,0,3,437,100.0,100.0,99.4,3,4,1,935,935,0,0,935,450,450,0,0,485,0
Marcus Wehr,102004,G,MONTANA ST,16,100.0,0,233,89.3,82.3,88.8,2,3,358,100.0,100.0,99.3,4,5,0,935,0,0,0,935,367,367,935,0,568,0
Hunter Smith,155264,G,TARLETON,14,100.0,1,401,75.5,90.4,72.6,0,1,394,100.0,100.0,99.9,5,1,0,934,0,933,0,934,417,417,1,0,517,0
Niko Papic,104436,T,STNY BROOK,12,100.0,2,303,67.4,68.9,64.2,2,12,456,100.0,100.0,98.2,2,15,1,933,0,213,152,933,480,480,0,567,453,0
Brandon Casey,143705,T,MONTANA,14,100.0,1,232,74.6,72.0,74.0,7,14,517,100.0,100.0,97.4,6,24,3,930,0,1,0,930,544,544,0,927,386,2
Blake Whitmore,104723,C,W CAROLINA,12,100.0,1,344,63.3,79.7,56.5,0,3,565,100.0,100.0,99.0,4,7,4,919,919,0,0,919,592,592,0,0,327,0
Kollin Melendez,148434,G,STNY BROOK,12,100.0,0,303,60.5,43.3,62.5,3,18,450,100.0,100.0,97.7,2,21,0,917,0,89,0,917,474,474,827,1,443,0
Vance Van Every,157514,C,TENN MARTN,14,100.0,0,310,65.4,79.8,59.1,1,9,445,100.0,100.0,98.7,2,11,1,916,916,0,0,916,463,463,0,0,453,0
Tuli Teuhema,182309,C,TARLETON,14,100.0,0,401,74.8,84.1,71.9,0,4,389,100.0,100.0,99.2,3,5,1,913,913,0,0,913,411,411,0,0,502,0
Griffin Empey,177170,G,N DAK ST,14,100.0,0,250,67.8,71.7,67.6,1,10,401,100.0,100.0,97.9,4,14,3,912,0,728,0,912,429,429,184,0,483,0
