player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Cam Ward,133244,QB,INCAR WORD,13,74.2,562,592,8.2,2.67,6,24,3.8,65.2,386,1,195,7.4,666,31,0.29,240,189,25.2,66.9,65.3,62.5,7,10,706,1,51.1,17.9,108.6,5.3,35,33,0,17,47,25,3.5,4650,7.9
Ren Hefley,101621,QB,PRESBYTERN,11,69.9,542,563,7.8,2.49,5,35,5.8,61.8,348,0,198,8.2,645,31,-0.15,179,271,55.9,60.8,58.2,71.2,4,32,690,7,39.1,24.7,81.9,7.6,49,32,0,12,39,47,6.8,3908,6.9
Eric Barriere,40109,QB,E WASHGTON,13,74.3,540,558,10.6,2.88,6,33,5.7,64.7,361,0,169,10.0,625,40,0.43,248,161,62.9,91.7,90.1,81.9,1,8,651,1,52.0,14.8,114.8,4.0,25,40,2,9,45,25,3.8,5081,9.1
Cole Kelley,39945,QB,SE LA,13,82.2,539,556,8.8,2.54,4,28,4.9,73.4,408,0,187,7.9,630,35,0.34,261,294,40.6,92.2,91.6,72.4,8,10,647,0,56.0,17.1,120.2,5.1,32,40,3,2,43,15,2.3,5156,9.3
Mark Pappas,109046,QB,MOREHEAD,11,65.3,470,490,9.8,2.47,3,29,5.7,57.1,280,0,150,8.8,520,27,0.09,185,234,68.4,69.2,66.3,68.9,3,19,536,1,45.0,8.7,82.0,2.5,13,14,1,13,28,24,4.5,3461,7.1
Connor Sampson,33374,QB,W ILLINOIS,11,78.4,431,478,7.3,2.97,10,22,4.4,64.9,310,0,205,8.3,551,28,-0.13,160,345,51.1,73.1,74.8,45.8,5,14,573,2,40.8,23.9,87.0,8.9,49,24,0,32,22,20,3.5,3184,6.7
Liam Welch,19897,QB,SAMFORD,11,75.7,460,476,7.8,2.48,9,22,4.4,66.0,314,0,115,9.8,524,34,0.03,168,282,68.3,88.6,80.5,83.7,0,15,554,3,46.8,13.0,88.8,2.9,15,32,0,7,22,16,2.9,3371,7.1
E.J. Perry,60349,QB,BROWN,10,73.8,431,452,7.5,2.65,8,13,2.8,65.7,297,0,137,6.6,512,21,0.04,177,123,32.5,75.2,71.4,69.5,1,14,530,2,48.2,21.2,89.1,5.7,29,31,0,12,23,19,3.6,3060,6.8
Davis Alexander,52162,QB,PORTLAND,11,72.8,404,435,9.6,2.84,7,31,6.7,61.1,266,0,153,9.5,484,28,0.04,161,269,34.2,80.1,77.8,67.8,3,12,512,5,45.9,12.4,87.1,3.9,19,27,1,20,21,22,4.3,3073,7.1
Nic Baker,87541,QB,S ILLINOIS,13,71.4,399,425,9.1,2.82,11,27,6.1,62.8,267,0,168,6.3,494,18,0.07,145,295,38.1,69.6,70.4,57.0,6,11,513,0,46.6,19.6,96.6,6.7,33,36,0,9,27,22,4.3,3243,7.6
Westin Elliott,60433,QB,MERRIMACK,11,73.0,407,424,8.7,2.51,4,25,5.6,67.0,284,0,155,4.4,464,13,0.04,148,385,67.2,76.2,75.7,59.7,6,16,488,3,46.8,15.5,94.5,5.2,24,11,0,7,30,24,4.9,2921,6.9
Shedeur Sanders,131396,QB,JACKSON ST,13,77.0,387,419,10.1,2.92,4,22,5.0,65.2,273,0,173,8.4,503,25,0.07,165,194,27.5,79.5,86.6,41.6,9,8,526,6,44.5,20.2,104.4,7.0,35,49,1,18,30,11,2.1,3232,7.7
Aqeel Glass,60328,QB,ALAB A&M,10,73.1,390,417,8.5,2.31,8,26,5.8,62.8,262,0,130,8.1,446,23,0.22,166,104,50.1,90.2,90.3,55.8,4,7,477,5,50.2,20.0,112.2,5.8,26,2,1,14,36,12,2.5,3603,8.6
Jack Chambers,60359,QB,CHARLES SO,10,63.7,394,415,8.6,2.69,3,24,5.5,54.7,227,0,154,9.6,503,24,-0.11,136,135,55.0,64.9,54.6,82.5,4,10,526,1,38.2,25.3,76.2,7.8,39,47,0,14,17,22,4.2,2480,6.0
Jason Shelley,60581,QB,MO STATE,12,68.9,383,403,10.2,2.96,7,18,4.3,58.8,237,0,208,10.2,510,27,0.11,163,230,49.8,75.4,69.2,77.2,2,8,529,4,46.9,25.5,95.6,10.4,53,54,2,9,22,20,3.8,3348,8.3
Cole Johnson,29785,QB,JAMES MAD,13,75.4,378,399,9.4,2.55,2,27,6.5,66.4,265,0,109,7.0,451,20,0.25,171,197,45.1,89.7,88.0,67.1,6,4,468,2,51.2,25.7,118.9,6.2,28,24,0,13,35,9,1.9,3485,8.7
Tim Demorat,78498,QB,FORDHAM,11,70.0,377,397,12.2,2.55,5,26,6.3,58.7,233,0,97,11.7,421,31,0.19,162,168,59.9,72.9,72.1,56.6,3,9,437,0,49.4,15.5,101.2,3.6,15,9,1,11,31,20,4.6,3206,8.1
Trae Self,103962,QB,STF AUSTIN,12,74.4,359,386,7.6,2.53,6,9,2.3,63.0,243,0,134,9.0,431,24,0.13,145,301,61.9,78.4,73.7,74.1,7,9,442,3,44.5,15.7,103.5,4.9,21,23,2,12,28,11,2.5,3198,8.3
Chris Oladokun,40364,QB,S DAK ST,15,74.4,359,382,10.7,3.06,4,18,4.6,62.3,238,0,139,10.9,440,29,0.19,164,292,42.4,86.6,85.9,63.3,2,7,456,1,48.9,12.2,102.7,3.9,17,40,0,17,25,15,3.3,3163,8.3
Parker McKinney,82109,QB,E KENTUCKY,11,70.7,355,379,9.5,2.53,7,16,4.0,60.7,230,0,122,8.4,431,21,0.0,130,159,64.1,79.8,75.5,72.8,1,9,457,2,41.3,13.1,85.4,3.7,16,35,0,16,18,12,2.6,2440,6.4
Justin Miller,103941,QB,SO UTAH,11,70.0,357,374,8.1,2.63,7,18,4.5,61.5,230,0,84,8.0,391,20,-0.07,117,298,57.5,70.9,69.1,61.6,3,13,418,1,45.0,14.3,73.7,3.1,12,5,0,7,9,15,3.6,2411,6.4
Rasean McKay,88321,QB,FL A&M,12,69.8,348,373,9.5,2.26,9,17,4.4,58.4,218,0,129,10.3,393,25,0.05,121,164,45.6,71.5,73.5,42.5,8,5,414,6,43.8,9.3,92.5,3.1,12,6,1,7,22,14,3.4,2470,6.6
Zevi Eckhaus,148535,QB,BRYANT,11,74.6,347,372,8.4,2.55,12,19,4.7,63.2,235,1,154,9.3,423,24,0.13,147,124,54.7,84.1,81.6,71.4,8,3,455,6,46.8,9.7,97.4,3.5,15,35,0,5,21,11,2.4,2429,6.5
Tony Muskett,142933,QB,MONMOUTH,11,72.2,360,371,9.1,2.36,4,29,7.5,65.0,241,0,95,7.3,426,19,0.08,136,231,60.2,86.2,86.4,59.6,1,6,443,2,43.4,33.7,102.0,7.5,32,23,1,5,25,8,1.8,2680,7.2
Eric Schmid,66632,QB,SM HOUSTON,11,69.2,341,369,10.4,2.67,6,18,4.6,58.3,215,1,91,8.9,422,21,0.18,142,281,50.8,74.9,74.3,63.8,1,10,448,3,47.6,15.4,97.4,3.3,14,38,1,20,29,10,2.2,2818,7.6
Corey Fields Jr.,78539,QB,SCAR STATE,12,60.6,343,366,12.6,2.64,7,22,5.8,50.5,185,0,119,11.1,410,23,-0.06,115,290,68.1,69.0,68.5,58.6,5,13,423,2,37.8,14.3,72.3,4.1,17,27,0,11,18,17,4.0,2331,6.4
Davis Cheek,55146,QB,ELON,10,76.9,338,365,9.0,2.72,2,22,5.8,64.4,235,0,134,9.6,401,25,0.06,128,162,66.9,91.4,91.6,56.6,3,4,418,2,45.9,11.2,95.8,3.7,15,20,1,21,15,4,1.0,2713,7.4
Draylen Ellis,121346,QB,AUSTINPEAY,9,67.2,329,356,12.1,2.67,4,25,6.6,55.1,196,0,96,11.3,404,25,-0.06,96,116,46.6,62.1,61.8,61.7,1,8,428,7,35.4,25.0,85.1,5.9,24,16,1,21,18,19,4.4,2535,7.1
Rogan Wells,149999,QB,W CAROLINA,9,72.9,329,356,8.4,2.92,3,15,4.0,58.1,207,0,128,13.8,406,33,-0.01,130,344,43.5,75.0,68.8,74.9,1,13,426,0,41.6,14.8,84.3,4.7,19,29,1,22,20,16,3.8,2585,7.3
Bailey Fisher,88643,QB,GARD-WEBB,11,71.6,324,347,8.2,2.64,5,18,4.9,59.1,205,0,126,11.6,399,27,-0.06,114,171,28.0,65.2,65.2,60.9,5,5,417,5,40.1,16.7,90.2,5.3,21,28,0,13,18,15,3.6,2302,6.6
