player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Fotis Kokosioulis,78174,WR,FORDHAM,12,11.3,13,66.5,28.6,4,14,0,8.8,10,0.35,60,168,1,68.9,53.1,84.8,,85.1,0.0,0,4,84,0.0,0,511,0,50.5,103,94.5,483,93.5,478,115.0,155,15,6.3,32,1339,534,5.2,13.0,2.77
Joey Hobert,131934,WR,UTAHTC,11,13.0,7,61.1,63.6,14,22,1,11.7,12,-0.05,55,1285,1,52.9,64.5,82.8,,83.2,0.2,1,0,50,0.0,0,511,1,39.2,91,93.9,480,89.0,455,124.2,149,16,10.6,54,1268,432,4.7,13.9,2.64
Joshua Tomas,109716,WR,GEORGETOWN,11,9.0,22,77.9,50.0,5,10,0,3.8,4,0.06,61,172,0,86.8,83.4,89.9,,90.3,0.9,4,4,75,0.0,0,459,1,45.8,102,95.9,440,83.7,384,121.3,131,11,14.4,66,1237,613,6.0,12.1,2.81
Chandler Smith,87722,WR,SAMFORD,13,8.2,19,79.1,50.0,5,10,0,2.9,3,0.23,44,282,0,90.1,82.9,73.0,61.0,76.3,5.4,30,0,49,0.2,1,559,1,48.2,102,95.5,534,87.5,489,129.9,129,11,7.2,40,1079,547,5.4,10.6,2.02
Zach Patterson,160135,WR,NWSTATE,11,6.9,11,63.3,62.5,5,8,0,10.0,9,-0.06,39,257,2,62.0,43.2,63.6,,65.8,0.0,0,3,53,0.0,0,429,1,37.8,81,96.7,415,94.9,407,80.8,128,5,4.9,21,698,350,4.3,8.6,1.68
Xavier Smith,102585,WR,FL A&M,11,9.5,13,71.8,30.8,4,13,1,4.3,4,0.06,57,164,0,80.8,79.3,86.3,,89.1,0.0,0,2,63,0.0,0,402,1,42.9,89,94.3,379,77.6,312,120.0,124,11,22.1,89,1050,452,5.1,11.8,2.77
Taylor Grimes,89507,WR,INCAR WORD,14,13.2,19,66.7,40.0,8,20,0,3.5,3,0.53,56,189,0,87.6,77.7,85.3,62.1,86.4,0.0,0,1,70,0.2,1,473,2,56.7,82,95.6,452,11.8,56,135.0,123,15,88.2,417,1215,526,6.4,14.8,2.69
Cutrell Haywood,61310,WR,GARD-WEBB,13,10.4,8,63.9,17.6,3,17,1,2.5,2,0.06,42,171,2,86.1,58.0,70.7,,71.5,0.2,1,9,38,0.0,0,475,2,45.4,78,93.5,444,10.3,49,69.9,122,7,89.5,425,767,304,3.9,9.8,1.73
Kendall Watson,64330,WR,SAMFORD,13,9.2,20,72.3,46.2,6,13,0,5.5,5,0.22,46,282,0,79.9,76.5,72.4,,73.2,0.2,1,2,70,0.0,0,551,1,47.9,86,95.5,526,8.5,47,119.1,119,10,91.3,503,1021,464,5.4,11.9,1.94
Drae McCray,149140,WR,AUSTINPEAY,11,10.2,24,66.7,15.0,3,20,1,8.4,7,-0.07,41,116,0,69.1,59.5,82.5,63.6,83.9,0.0,0,4,72,0.3,1,396,2,41.1,76,94.9,376,41.9,166,106.7,114,9,56.6,224,1022,614,8.1,13.4,2.72
Johnny King,134733,WR,SE MO ST,12,11.8,7,60.5,27.8,5,18,1,5.5,4,0.17,46,293,1,78.7,53.0,76.9,,77.3,0.0,0,4,33,0.0,0,420,1,50.1,69,95.5,401,16.0,67,84.5,114,6,84.0,353,794,228,3.3,11.5,1.98
T.J. Luther,88745,WR,GARD-WEBB,13,16.7,14,56.8,36.4,8,22,0,13.7,10,0.03,44,171,0,49.3,75.3,74.6,,76.3,0.0,0,4,62,0.0,0,451,6,44.8,63,93.6,422,16.9,76,102.2,111,8,83.1,375,1168,382,6.1,18.5,2.77
Ryan Flournoy,159617,WR,SE MO ST,11,14.5,8,55.9,35.7,5,14,0,4.6,3,0.2,42,293,1,80.8,52.9,83.9,,84.3,0.0,0,1,62,0.0,0,394,1,51.5,62,95.7,377,12.2,48,104.0,111,7,87.1,343,1016,409,6.6,16.4,2.69
Hayden Hatten,102500,WR,IDAHO,11,12.7,13,76.1,65.4,17,26,0,0.0,0,0.24,56,185,2,95.0,38.7,91.8,,91.9,0.3,1,6,48,0.0,0,386,0,50.1,83,95.1,367,20.7,80,128.5,109,16,78.8,304,1211,280,3.4,14.6,3.3
Javon Antonio,139494,WR,NWSTATE,11,9.7,12,59.3,34.8,8,23,0,8.6,6,-0.1,31,257,0,68.3,75.1,64.8,,64.5,0.0,0,2,49,0.0,0,522,3,37.4,64,96.2,502,11.3,59,88.9,108,6,88.7,463,690,309,4.8,10.8,1.37
Jakob Herres,78984,WR,RICHMOND,13,10.1,10,72.0,36.4,8,22,0,6.1,5,0.13,50,276,0,76.7,77.0,74.3,,75.7,2.3,13,2,63,0.0,0,562,0,49.1,77,97.2,546,79.0,444,110.1,107,6,18.7,105,955,376,4.9,12.4,1.75
Landon Ruggieri,142050,WR,BRYANT,10,12.1,6,59.4,36.8,7,19,0,7.4,5,0.11,45,124,0,72.0,74.9,83.2,,83.4,0.0,0,5,51,0.0,0,383,0,48.7,63,93.2,357,15.4,59,87.3,106,6,84.6,324,927,307,4.9,14.7,2.6
