player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Kayvon Britten,63937,HB,TARLETON,14,340,75,24,33.2,653,0,1966,4,5,75,1025,67.9,47,108,401,2,157,87.1,92.1,85.1,,90.1,62.0,90.8,68.5,96,0,167,15,154,365,0,0,20,355,18,1966,1025,3.01,5.8,1.08,179
Targhee Lambson,179003,HB,SO UTAH,12,320,84,22,34.7,659,0,1897,1,1,84,1175,96.0,50,103,298,0,181,92.6,93.0,86.7,,75.5,47.1,93.2,42.4,76,0,42,5,129,367,0,0,10,325,23,1897,1175,3.67,5.9,0.33,137
Lan Larison,142157,HB,UC DAVIS,14,284,60,18,37.1,546,1,1470,3,17,60,935,72.6,34,74,322,4,181,71.9,84.6,66.7,55.4,89.9,90.5,80.2,58.0,59,2,853,65,369,319,0,0,83,349,17,1470,935,3.29,5.2,2.31,101
Malik Grant,109133,HB,RHODE ISLD,14,271,59,24,43.3,626,0,1446,0,5,59,940,77.9,39,73,274,0,110,92.0,82.6,86.2,,76.5,60.8,82.4,62.3,75,0,152,14,188,324,0,0,16,285,13,1446,940,3.47,5.3,0.81,161
Roland Dempster,142372,HB,STNY BROOK,12,267,77,19,33.2,439,0,1324,1,10,77,998,109.1,30,83,303,4,52,69.4,84.8,86.8,,37.9,70.1,85.5,64.2,54,1,333,31,235,301,0,0,35,298,18,1324,998,3.74,5.0,1.42,214
Zach Palmer-Smith,159550,HB,RICHMOND,13,261,55,17,36.7,508,0,1386,0,6,55,952,83.0,27,78,276,1,107,89.0,82.7,86.9,,77.1,57.0,82.7,60.4,59,0,42,7,188,332,0,0,11,268,13,1386,952,3.65,5.3,0.22,152
Joshua Carter,97142,HB,E KENTUCKY,13,245,48,15,29.6,372,0,1256,0,3,48,797,61.7,38,66,159,1,64,88.5,85.9,86.2,,72.6,71.0,85.5,55.7,77,1,230,24,197,281,0,0,25,269,14,1256,797,3.25,5.1,1.17,181
CharMar Brown,174409,HB,N DAK ST,16,243,51,11,19.9,235,0,1183,1,2,51,758,66.4,28,71,250,0,106,87.9,90.7,86.6,,67.2,55.6,89.4,65.5,48,0,57,6,89,286,0,0,8,249,15,1183,758,3.12,4.9,0.64,137
Antonio Martin,156308,HB,SE LA,12,233,66,16,35.4,435,0,1230,0,3,66,815,96.5,33,74,294,0,119,91.5,77.7,21.5,34.4,63.2,60.0,79.9,54.2,58,2,75,17,155,269,0,0,19,250,11,1230,815,3.5,5.3,0.48,102
Jamar Curtis,159741,HB,LAFAYETTE,12,230,46,15,29.5,337,0,1143,1,5,46,680,58.0,34,78,203,0,47,91.5,86.2,86.4,,73.5,69.4,86.3,54.8,32,0,232,30,200,267,0,0,36,260,16,1143,680,2.96,5.0,1.16,175
Dwayne McGee,188561,HB,MERCER,14,229,62,19,48.2,564,0,1170,0,2,62,751,87.1,35,59,219,1,96,87.1,82.8,85.4,,61.6,61.1,82.5,55.1,64,0,118,12,134,264,0,0,13,241,8,1170,751,3.28,5.1,0.88,132
Elijah Howard,144080,HB,CENT CT ST,11,227,55,9,20.3,191,0,941,3,5,55,684,72.6,27,53,133,3,96,72.0,75.7,53.8,60.0,58.2,65.0,77.1,47.7,40,1,246,22,186,274,0,0,33,249,8,941,684,3.01,4.1,1.32,128
