player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Phoenix Porter,52591,LB,E ILLINOIS,12,0,0,158,60.1,,,,,,59.2,,,70.9,1,0,0,59,8,2,5,22,0
David Afari,52809,HB,N COLORADO,5,0,0,253,,,,59.2,,,60.0,,,68.9,0,0,0,0,0,24,0,0,0
Hank Perry,53355,T,FORDHAM,12,0,0,168,,,63.6,,,,59.6,,,68.5,1,0,15,0,0,0,70,0,1
James Camden,53418,LB,MURRAY ST,7,0,0,236,59.7,,,,,,54.8,,,72.4,1,0,0,30,5,0,40,3,0
JJ Davis,53540,HB,MORGAN ST,4,0,0,235,,,,56.4,,,60.4,,,63.8,0,0,0,0,1,14,0,0,0
Jakari Patterson,53555,ED,AUSTINPEAY,12,0,0,116,59.8,,,,,,64.0,,,70.2,0,0,0,23,8,1,0,18,0
Waydale Jones,55452,WR,N COLORADO,3,0,0,253,,,,,,,60.6,,,70.3,0,0,0,0,0,23,0,0,0
Shaun Myers,62235,LB,N ALABAMA,3,0,0,389,59.8,,,,,,60.7,,,64.3,0,0,0,8,3,0,0,1,0
Diego Neri,62732,LB,W ILLINOIS,4,0,0,345,60.0,,,,,,51.6,,,68.0,1,0,0,26,1,1,12,1,0
Jordan Montgomery,64332,S,MS VLY ST,12,0,1,228,59.7,,,,,,58.7,,,29.8,0,1,0,66,21,23,6,25,1
Logan Nash,64572,CB,ROB MORRIS,10,1,0,277,60.0,,,,,,71.3,,,78.9,0,0,0,4,42,11,0,38,1
Shiloh Means,64602,S,PENN,10,0,0,267,59.7,,,,,,60.0,,,66.3,0,0,0,46,0,4,0,1,0
Nicholas Schwitzgebel,65005,G,BUTLER,12,0,0,127,,,78.7,,,,66.6,,,74.6,0,0,69,0,0,0,0,0,0
Reggie Thomas,66271,LB,LAFAYETTE,12,0,0,203,59.6,,,,,,59.7,,,72.5,1,0,0,38,21,13,41,7,2
Erich Osteen,70404,ED,MONTANA,6,0,0,232,,,,,,,61.3,,,72.9,0,0,0,0,3,28,0,4,0
Jonathan Thomas,70412,LB,INCAR WORD,8,0,0,189,60.0,,,,,,60.1,,,68.6,0,0,0,2,2,16,0,4,0
Blake Antzoulatos,70424,LB,UC DAVIS,9,2,0,322,60.0,,,59.9,,,58.7,,,29.4,0,1,0,2,28,35,33,13,1
Noah Skobis,70465,CB,MOREHEAD,12,0,0,234,59.9,,,,,,51.3,60.3,,29.7,0,2,0,2,0,56,24,13,1
