season,home,away,neutral,margin,rdiff,close
2021,Illinois,Nebraska,0,8,-12.6,6.5
2021,UCLA,Hawai'i,0,34,18.6,-17.5
2021,New Mexico State,UTEP,0,-27,-11.8,9.5
2021,UCF,Boise State,0,5,2.6,-6.5
2021,NC State,South Florida,0,45,13.6,-20
2021,Minnesota,Ohio State,0,-14,-11.0,14
2021,Tennessee,Bowling Green,0,32,28.4,-37
2021,Virginia Tech,North Carolina,0,7,-9.2,5.5
2021,Wake Forest,Old Dominion,0,32,26.2,-32.5
2021,Charlotte,Duke,0,3,-4.2,6.5
2021,Northwestern,Michigan State,0,-17,-5.6,-3
2021,Wisconsin,Penn State,0,-6,1.2,-5.5
2021,Kansas State,Stanford,1,17,0.7,-3
2021,Oklahoma,Tulane,0,5,22.8,-31.25
2021,Rutgers,Temple,0,47,6.7,-14
2021,Michigan,Western Michigan,0,33,16.5,-16.5
2021,Georgia State,Army,0,-33,1.8,-2.5
2021,Oregon,Fresno State,0,7,19.5,-19.5
2021,Arkansas,Rice,0,21,18.2,-19.5
2021,Iowa,Indiana,0,28,4.6,-3.5
2021,Cincinnati,Miami (OH),0,35,22.9,-22.5
2021,Navy,Marshall,0,-42,-9.7,3
2021,Maryland,West Virginia,0,6,1.0,2.5
2021,Missouri,Central Michigan,0,10,7.0,-14
2021,Pittsburgh,Massachusetts,0,44,34.7,-37.5
2021,Mississippi State,Louisiana Tech,0,1,19.3,-20.5
2021,Texas,Louisiana,0,20,3.7,-8.5
2021,USC,San José State,0,23,20.5,-14
2021,Houston,Texas Tech,1,-17,1.4,-2.5
2021,Texas State,Baylor,0,-9,-20.0,13.5
2021,Purdue,Oregon State,0,9,5.5,-7
2021,Ohio,Syracuse,0,-20,4.8,-2
2021,Auburn,Akron,0,50,33.6,-37.5
2021,Illinois,UTSA,0,-7,2.0,-4.5
2021,Georgia Tech,Northern Illinois,0,-1,16.0,-19
2021,Florida,Florida Atlantic,0,21,19.6,-23.5
2021,Clemson,Georgia,1,-7,3.2,-2.5
2021,Texas A&M,Kent State,0,31,28.4,-29.5
2021,South Alabama,Southern Miss,0,24,-6.4,-2
2021,UCLA,LSU,0,11,-1.3,2
2021,Arizona,BYU,1,-8,-17.8,13.5
2021,San Diego State,New Mexico State,0,18,33.3,-31
2021,California,Nevada,0,-5,3.4,-3
2021,Washington State,Utah State,0,-3,18.7,-17.5
2021,Florida State,Notre Dame,0,-3,-10.4,7.5
2021,Ole Miss,Louisville,1,19,6.9,-9
2022,Northwestern,Nebraska,1,3,-13.9,12.25
2022,Illinois,Wyoming,0,32,9.3,-14.0
2022,Florida Atlantic,Charlotte,0,30,4.1,-7
2022,UTEP,North Texas,0,-18,-3.9,1.5
2022,New Mexico State,Nevada,0,-11,-14.0,7.0
2022,Hawai'i,Vanderbilt,0,-53,-7.9,9.25
2022,Tennessee,Ball State,0,49,28.7,-36.25
