nk,ret_share
airforce,0.567
akron,0.2986
alabama,0.3927
appstate,0.2446
arizona,0.3998
arizonastate,0.2905
arkansas,0.2491
arkansasstate,0.387
army,0.488
auburn,0.3021
ballstate,0.2294
baylor,0.2975
boisestate,0.5035
bostoncollege,0.422
bowlinggreen,0.2897
buffalo,0.203
byu,0.6734
california,0.3641
centralmichigan,0.3838
charlotte,0.2525
cincinnati,0.3865
clemson,0.4766
coastalcarolina,0.1856
colorado,0.1576
coloradostate,0.2547
delaware,0.4233
duke,0.4076
eastcarolina,0.2996
easternmichigan,0.2785
florida,0.4846
floridaatlantic,0.5141
floridainternational,0.4018
floridastate,0.2442
fresnostate,0.4235
georgia,0.6182
georgiasouthern,0.3205
georgiastate,0.2757
georgiatech,0.424
hawaii,0.3896
houston,0.4848
illinois,0.3148
indiana,0.467
iowa,0.3711
iowastate,0.1224
jacksonvillestate,0.4628
jamesmadison,0.1862
kansas,0.3963
kansasstate,0.3245
kennesawstate,0.2713
kentstate,0.5503
kentucky,0.2669
liberty,0.4577
louisiana,0.4219
louisianatech,0.4295
louisville,0.1557
lsu,0.3273
marshall,0.3126
maryland,0.6109
massachusetts,0.308
memphis,0.1466
miami,0.4207
miamioh,0.499
michigan,0.3487
michiganstate,0.1722
middletennessee,0.3108
minnesota,0.5116
mississippistate,0.3508
missouri,0.3364
missouristate,0.2626
navy,0.63
ncstate,0.4255
nebraska,0.5427
nevada,0.2365
newmexico,0.5266
newmexicostate,0.3307
northcarolina,0.3068
northernillinois,0.2347
northtexas,0.1293
northwestern,0.49
notredame,0.7457
ohio,0.2473
ohiostate,0.4579
oklahoma,0.5543
oklahomastate,0.1171
olddominion,0.3397
olemiss,0.3718
oregon,0.5424
oregonstate,0.3536
pennstate,0.2269
pittsburgh,0.4917
purdue,0.4044
rice,0.3668
rutgers,0.1697
sandiegostate,0.293
sanjosestate,0.2775
smu,0.4789
southalabama,0.2802
southcarolina,0.4325
southernmiss,0.0982
southflorida,0.0992
stanford,0.4363
syracuse,0.4562
tcu,0.4076
temple,0.4913
tennessee,0.5256
texas,0.4905
texasam,0.4778
texasstate,0.3549
texastech,0.5353
toledo,0.1644
troy,0.3066
tulane,0.3956
tulsa,0.455
uab,0.1951
ucf,0.4336
ucla,0.3072
uconn,0.095
unlv,0.4605
usc,0.5869
utah,0.3768
utahstate,0.5067
utep,0.1921
utsa,0.4495
vanderbilt,0.2531
virginia,0.1793
virginiatech,0.5834
wakeforest,0.4262
washington,0.4544
washingtonstate,0.2414
westernkentucky,0.2204
westernmichigan,0.4072
westvirginia,0.1963
wisconsin,0.2908
wyoming,0.2783
