team,line
Alabama,10.5
Arizona,5.0
Arizona State,5.0
Arkansas,7.0
Auburn,6.5
Baylor,7.0
Boston College,5.5
BYU,5.5
California,5.0
Cincinnati,5.5
Clemson,10.0
Colorado,3.5
Duke,6.5
Florida,5.5
Florida State,10.0
Georgia,11.5
Georgia Tech,4.5
Houston,4.5
Illinois,6.5
Indiana,3.5
Iowa,8.0
Iowa State,5.5
Kansas,6.5
Kansas State,8.5
Kentucky,7.0
Louisville,8.0
LSU,9.5
Maryland,7.0
Miami,7.5
Michigan,10.5
Michigan State,5.5
Minnesota,7.0
Mississippi State,6.5
Missouri,6.5
Nebraska,6.0
North Carolina,8.0
NC State,6.5
Northwestern,3.0
Notre Dame,8.5
Ohio State,10.5
Oklahoma,9.5
Oklahoma State,6.5
Ole Miss,7.5
Oregon,9.5
Oregon State,8.5
Penn State,9.5
Pittsburgh,6.5
Purdue,5.5
Rutgers,4.5
South Carolina,6.5
Stanford,3.0
Syracuse,6.5
TCU,7.5
Tennessee,9.5
Texas,9.5
Texas A&M,8.0
Texas Tech,7.5
UCF,6.5
UCLA,8.5
USC,10.0
Utah,8.5
Vanderbilt,3.5
Virginia,3.5
Virginia Tech,5.0
Wake Forest,6.0
Washington,9.5
Washington State,6.5
West Virginia,4.5
Wisconsin,8.5
