rank,team,conference,power_rating,band_±,grade_sum,new_HC
1,Ohio State,Big Ten,31.88,6.00,609,
2,Oregon,Big Ten,30.76,6.00,597,
3,Notre Dame,FBS Independents,30.18,6.00,602,
4,Georgia,SEC,27.24,6.00,502,
5,Indiana,Big Ten,25.63,6.00,562,
6,Texas,SEC,23.26,6.60,468,
7,Miami,ACC,22.16,6.00,492,
8,Texas Tech,Big 12,22.07,6.00,506,
9,Ole Miss,SEC,21.25,6.78,484,Y
10,LSU,SEC,20.21,7.46,464,Y
11,Oklahoma,SEC,20.02,6.00,466,
12,USC,Big Ten,19.82,6.00,530,
13,Texas A&M,SEC,19.45,6.00,444,
14,Michigan,Big Ten,18.80,6.98,494,Y
15,Alabama,SEC,18.69,6.36,414,
16,Penn State,Big Ten,18.20,6.78,522,Y
17,BYU,Big 12,17.80,6.00,484,
18,Tennessee,SEC,16.57,6.18,436,
19,Washington,Big Ten,15.76,6.00,506,
20,Missouri,SEC,14.70,6.00,440,
21,Florida,SEC,13.98,7.19,418,Y
22,Utah,Big 12,13.90,7.46,443,Y
23,Iowa,Big Ten,13.84,6.72,477,
24,Auburn,SEC,13.40,6.78,424,Y
25,South Carolina,SEC,12.68,6.18,404,
26,Louisville,ACC,12.60,6.36,424,
27,SMU,ACC,12.14,6.00,440,
28,Clemson,ACC,12.01,6.36,426,
29,Vanderbilt,SEC,11.86,6.18,418,
30,Arizona,Big 12,11.04,6.00,449,
31,Kansas State,Big 12,9.73,6.78,404,Y
32,TCU,Big 12,9.43,6.00,407,
33,Houston,Big 12,9.22,6.00,423,
34,Kentucky,SEC,8.35,6.98,400,Y
35,Pittsburgh,ACC,8.34,6.18,410,
36,Virginia,ACC,8.14,6.36,420,
37,Virginia Tech,ACC,8.02,7.91,404,Y
38,Nebraska,Big Ten,7.77,6.00,455,
39,Mississippi State,SEC,7.60,6.18,400,
40,Florida State,ACC,7.57,6.54,390,
41,Minnesota,Big Ten,7.15,6.00,455,
42,Wisconsin,Big Ten,6.92,6.00,448,
43,UCLA,Big Ten,6.51,6.78,452,Y
44,Illinois,Big Ten,6.30,6.18,359,
45,Georgia Tech,ACC,6.30,6.54,398,
46,Arizona State,Big 12,5.98,6.00,374,
47,Oklahoma State,Big 12,5.98,7.46,411,Y
48,Arkansas,SEC,5.95,6.98,360,Y
49,Northwestern,Big Ten,5.45,6.00,432,
50,Duke,ACC,5.32,6.54,396,
51,Wake Forest,ACC,5.18,6.36,400,
52,NC State,ACC,5.15,6.54,374,
53,Baylor,Big 12,5.10,6.18,369,
54,Boise State,Pac-12,4.06,6.18,286,
55,UCF,Big 12,3.96,6.00,389,
56,Kansas,Big 12,3.86,6.00,363,
57,Maryland,Big Ten,3.84,6.00,390,
58,North Carolina,ACC,3.32,6.36,376,
59,Cincinnati,Big 12,3.28,6.18,390,
60,California,ACC,2.85,7.39,372,Y
61,Rutgers,Big Ten,2.80,6.00,424,
62,Colorado,Big 12,1.96,6.00,383,
63,Memphis,American Athletic,1.76,7.59,371,Y
64,West Virginia,Big 12,1.34,6.00,350,
65,Iowa State,Big 12,1.02,8.13,340,Y
66,East Carolina,American Athletic,0.60,6.36,356,
67,Tulane,American Athletic,0.25,7.39,336,Y
68,San Diego State,Pac-12,-0.04,6.18,324,
69,Michigan State,Big Ten,-0.12,6.78,352,Y
70,Stanford,ACC,-0.85,7.39,382,Y
71,Fresno State,Pac-12,-0.90,6.18,330,
72,Purdue,Big Ten,-1.02,6.00,372,
73,UNLV,Mountain West,-1.20,6.36,176,
74,Boston College,ACC,-1.47,6.54,360,
75,Syracuse,ACC,-1.77,6.36,316,
76,Navy,American Athletic,-2.54,6.18,316,
77,South Florida,American Athletic,-2.78,7.39,309,Y
78,Army,American Athletic,-2.79,6.36,351,
79,Texas State,Pac-12,-2.81,6.18,342,
80,James Madison,Sun Belt,-2.99,6.98,374,Y
81,UTSA,American Athletic,-3.50,6.72,314,
82,New Mexico,Mountain West,-3.81,6.00,206,
83,Washington State,Pac-12,-3.87,7.91,262,Y
84,Utah State,Pac-12,-5.83,6.00,290,
85,Old Dominion,Sun Belt,-5.83,6.00,356,
86,Air Force,Mountain West,-6.36,6.18,158,
87,UConn,FBS Independents,-6.55,7.39,372,Y
88,Oregon State,Pac-12,-6.58,7.19,286,Y
89,Tulsa,American Athletic,-6.63,6.18,341,
90,Hawai'i,Mountain West,-6.76,6.72,138,
91,North Dakota State,Mountain West,-7.05,7.19,120,
92,Miami (OH),Mid-American,-7.11,6.18,242,
93,Western Michigan,Mid-American,-7.45,6.18,220,
94,Western Kentucky,Conference USA,-7.62,6.36,366,
95,North Texas,American Athletic,-7.66,8.35,305,Y
96,Troy,Sun Belt,-8.28,6.00,350,
97,Marshall,Sun Belt,-8.93,6.00,340,
98,Louisiana,Sun Belt,-9.34,6.00,368,
99,Toledo,Mid-American,-9.97,7.91,142,Y
100,Arkansas State,Sun Belt,-10.16,6.18,382,
101,Louisiana Tech,Sun Belt,-10.32,6.00,346,
102,Jacksonville State,Conference USA,-10.46,6.00,374,
103,Florida Atlantic,American Athletic,-10.64,6.36,291,
104,Liberty,Conference USA,-10.93,6.54,342,
105,Georgia Southern,Sun Belt,-11.24,6.00,338,
106,App State,Sun Belt,-11.82,6.36,346,
107,South Alabama,Sun Belt,-11.83,6.00,344,
108,Wyoming,Mountain West,-11.95,6.54,130,
109,Temple,American Athletic,-12.03,6.72,287,
110,Ohio,Mid-American,-12.47,6.98,174,Y
111,Central Michigan,Mid-American,-12.51,6.18,208,
112,Delaware,Conference USA,-12.93,6.60,376,
113,Nevada,Mountain West,-12.98,6.54,138,
114,Bowling Green,Mid-American,-12.98,6.18,202,
115,Coastal Carolina,Sun Belt,-13.09,7.19,346,Y
116,Colorado State,Pac-12,-13.39,7.39,178,Y
117,Kennesaw State,Conference USA,-13.48,6.36,340,
118,San José State,Mountain West,-14.14,6.36,130,
119,Rice,American Athletic,-14.42,6.54,270,
120,Buffalo,Mid-American,-14.53,6.36,166,
121,Florida International,Conference USA,-15.01,6.00,352,
122,Eastern Michigan,Mid-American,-15.53,6.00,192,
123,Southern Miss,Sun Belt,-15.63,8.13,334,Y
124,UAB,American Athletic,-16.07,7.39,284,Y
125,Missouri State,Conference USA,-16.24,7.19,340,Y
126,Northern Illinois,Mountain West,-17.01,7.39,108,Y
127,New Mexico State,Conference USA,-18.01,6.54,328,
