rank,team,conference,anchor_blend,implied_off,anchor_off,implied_def,anchor_def,residual,k_x_resid_clipped,class,st_term,recenter_shift,final,band,L_count,new_HC,capped
1,Ohio State,Big Ten,31.40,40.37,40.40,16.75,9.00,-7.57,-2.65,-0.00,+0.28,+0.55,29.58,6.00,0,,
2,Oregon,Big Ten,28.80,38.94,40.95,14.28,12.35,-3.73,-1.30,-0.00,+0.24,+0.55,28.29,6.00,0,,
3,Notre Dame,FBS Independents,27.07,37.69,40.84,14.80,13.96,-1.10,-0.38,-0.00,+0.24,+0.55,27.48,6.00,0,,
4,Georgia,SEC,26.46,34.22,38.68,20.37,12.82,-4.42,-1.55,-0.00,+0.20,+0.55,25.66,6.00,0,,
5,Indiana,Big Ten,25.46,34.20,37.88,16.32,13.02,-6.76,-2.37,-0.00,+0.30,+0.55,23.95,6.00,0,,
6,Texas,SEC,23.13,31.77,37.32,21.23,14.58,-4.61,-1.61,-0.00,+0.04,+0.55,22.11,6.60,0,,
7,Miami,ACC,22.25,34.27,35.03,21.21,13.07,-7.04,-2.46,-0.00,+0.16,+0.55,20.50,6.00,0,,
8,Texas Tech,Big 12,21.67,31.70,36.89,18.76,15.41,-6.28,-2.20,-0.00,+0.30,+0.55,20.32,6.00,0,,
9,Ole Miss,SEC,18.87,33.54,36.48,21.49,18.22,+1.38,+0.48,-0.00,+0.24,+0.55,20.14,6.78,0,Y,
10,LSU,SEC,18.93,30.53,31.86,20.46,13.14,-1.07,-0.37,-0.00,+0.08,+0.55,19.19,7.46,0,Y,
11,Oklahoma,SEC,18.82,30.06,32.41,20.69,13.89,-1.56,-0.55,-0.00,+0.24,+0.55,19.06,6.00,0,,
12,Texas A&M,SEC,19.67,29.63,36.98,21.97,17.02,-4.72,-1.65,-0.00,+0.12,+0.55,18.69,6.00,0,,
13,USC,Big Ten,17.93,35.96,38.26,17.86,19.94,-0.01,-0.00,-0.00,+0.00,+0.55,18.48,6.00,0,,
14,Alabama,SEC,20.13,26.75,32.27,21.18,11.63,-7.48,-2.62,-0.00,-0.04,+0.55,18.03,6.36,2,,
15,Michigan,Big Ten,17.85,33.13,33.67,17.49,15.33,-2.49,-0.87,-0.00,+0.10,+0.55,17.63,6.98,1,Y,
16,Penn State,Big Ten,16.60,34.45,34.05,19.40,18.15,-0.63,-0.22,-0.00,+0.32,+0.55,17.25,6.78,0,Y,
17,BYU,Big 12,14.65,36.57,32.87,21.02,18.53,+3.47,+1.21,-0.00,-0.16,+0.55,16.26,6.00,0,,
18,Tennessee,SEC,16.56,29.04,38.98,23.30,22.72,-2.93,-1.02,-0.00,+0.08,+0.55,16.17,6.18,1,,
19,Washington,Big Ten,14.81,32.01,32.55,18.73,17.45,-1.61,-0.56,-0.00,+0.16,+0.55,14.96,6.00,0,,
20,Missouri,SEC,13.45,31.29,31.53,24.23,17.57,+0.69,+0.24,-0.00,+0.12,+0.55,14.36,6.00,0,,
