rank,team,conference,power_rating,band_±,grade_sum,new_HC
1,Ohio State,Big Ten,29.59,6.00,609,
2,Oregon,Big Ten,28.28,6.00,597,
3,Georgia,SEC,25.69,6.00,502,
4,Notre Dame,FBS Independents,25.00,6.00,602,
5,Indiana,Big Ten,23.98,6.00,562,
6,Texas,SEC,22.13,6.60,468,
7,Miami,ACC,20.49,6.00,492,
8,Texas Tech,Big 12,20.35,6.00,506,
9,Ole Miss,SEC,20.17,6.78,484,Y
10,LSU,SEC,19.20,7.46,464,Y
11,Oklahoma,SEC,19.08,6.00,466,
12,Texas A&M,SEC,18.71,6.00,444,
13,USC,Big Ten,18.50,6.00,530,
14,Alabama,SEC,18.04,6.36,414,
15,Michigan,Big Ten,17.61,6.98,494,Y
16,Penn State,Big Ten,17.28,6.78,522,Y
17,BYU,Big 12,16.27,6.00,484,
18,Tennessee,SEC,16.21,6.18,436,
19,Washington,Big Ten,15.00,6.00,506,
20,Missouri,SEC,14.40,6.00,440,
21,Florida,SEC,13.79,7.19,418,Y
22,Iowa,Big Ten,13.48,6.72,477,
23,Utah,Big 12,13.18,7.46,443,Y
24,Auburn,SEC,13.16,6.78,424,Y
25,South Carolina,SEC,12.50,6.18,404,
26,Vanderbilt,SEC,11.75,6.18,418,
27,Louisville,ACC,11.73,6.36,424,
28,SMU,ACC,11.45,6.00,440,
29,Clemson,ACC,11.36,6.36,426,
30,Arizona,Big 12,10.43,6.00,449,
31,Kansas State,Big 12,9.49,6.78,404,Y
32,TCU,Big 12,9.03,6.00,407,
33,Houston,Big 12,8.61,6.00,423,
34,Kentucky,SEC,8.40,6.98,400,Y
35,Nebraska,Big Ten,8.04,6.00,455,
36,Pittsburgh,ACC,7.88,6.18,410,
37,Mississippi State,SEC,7.84,6.18,400,
38,Virginia,ACC,7.80,6.36,420,
39,Virginia Tech,ACC,7.60,7.91,404,Y
40,Florida State,ACC,7.45,6.54,390,
41,Wisconsin,Big Ten,7.07,6.00,448,
42,Minnesota,Big Ten,7.06,6.00,455,
43,Illinois,Big Ten,6.96,6.18,359,
44,UCLA,Big Ten,6.56,6.78,452,Y
45,Arkansas,SEC,6.47,6.98,360,Y
46,Georgia Tech,ACC,6.35,6.54,398,
47,Arizona State,Big 12,6.03,6.00,374,
48,Oklahoma State,Big 12,5.90,7.46,411,Y
49,Northwestern,Big Ten,5.66,6.00,432,
50,Duke,ACC,5.48,6.54,398,
51,NC State,ACC,5.28,6.54,374,
52,Baylor,Big 12,5.22,6.18,369,
53,Wake Forest,ACC,4.97,6.36,400,
54,Maryland,Big Ten,4.19,6.00,390,
