team,final,anchor,class_term,resid,adj,st,band,dispersion_flag,low_conf_units,rank,resid_flag
Ohio State,26.93,31.4,-1.68,-11.25,-3.94,0.68,6.0,False,0,1,True
Oregon,24.77,28.8,-1.68,-10.21,-3.58,0.76,6.0,False,0,2,False
Notre Dame,24.51,27.07,-1.68,-5.67,-1.99,0.64,6.18,False,1,3,False
Georgia,23.89,26.46,-1.68,-5.49,-1.92,0.56,6.0,False,0,4,False
Indiana,23.03,25.46,-1.68,-6.0,-2.1,0.88,6.0,False,0,5,False
Texas,21.57,23.13,-1.68,-2.13,-0.75,0.4,6.6,True,0,6,False
Texas Tech,21.49,21.67,-1.68,0.32,0.11,0.92,6.0,False,0,7,False
Miami,19.88,22.25,-1.68,-3.99,-1.4,0.24,6.18,False,1,8,False
Alabama,17.57,20.13,-1.68,-5.62,-1.97,0.62,6.36,False,2,9,False
Texas A&M,17.54,19.67,-1.68,-4.79,-1.68,0.76,6.0,False,0,10,False
Oklahoma,15.98,18.82,-1.68,-5.61,-1.96,0.34,6.0,False,0,11,False
Ole Miss,15.96,18.87,-1.68,-6.96,-2.44,0.74,6.18,False,1,12,False
Tennessee,15.41,16.56,-1.68,-1.13,-0.4,0.46,6.18,False,1,13,False
Penn State,14.88,16.6,-1.68,-3.78,-1.32,0.82,6.0,False,0,14,False
Michigan,14.71,17.85,-1.68,-8.32,-2.91,0.98,6.18,False,1,15,False
LSU,14.34,18.93,-1.68,-9.77,-3.42,0.04,6.6,True,0,16,False
BYU,13.63,14.65,-1.68,-2.26,-0.79,0.98,6.0,False,0,17,False
USC,13.4,17.93,-1.68,-7.14,-2.5,-0.82,6.0,False,0,18,False
Iowa,12.81,13.83,-1.68,-1.96,-0.69,0.88,6.36,False,2,19,False
Missouri,11.81,13.45,-1.68,-3.67,-1.28,0.86,6.0,False,0,20,False
Utah,11.62,13.22,-1.68,-2.87,-1.01,0.62,6.6,True,0,21,False
Washington,10.72,14.81,-1.68,-8.17,-2.86,-0.02,6.18,False,1,22,False
Auburn,10.66,11.65,-1.68,1.62,0.57,-0.34,6.0,False,0,23,False
Clemson,10.29,12.36,-1.68,-4.11,-1.44,0.58,6.18,False,1,24,False
Vanderbilt,10.05,9.79,-1.68,1.92,0.67,0.8,6.18,False,1,25,False
Florida,10.03,13.02,-1.68,-4.26,-1.49,-0.28,6.18,False,1,26,False
South Carolina,9.27,11.37,-1.68,-1.73,-0.6,-0.28,6.18,False,1,27,False
Louisville,8.8,11.91,-1.68,-5.25,-1.84,-0.06,6.54,False,3,28,False
Nebraska,8.37,7.45,-1.68,3.34,1.17,0.96,6.0,False,0,29,False
SMU,7.26,11.91,-1.68,-10.06,-3.52,0.08,6.0,False,0,30,False
TCU,7.21,9.34,-1.68,-2.33,-0.81,-0.1,6.36,False,2,31,False
Florida State,6.78,8.3,-1.68,-2.03,-0.71,0.4,6.0,False,0,32,False
Kansas State,6.62,9.88,-1.68,-8.25,-2.89,0.84,6.0,False,0,33,False
Arizona,6.23,9.15,-1.68,-3.91,-1.37,-0.34,6.0,False,0,34,False
Houston,6.18,7.47,-1.68,0.36,0.13,-0.2,6.18,False,1,35,False
Minnesota,5.18,4.69,-1.68,2.02,0.71,1.0,6.0,False,0,36,False
Northwestern,4.95,3.52,-1.68,8.8,3.08,-0.44,6.0,False,0,37,False
