player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Levi Brown,173846,CB,AIR FORCE,7,7,0,75.0,0,0,101,0,0,65.1,65.4,81.6,60.0,64.1,62.3,0,0,0,1,54,15.8,6,1,1,111.5,12,0,0,42,288,180,334,0,0,0,0,0,2,334,1,153,1,3,25,0,16,0,1,200,81,16.7,2025_this_team
Houston Hendrix,186424,S,AIR FORCE,3,1,0,85.7,0,1,101,0,0,33.1,46.7,78.8,,78.8,28.6,0,0,0,0,80,20.0,2,0,0,158.3,6,0,0,48,0,54,108,0,0,0,0,0,44,108,0,54,16,2,7,0,7,0,2,174,75,29.0,2025_this_team
Korey Johnson,197021,CB,AIR FORCE,12,7,0,68.8,0,0,101,1,1,57.6,58.5,34.0,50.0,66.6,76.4,0,2,0,0,56,10.3,4,3,5,146.2,22,0,0,46,405,243,464,3,0,0,3,0,3,461,3,218,7,8,28,0,32,2,4,363,176,16.5,2025_this_team
Nick Beckwith,197023,S,AIR FORCE,6,5,0,65.4,1,0,101,0,0,38.8,44.9,86.8,53.9,57.5,70.8,0,1,0,0,38,9.1,2,1,1,104.3,17,0,0,65,3,151,324,69,0,0,69,0,8,255,22,151,179,4,15,0,26,1,1,218,71,12.8,2025_this_team
Jaris McIntosh,197506,CB,AIR FORCE,1,0,0,,0,0,101,0,0,62.7,63.4,66.9,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,2025_this_team
JT Tomescko,198047,S,AIR FORCE,3,1,0,100.0,0,0,101,0,0,54.6,50.8,75.0,,47.5,41.5,0,0,0,0,11,28.6,2,0,0,108.3,2,0,0,15,0,17,36,0,0,0,0,0,16,36,0,19,5,1,4,0,2,0,0,20,14,10.0,2025_this_team
TJ Barker,198051,S,AIR FORCE,1,0,0,,0,0,101,0,0,61.6,61.7,68.4,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,4,6,0,0,0,0,0,4,6,0,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Mikhail Seiken,198062,CB,AIR FORCE,11,7,0,70.6,0,1,101,1,0,52.8,54.1,84.5,60.0,58.5,54.6,0,0,0,0,40,19.6,9,0,0,124.1,24,0,0,38,410,252,467,10,0,0,10,0,2,457,2,213,6,5,30,1,34,0,2,356,98,14.8,2025_this_team
Roger Jones Jr.,198069,S,AIR FORCE,12,30,0,81.3,0,0,101,1,0,51.7,60.1,52.2,53.2,74.6,58.7,0,0,0,2,86,17.3,18,0,2,110.3,26,0,0,288,15,377,719,1,0,0,1,0,302,718,14,328,112,25,56,1,32,0,2,375,225,14.4,2025_this_team
RJ Reedus,210379,CB,AIR FORCE,2,1,0,33.3,0,0,101,0,0,72.6,71.2,77.2,,59.4,81.6,0,0,0,0,9,0.0,0,1,0,42.4,1,0,0,3,60,37,68,0,0,0,0,0,2,68,0,31,3,1,5,0,3,0,0,9,0,9.0,2025_this_team
Jordan Elie-Stuart,210380,CB,AIR FORCE,3,3,0,63.6,0,0,101,0,0,38.9,40.2,78.7,60.0,57.3,84.7,0,0,0,0,74,0.0,0,0,0,146.8,7,0,0,2,81,59,88,2,0,0,2,0,0,86,1,28,3,1,8,0,11,0,2,138,63,19.7,2025_this_team
Ehimen Oyamendan,210384,CB,AIR FORCE,2,0,0,,0,0,101,0,0,66.7,64.3,74.3,,53.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,28,16,28,0,0,0,0,0,0,28,0,12,0,0,0,0,0,0,0,0,0,,2025_this_team
Jayden Malbranche,210385,CB,AIR FORCE,1,0,0,100.0,0,0,101,0,0,64.9,65.7,69.3,,60.0,73.5,0,0,0,0,6,0.0,0,0,0,91.7,1,0,0,0,6,4,6,0,0,0,0,0,0,6,0,2,0,0,1,0,1,0,0,6,1,6.0,2025_this_team
Max Mustell,210386,S,AIR FORCE,11,9,0,60.0,0,0,101,0,0,71.0,70.9,86.4,,67.7,59.5,0,0,0,3,42,17.1,13,2,0,39.8,15,0,0,253,12,329,588,0,0,0,0,0,248,588,0,259,74,13,54,2,25,0,0,164,71,10.9,2025_this_team
Alexander Perez,210387,S,AIR FORCE,9,10,0,81.3,0,0,101,0,0,58.4,55.4,35.3,57.4,50.0,60.8,1,0,0,0,40,16.7,6,0,1,111.8,26,0,0,55,1,197,349,57,0,0,57,0,12,292,19,133,223,5,20,1,32,1,1,267,94,10.3,2025_this_team
