player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Payton Zdroik,157898,DI,AIR FORCE,12,11,1,,1,1,101,0,0,64.3,90.4,20.9,92.2,79.0,52.5,8,29,0,0,,10.5,4,0,4,0.0,0,1,0,1,0,1,515,513,123,343,11,36,0,2,284,230,0,19,23,3,0,38,0,0,0,,2025_this_team
Jackson Adams,173842,ED,AIR FORCE,12,1,4,,0,0,101,0,0,57.1,63.9,63.6,67.7,58.2,52.7,6,11,0,0,,21.4,3,0,1,0.0,0,3,0,1,0,2,379,378,0,4,274,100,0,1,223,154,0,10,10,1,0,20,0,0,0,,2025_this_team
Chances Carter-Hill,173851,ED,AIR FORCE,4,0,0,,0,0,101,0,0,60.3,69.2,76.1,57.9,69.9,73.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,2,17,17,0,0,17,0,0,0,2,13,0,1,1,0,0,0,0,0,0,,2025_this_team
Jack Curtis,173856,ED,AIR FORCE,3,0,0,,0,0,101,0,0,,51.1,74.4,56.8,51.6,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,21,21,0,1,16,4,0,0,4,17,0,0,0,0,0,0,0,0,0,,2025_this_team
Jackson Garrett,173864,DI,AIR FORCE,3,0,0,,0,0,101,0,0,,54.0,73.3,57.0,54.7,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,19,19,2,16,0,1,0,0,6,13,0,0,1,0,0,0,0,0,0,,2025_this_team
Daniel Grobe,173866,ED,AIR FORCE,10,8,2,,0,0,101,0,0,63.2,70.2,57.8,62.7,72.7,61.8,2,5,0,0,,9.5,2,0,1,0.0,0,1,0,0,0,1,304,303,1,7,216,79,0,1,156,147,0,7,11,1,0,8,0,0,0,,2025_this_team
Ty Hubert,173869,ED,AIR FORCE,1,0,0,,0,0,101,0,0,,62.1,64.0,,60.0,75.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,,2025_this_team
Zach Juckel,173870,ED,AIR FORCE,1,0,0,,0,0,101,0,0,,68.9,73.5,,67.2,73.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,9,7,0,0,7,0,0,2,0,9,1,1,1,1,0,0,0,0,0,,2025_this_team
Aidan Swartz,173884,DI,AIR FORCE,12,8,0,,0,0,101,0,0,67.1,57.2,83.9,56.9,54.2,82.2,0,8,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,1,438,437,4,324,21,88,0,1,234,203,0,12,12,2,0,9,0,0,0,,2025_this_team
Isaac Hubert,186428,ED,AIR FORCE,12,5,1,100.0,0,0,101,0,0,66.1,77.3,90.6,74.6,73.6,75.5,6,25,0,0,9,9.1,3,0,0,79.2,6,5,1,30,1,38,564,520,0,0,519,1,1,44,272,254,11,22,25,7,6,36,0,10,14,1.7,2025_this_team
Jayden Oquendo,186436,DI,AIR FORCE,5,0,0,,0,0,101,0,0,,63.2,75.6,59.5,63.6,70.2,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,41,41,3,28,0,10,0,0,19,22,0,1,1,0,0,1,0,0,0,,2025_this_team
Lukia Rawls Jr.,186440,DI,AIR FORCE,12,3,0,,0,0,101,0,0,60.0,55.0,81.9,63.2,47.6,38.7,0,4,0,0,,27.3,3,0,0,0.0,0,1,0,0,0,0,211,211,59,144,0,8,0,0,117,94,0,4,5,1,0,5,0,0,0,,2025_this_team
Andrew Tillett,186450,DI,AIR FORCE,12,2,1,,0,0,101,0,0,60.0,54.6,81.3,59.7,50.0,56.1,0,4,0,0,,15.4,2,0,0,0.0,0,0,0,2,0,0,228,226,2,159,6,59,0,2,122,106,0,6,9,1,0,4,0,0,0,,2025_this_team
Brody Whitson,197022,DI,AIR FORCE,1,0,0,,0,0,101,0,0,,58.5,70.1,57.7,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,6,6,0,6,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Jaylin Reese,197882,ED,AIR FORCE,12,2,1,0.0,0,0,101,0,0,68.3,65.3,85.3,62.0,62.4,73.7,0,4,0,1,,8.3,1,0,0,0.0,0,1,0,5,0,10,153,146,0,0,146,0,0,7,76,67,2,6,9,0,2,5,0,0,0,,2025_this_team
Chaz Barnett,198042,DI,AIR FORCE,2,0,0,,0,0,101,0,0,,70.5,70.3,57.4,68.9,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,7,7,0,7,0,0,0,0,5,2,0,1,1,0,0,0,0,0,0,,2025_this_team
Kade Steadman,198054,DI,AIR FORCE,1,0,0,,0,0,101,0,0,,60.2,68.2,58.2,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,4,4,0,3,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Antonio Menard,198057,ED,AIR FORCE,1,0,0,,0,0,101,0,0,,66.7,69.4,66.1,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,2025_this_team
Grady Forsythe,198067,ED,AIR FORCE,3,0,0,,0,0,101,0,0,,70.4,73.2,69.3,60.0,73.9,0,0,0,0,,,0,0,0,0.0,0,2,0,0,0,0,10,10,0,0,9,1,0,0,7,3,0,2,0,0,0,2,0,0,0,,2025_this_team
DeSean Davis,204590,ED,AIR FORCE,2,0,0,,0,0,101,0,0,,63.9,73.7,55.9,66.6,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,16,15,0,0,11,4,0,1,7,9,0,0,0,0,0,0,0,0,0,,2025_this_team
