player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Costen Cooley,173854,C,AIR FORCE,12,100.0,1,101,71.9,71.6,70.0,1,1,186,100.0,100.0,97.8,3,5,3,789,789,0,0,789,197,197,0,0,592,0,2025_this_team
Jack Burnett,173847,G,AIR FORCE,12,100.0,1,101,82.0,76.1,80.9,1,2,156,100.0,100.0,98.4,2,4,1,672,0,63,0,672,166,166,608,0,506,0,2025_this_team
Trevor Tate,173885,T,AIR FORCE,12,100.0,0,101,70.3,65.5,69.3,3,2,133,100.0,100.0,98.1,2,5,0,639,0,0,603,639,141,141,0,0,498,36,2025_this_team
Nathan Elwood,186416,T,AIR FORCE,12,100.0,0,101,69.3,70.8,66.6,1,1,147,100.0,100.0,98.6,2,3,1,577,0,0,126,577,156,156,0,441,421,10,2025_this_team
Alec Falk,186417,G,AIR FORCE,12,100.0,0,101,60.8,37.8,61.1,4,0,125,100.0,100.0,96.8,0,6,2,539,0,538,0,539,132,132,0,0,407,0,2025_this_team
Luke Vonderhaar,173887,T,AIR FORCE,8,100.0,0,101,85.7,73.6,81.5,0,2,58,100.0,100.0,98.3,0,2,0,297,0,0,9,297,61,61,0,288,236,0,2025_this_team
TJ Tarascio,186448,G,AIR FORCE,10,100.0,1,101,61.8,50.3,62.8,1,2,79,100.0,100.0,96.8,2,4,1,273,0,229,0,273,83,83,44,0,190,0,2025_this_team
Jon Ashford,128760,G,AIR FORCE,8,100.0,0,101,76.9,42.5,76.3,1,1,22,100.0,100.0,95.5,0,2,0,187,0,0,0,187,23,23,187,0,164,0,2025_this_team
Gage Spencer,186446,T,AIR FORCE,8,100.0,0,101,66.8,37.8,72.6,1,2,44,100.0,100.0,94.3,1,4,1,147,0,0,60,147,46,46,0,86,101,1,2025_this_team
Gabriel Averitt,173843,C,AIR FORCE,2,100.0,0,101,75.2,72.5,70.7,0,0,3,100.0,100.0,100.0,0,0,0,41,41,0,0,41,3,3,0,0,38,0,2025_this_team
Brandon Nazworth,204595,T,AIR FORCE,3,100.0,0,101,54.6,0.0,62.5,0,0,4,100.0,100.0,100.0,0,0,0,27,0,0,27,27,4,4,0,0,23,0,2025_this_team
Rudy Varela,186452,C,AIR FORCE,3,100.0,0,101,58.8,75.1,57.3,0,0,4,100.0,100.0,100.0,0,0,0,11,11,0,0,11,4,4,0,0,7,0,2025_this_team
Griffin Stalfort,186447,T,AIR FORCE,5,90.0,1,101,60.4,,61.1,0,0,0,0.0,0.0,,1,0,0,9,0,0,2,10,0,1,0,0,9,4,2025_this_team
Brody Smith,204592,G,AIR FORCE,2,100.0,0,101,65.7,76.4,64.3,0,0,4,100.0,100.0,100.0,0,0,0,9,0,9,0,9,4,4,0,0,5,0,2025_this_team
Johnique Thomas,198070,G,AIR FORCE,1,100.0,0,101,60.0,,60.0,0,0,0,,,,0,0,0,2,0,2,0,2,0,0,0,0,2,0,2025_this_team
Jace Sutulovich,173883,G,AIR FORCE,1,100.0,0,101,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,2,0,2,0,2025_this_team
Brian Bradley,173845,T,AIR FORCE,1,100.0,0,101,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,2,2,0,2025_this_team
