player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Kiawan Murphy,156887,DI,AKRON,12,3,1,,0,0,102,0,0,,63.3,59.4,59.6,64.7,44.6,1,4,0,0,,18.8,3,0,2,0.0,0,0,0,2,0,0,333,330,120,167,4,39,0,3,129,204,0,9,10,0,0,5,0,0,0,,2025_this_team
CJ Murphy,162761,ED,AKRON,2,0,0,,0,0,102,0,0,65.6,72.2,74.4,58.7,62.5,75.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,11,11,0,0,11,0,0,0,3,8,0,2,2,1,0,0,0,0,0,,2025_this_team
Chase Brown,165238,ED,AKRON,1,0,0,,0,0,102,0,0,60.0,61.4,74.2,57.3,62.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,15,15,0,2,10,3,0,0,4,10,0,0,0,0,0,0,0,0,0,,2025_this_team
Dimitri Madden,170514,DI,AKRON,4,2,0,,0,0,102,0,0,,51.9,73.2,66.9,48.3,74.2,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,20,20,1,14,1,4,0,0,5,15,0,2,1,0,0,1,0,0,0,,2025_this_team
Bruno Dall,173356,ED,AKRON,12,10,4,66.7,0,1,102,0,0,70.6,79.3,60.7,81.5,74.9,63.3,4,25,0,1,26,17.3,9,2,2,100.7,4,4,0,14,0,95,628,589,0,0,584,5,0,39,232,301,24,29,33,4,6,33,1,62,32,15.5,2025_this_team
Kam Cheatom,176225,ED,AKRON,5,1,2,,0,0,102,0,0,60.8,70.2,79.4,62.6,72.5,73.0,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,2,39,37,0,0,37,0,0,2,24,13,1,0,0,0,0,2,0,0,0,,2025_this_team
Jon'Trell Mixon,176319,DI,AKRON,12,3,0,,0,1,102,0,0,60.0,58.4,80.2,55.6,59.3,45.0,0,2,0,0,,23.1,3,0,0,0.0,0,1,0,0,0,0,170,170,3,123,3,41,0,0,79,91,0,4,7,2,0,3,0,0,0,,2025_this_team
Cyrus Durham,183728,ED,AKRON,12,5,1,100.0,0,0,102,2,0,64.8,64.7,16.9,70.1,62.3,62.7,7,18,0,0,4,15.2,5,0,6,83.3,1,3,0,4,0,32,699,693,0,58,548,87,0,6,336,331,1,22,23,5,1,28,0,4,0,4.0,2025_this_team
Julien Laventure,186744,DI,AKRON,12,10,0,,1,0,102,1,0,60.8,76.1,71.3,78.4,68.7,31.4,9,24,0,0,,26.7,12,0,1,0.0,0,4,0,4,0,0,657,652,35,437,66,114,0,5,349,308,0,22,23,6,0,37,0,0,0,,2025_this_team
Dahvon Frazier,190968,ED,AKRON,12,3,0,66.7,0,0,102,0,0,57.1,53.6,44.2,51.9,57.5,80.8,0,1,0,0,14,0.0,0,0,1,75.7,2,0,0,5,0,25,191,185,0,8,175,2,0,6,70,96,1,2,4,1,3,1,0,13,1,6.5,2025_this_team
Jahvon Frazier,190969,ED,AKRON,12,2,0,,0,0,102,0,0,61.0,52.8,80.1,60.8,48.0,37.9,0,1,0,0,,25.0,2,0,0,0.0,0,0,0,0,0,3,101,101,0,17,66,18,0,0,38,60,0,4,4,0,0,1,0,0,0,,2025_this_team
Ronald Hull,190973,DI,AKRON,12,7,0,,0,1,102,0,0,59.2,65.0,69.5,60.7,66.8,50.4,3,13,0,0,,21.1,4,0,1,0.0,0,2,0,2,0,1,553,550,186,335,4,25,0,3,280,272,0,8,8,0,0,18,0,0,0,,2025_this_team
Eddie Vega,203591,DI,AKRON,2,0,0,,0,0,102,0,0,,48.8,68.2,58.8,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,3,3,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Nehemiah Musika,203952,DI,AKRON,8,1,0,,0,0,102,0,0,,44.7,12.1,54.8,46.4,31.9,0,1,0,0,,33.3,2,0,1,0.0,0,0,0,0,0,0,82,82,36,45,1,0,0,0,37,45,0,1,3,0,0,1,0,0,0,,2025_this_team
Israel Duncan,203963,ED,AKRON,2,0,0,,0,0,102,0,0,,29.6,70.2,57.1,34.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,8,8,0,4,1,3,0,0,4,4,0,0,0,0,0,0,0,0,0,,2025_this_team
