player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Marcel Williams,184707,WR,AKRON,12,11.7,5,62.9,30.4,7,23,0,8.3,4,-0.08,32,102,0,67.7,73.5,75.1,,75.9,0.0,0,1,46,0.0,0,319,2,39.4,44,94.7,302,15.7,50,96.0,70,2,84.3,269,638,193,4.4,14.5,2.11,2025_this_team
Israel Polk,170122,WR,AKRON,12,13.9,1,53.2,36.4,4,11,0,17.5,7,-0.05,25,102,1,39.0,35.4,62.9,,62.5,0.0,0,1,75,0.0,0,351,1,39.4,33,94.0,330,13.1,46,114.6,62,8,86.9,305,525,127,3.8,15.9,1.59,2025_this_team
Kyan Mason,190975,WR,AKRON,12,12.4,6,61.4,52.6,10,19,1,14.6,6,0.13,21,102,0,48.5,72.6,73.6,,75.2,0.0,0,1,62,0.0,0,198,1,41.9,35,96.5,191,97.0,192,111.8,57,5,3.0,6,501,167,4.8,14.3,2.62,2025_this_team
Myles Walker,145587,WR,AKRON,9,12.9,3,50.0,66.7,2,3,0,9.1,2,-0.26,12,102,0,53.7,70.8,56.6,,57.4,0.0,0,1,24,0.0,0,227,1,34.1,20,96.9,220,99.1,225,55.1,40,0,0.9,2,209,78,3.9,10.5,0.95,2025_this_team
Conner Cravaack,176312,TE,AKRON,12,5.4,1,62.1,0.0,0,3,0,10.0,2,-0.08,9,102,0,61.3,69.9,56.0,60.6,51.2,65.8,187,1,27,20.1,57,284,0,41.8,18,75.7,215,16.2,46,83.5,29,2,16.2,46,147,88,4.9,8.2,0.68,2025_this_team
Tim Grear Jr.,173507,WR,AKRON,11,13.3,1,50.0,50.0,4,8,0,6.7,1,-0.01,9,102,0,68.7,69.0,65.9,,65.7,0.0,0,0,37,0.0,0,136,1,39.2,14,95.6,130,5.1,7,82.1,28,1,94.9,129,178,46,3.3,12.7,1.37,2025_this_team
Miles Burris,184261,WR,CHARLOTTE,12,12.0,2,46.4,66.7,2,3,0,0.0,0,-0.33,6,136,0,82.7,68.7,55.6,61.0,54.6,0.5,1,3,18,0.5,1,208,1,35.8,13,92.3,192,10.1,21,20.4,28,0,89.4,186,129,38,2.9,9.9,0.67,arrival_2025_at_CHARLOTTE
Cameron Monteiro,183274,WR,AKRON,12,11.6,0,37.5,42.9,3,7,0,35.7,5,-0.15,7,102,0,17.1,67.5,51.0,61.1,51.4,0.0,0,0,18,0.8,1,131,0,39.5,9,97.7,128,19.1,25,52.8,24,0,80.9,106,112,16,1.8,12.4,0.88,2025_this_team
Jean Louis III,176304,WR,AKRON,7,13.9,0,29.4,0.0,0,2,0,16.7,1,-0.19,4,102,0,53.4,66.2,53.7,,53.9,0.0,0,2,24,0.0,0,100,0,39.1,5,92.0,92,96.0,96,3.2,17,0,4.0,4,64,23,4.6,12.8,0.7,2025_this_team
Jake Newell,163273,TE,AKRON,6,4.0,1,33.3,0.0,0,1,0,33.3,2,-0.07,0,102,0,26.0,65.0,43.7,60.3,41.0,59.5,75,0,5,21.4,27,126,2,37.3,4,73.0,92,17.5,22,42.4,12,0,23.0,29,14,9,2.3,3.5,0.15,2025_this_team
Max Whisner,157175,TE,AKRON,5,7.3,0,100.0,,0,0,0,0.0,0,0.4,2,102,0,77.5,66.2,92.0,69.6,92.9,77.8,14,0,23,33.3,6,18,0,53.3,4,50.0,9,11.1,2,143.8,4,1,0.0,0,36,14,3.5,9.0,4.0,2025_this_team
Alex Adams,124085,WR,AKRON,2,25.3,0,0.0,0.0,0,1,0,,0,-0.41,0,102,0,,,53.0,,46.8,0.0,0,0,0,0.0,0,27,0,33.3,0,100.0,27,11.1,3,39.6,3,0,88.9,24,0,0,,,0.0,2025_this_team
