player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Kadyn Proctor,172392,T,ALABAMA,15,99.5,0,103,86.1,84.2,81.1,4,15,585,99.7,99.7,98.0,2,21,2,980,0,0,963,985,611,613,0,0,369,14,2025_this_team
Parker Brailsford,162482,C,ALABAMA,14,100.0,0,103,65.5,75.2,60.0,3,10,550,100.0,100.0,98.6,5,14,1,905,905,0,0,905,575,575,0,0,330,0,2025_this_team
Jayvin James,173357,T,MISS STATE,12,100.0,0,227,58.2,61.9,57.9,8,14,442,100.0,100.0,96.8,6,25,3,855,0,0,691,855,467,467,0,162,388,2,arrival_2025_at_MISS STATE
Wilkin Formby,172376,T,ALABAMA,15,100.0,0,103,70.9,82.1,61.8,5,12,486,100.0,100.0,97.6,2,20,3,816,0,0,3,816,504,504,364,446,312,3,2025_this_team
Kam Dewberry,158645,G,ALABAMA,14,100.0,0,103,71.2,83.4,67.2,4,6,345,100.0,100.0,98.3,3,11,1,627,0,626,1,627,360,360,0,0,267,0,2025_this_team
Geno VanDeMark,144953,G,ALABAMA,14,100.0,0,103,68.6,74.1,65.9,3,7,347,100.0,100.0,98.0,1,12,2,612,86,213,3,612,365,365,310,0,247,0,2025_this_team
Michael Carroll,198094,T,ALABAMA,14,100.0,1,103,68.6,71.4,65.3,1,10,330,100.0,100.0,97.1,2,15,4,546,0,0,2,546,346,346,0,543,200,1,2025_this_team
Jaeden Roberts,146598,G,ALABAMA,10,100.0,1,103,69.5,87.5,62.6,0,1,201,100.0,100.0,99.3,1,2,1,327,0,0,1,327,212,212,326,0,115,0,2025_this_team
Nick Brooks,199294,G,TEXAS,5,100.0,0,311,36.6,17.1,46.5,3,13,117,100.0,100.0,89.7,4,20,4,221,0,196,0,221,120,120,0,25,101,0,arrival_2025_at_TEXAS
William Sanders,184547,G,ALABAMA,10,100.0,0,103,65.7,67.1,64.6,0,4,120,100.0,100.0,98.3,0,4,0,185,0,180,0,185,125,125,0,0,60,1,2025_this_team
Kaden Strayhorn,198796,C,MICHIGAN,2,100.0,0,222,50.8,55.1,52.4,0,3,48,100.0,100.0,96.9,1,3,0,94,14,0,0,94,51,51,80,0,43,0,arrival_2025_at_MICHIGAN
Ethan Fields,172514,G,OLE MISS,5,100.0,0,226,58.5,82.4,59.4,0,0,20,100.0,100.0,100.0,1,0,0,63,0,18,0,63,20,20,44,0,43,0,arrival_2025_at_OLE MISS
Olaus Alinen,172373,G,ALABAMA,7,100.0,0,103,64.3,68.1,62.4,0,1,17,100.0,100.0,97.1,0,1,0,44,0,3,21,44,19,19,17,0,25,3,2025_this_team
Jackson Lloyd,198092,T,ALABAMA,5,100.0,0,103,62.5,69.3,59.5,0,0,18,100.0,100.0,100.0,1,0,0,41,0,0,21,41,20,20,0,20,21,0,2025_this_team
Joseph Ionata,184537,C,ALABAMA,2,100.0,0,103,63.8,64.9,62.3,0,1,14,100.0,100.0,96.4,0,1,0,27,27,0,0,27,16,16,0,0,11,0,2025_this_team
Ty Haywood,204143,T,MICHIGAN,3,100.0,0,222,63.3,65.5,62.2,0,0,1,100.0,100.0,100.0,0,0,0,15,0,0,8,15,1,1,0,6,14,1,arrival_2025_at_MICHIGAN
Mal Waldrep Jr.,198095,C,ALABAMA,1,100.0,0,103,65.2,67.7,64.2,0,0,1,100.0,100.0,100.0,0,0,0,8,8,0,0,8,1,1,0,0,7,0,2025_this_team
Casey Poe,184545,G,ALABAMA,1,100.0,0,103,72.7,66.7,72.0,0,0,1,100.0,100.0,100.0,0,0,0,8,0,0,0,8,1,1,8,0,7,0,2025_this_team
Graham Roten,146595,G,ALABAMA,1,100.0,0,103,54.1,,51.4,0,0,0,,,,0,0,0,4,0,0,0,4,0,0,0,4,4,0,2025_this_team
Arkel Anugwom,176081,T,ALABAMA,1,100.0,0,103,72.6,,75.4,0,0,0,,,,0,0,0,4,0,0,4,4,0,0,0,0,4,0,2025_this_team
Micah DeBose,198082,T,ALABAMA,1,100.0,0,103,60.0,,59.8,0,0,0,,,,0,0,0,4,0,4,0,4,0,0,0,0,4,0,2025_this_team
