player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Myles Farmer,98122,S,APP STATE,5,1,0,100.0,0,0,108,0,0,52.6,58.2,0.0,59.8,71.6,66.8,0,0,0,0,22,16.7,1,0,1,118.8,1,0,0,12,2,5,34,9,0,0,9,0,5,25,1,28,6,2,4,2,1,0,0,22,9,22.0,2025_this_team
Dylan Hasz,126029,S,APP STATE,10,9,1,69.2,0,1,108,0,0,58.9,60.9,82.7,76.1,58.8,34.3,0,1,0,0,16,30.2,13,1,1,108.2,9,0,0,77,2,153,273,7,0,0,7,0,140,266,12,108,47,6,21,2,13,1,1,71,56,7.9,2025_this_team
Ja'den McBurrows,144931,CB,APP STATE,3,0,0,52.9,0,0,108,0,0,72.4,77.2,80.9,64.7,83.5,46.0,0,1,0,1,26,23.1,3,1,0,64.3,9,0,0,27,2,72,115,3,0,0,3,0,2,112,4,39,81,6,10,2,17,1,1,94,27,10.4,2025_this_team
Ahmad Robinson,156655,CB,APP STATE,1,0,0,,0,0,108,0,0,60.0,62.3,70.4,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,4,1,5,1,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,,2025_this_team
Ethan Johnson,157549,CB,APP STATE,13,3,0,62.3,0,0,108,0,0,71.6,71.0,86.9,48.8,67.5,53.7,0,0,0,1,41,17.0,9,7,1,93.4,38,0,0,62,736,489,873,15,0,0,15,0,18,858,9,375,42,9,41,2,61,0,3,437,159,11.5,2025_this_team
DJ Burks,157550,S,APP STATE,13,28,0,72.4,0,1,108,0,0,51.1,49.6,39.5,52.4,49.1,47.8,0,0,0,2,48,22.5,20,4,1,92.2,21,0,0,159,1,336,600,10,0,0,10,0,349,590,8,256,81,7,41,1,29,0,2,247,89,11.8,2025_this_team
Emory Floyd,158127,CB,APP STATE,13,12,0,56.9,1,0,108,0,0,67.6,69.0,0.0,59.8,85.2,80.8,0,0,0,1,47,7.7,5,4,8,94.9,37,0,0,33,792,486,846,12,0,0,12,0,1,834,1,359,8,11,48,1,65,0,3,568,188,15.4,2025_this_team
Elijah Mc-Cantos,158216,S,APP STATE,12,6,0,73.3,0,0,108,0,0,58.2,59.6,0.0,55.2,68.9,75.1,0,0,0,2,38,11.9,7,2,5,91.5,44,0,0,208,2,414,705,25,0,0,25,0,191,680,6,285,279,14,46,1,60,0,2,448,250,10.2,2025_this_team
Ja'Cari Henderson,158439,CB,UCF,6,0,0,100.0,0,0,323,0,0,72.3,70.5,78.4,59.3,63.8,67.1,0,0,0,0,3,16.7,1,0,0,79.2,2,0,0,4,82,29,91,0,0,0,0,0,1,91,1,61,2,2,5,0,2,0,0,5,6,2.5,arrival_2025_at_UCF
Cristian Conyer,174720,CB,APP STATE,9,0,0,71.4,0,1,108,0,0,50.4,54.8,80.3,,83.9,26.6,0,0,0,0,20,44.4,4,0,1,130.4,10,0,0,5,143,103,151,1,0,0,1,0,0,150,0,48,2,1,5,1,14,0,1,151,66,15.1,2025_this_team
Cam Fleming,174782,CB,APP STATE,10,3,0,62.5,0,0,108,0,0,48.8,53.8,81.0,61.0,64.1,68.4,0,0,0,0,42,16.7,3,0,0,119.0,10,0,0,55,1,95,183,7,0,0,7,0,2,176,7,81,118,4,12,1,16,0,1,169,98,16.9,2025_this_team
Zyeir Gamble,174990,S,APP STATE,12,17,0,57.1,0,2,108,0,0,69.5,71.0,87.8,56.0,72.6,75.9,0,0,0,2,37,11.5,9,4,0,87.1,16,0,0,273,3,435,787,13,0,0,13,0,347,774,4,348,151,13,52,3,28,0,3,211,61,13.2,2025_this_team
Khalil Conley,183325,CB,N CAROLINA,8,0,0,100.0,0,0,245,0,0,52.6,52.0,77.0,,52.6,37.7,0,0,0,0,21,33.3,1,0,0,118.8,3,0,0,4,45,20,51,0,0,0,0,0,0,51,0,31,1,1,2,0,3,0,0,39,2,13.0,arrival_2025_at_N CAROLINA
Jakob Gude,183848,S,UCF,1,1,0,,0,0,323,0,0,,50.0,70.1,,50.1,75.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,3,0,0,7,0,0,0,0,0,2,7,0,7,2,0,0,0,0,0,0,0,0,,arrival_2025_at_UCF
Cary Grant,184266,S,CHARLOTTE,12,5,0,76.5,0,0,136,0,0,51.6,53.7,31.3,71.3,58.2,45.1,0,0,0,0,29,23.1,12,0,2,125.6,13,0,0,120,0,226,431,9,0,0,9,0,224,422,4,201,78,8,35,2,17,0,1,164,90,12.6,arrival_2025_at_CHARLOTTE
Kaleb Neal,184615,S,APP STATE,1,0,0,,0,0,108,0,0,60.0,63.4,67.5,,60.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,1,3,1,0,0,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,,2025_this_team
Devin Henderson,184688,S,LIBERTY,8,5,0,44.4,0,0,206,0,0,70.8,75.0,81.2,65.6,82.3,87.9,0,0,0,0,41,3.8,1,0,0,61.8,4,0,0,64,3,135,228,0,0,0,0,0,118,228,2,91,42,10,20,0,9,0,0,49,30,12.3,arrival_2025_at_LIBERTY
Tyshawn Sanders,190400,CB,APP STATE,3,1,0,,0,0,108,0,0,65.6,66.1,71.7,,60.0,73.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,13,11,13,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Juan Berchal,198099,CB,APP STATE,8,1,0,44.4,0,0,108,0,0,69.0,70.4,79.5,,72.2,58.1,0,0,0,0,34,16.7,1,3,0,111.3,4,0,0,7,120,85,132,1,0,0,1,0,0,131,0,47,4,2,4,1,9,0,1,76,44,19.0,2025_this_team
