player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Treydan Stukes,131596,CB,ARIZONA,10,16,1,59.0,0,0,109,0,0,90.4,90.1,86.9,84.3,72.5,74.2,0,2,0,4,37,10.7,6,6,0,34.4,23,2,0,197,4,285,608,8,0,0,8,0,19,600,11,312,380,17,34,0,39,4,0,213,130,9.3,2025_this_team
Dalton Johnson,146252,S,ARIZONA,12,31,1,55.6,0,1,109,0,0,88.6,84.8,89.9,74.9,71.8,71.0,0,0,0,4,33,13.5,15,5,2,37.8,25,1,0,271,3,389,771,16,0,0,16,0,247,755,9,373,233,26,65,1,45,1,1,206,85,8.2,2025_this_team
Ayden Garnes,148570,CB,ARIZONA,13,5,1,55.3,0,0,109,0,0,71.5,68.6,85.5,65.0,51.7,46.2,1,1,0,1,45,24.1,14,4,2,72.5,26,0,0,54,610,345,700,5,0,0,5,0,0,695,10,345,31,12,39,2,47,2,1,294,67,11.3,2025_this_team
Malcolm Hartzog,156462,S,NEBRASKA,2,0,0,50.0,0,0,238,0,0,76.0,70.1,80.7,56.3,45.3,74.3,0,1,0,1,12,0.0,0,1,1,27.1,2,0,0,8,1,42,74,0,0,0,0,0,6,74,3,29,59,0,1,0,4,1,0,22,0,11.0,arrival_2025_at_NEBRASKA
Michael Dansby,157849,CB,ARIZONA,12,4,0,36.2,1,0,109,1,0,75.4,74.0,84.9,64.8,59.9,47.7,0,0,0,2,59,21.4,6,7,5,56.3,17,0,0,31,466,261,506,4,0,0,4,0,0,502,4,241,4,6,18,0,47,0,3,231,111,13.6,2025_this_team
Lee Molette III,158623,S,UCONN,12,18,0,63.6,0,0,146,0,0,62.1,63.4,20.4,70.5,66.1,63.5,1,1,0,1,68,16.5,14,1,2,112.7,14,0,0,186,4,377,739,12,0,0,12,0,440,727,10,352,96,15,53,3,22,2,2,244,122,17.4,arrival_2025_at_UCONN
Marquis Groves-Killebrew,158649,CB,ARIZONA,7,2,0,45.5,0,0,109,0,0,56.4,61.9,80.3,,78.1,74.9,0,0,0,0,32,10.0,1,0,0,107.8,5,0,0,17,148,74,168,1,0,0,1,0,0,167,0,94,1,3,7,0,11,0,1,99,21,19.8,2025_this_team
Devin Dunn,158721,S,ARIZONA,5,3,0,50.0,0,0,109,0,0,55.4,60.3,78.0,,70.1,81.5,0,0,0,0,11,0.0,0,1,1,66.7,1,0,0,8,1,23,46,1,0,0,1,0,8,45,0,23,28,1,2,0,2,0,0,11,2,11.0,2025_this_team
Jay'Vion Cole,158932,CB,ARIZONA,11,5,0,51.6,1,1,109,0,0,89.8,86.3,83.3,70.8,55.8,58.9,0,0,1,4,25,14.3,4,3,2,47.6,16,1,0,33,331,195,381,1,0,0,1,0,3,380,6,180,13,9,19,2,31,1,2,153,48,9.6,2025_this_team
Dwight Bootle,170218,CB,CHARLOTTE,11,5,0,60.6,0,0,136,1,0,69.1,67.5,83.8,55.3,59.7,56.9,0,0,0,0,41,18.2,8,3,2,103.9,20,0,0,52,349,223,434,12,0,0,12,0,1,422,3,208,19,8,31,0,33,0,2,246,54,12.3,arrival_2025_at_CHARLOTTE
Gavin Hunter,171852,CB,ARIZONA,5,7,0,76.9,0,0,109,0,0,61.1,65.0,83.7,,75.0,69.5,0,0,0,1,80,11.5,3,2,2,92.1,20,0,0,57,5,144,239,3,0,0,3,0,25,236,0,95,149,10,16,3,26,0,0,262,142,13.1,2025_this_team
Genesis Smith,171868,S,ARIZONA,12,15,1,69.6,0,3,109,2,0,87.9,80.0,88.1,59.0,63.0,56.3,0,6,0,1,75,19.8,18,6,0,91.4,16,0,0,220,0,382,771,7,0,0,7,0,451,764,16,373,92,25,58,2,23,6,1,193,133,12.1,2025_this_team
Jack Luttrell,174734,S,ARIZONA,3,0,0,,0,0,109,0,0,72.9,57.3,75.6,,35.1,27.4,0,0,0,1,,50.0,2,0,0,0.0,0,0,0,9,0,16,39,0,0,0,0,0,23,39,0,23,7,0,2,0,0,0,0,0,0,,2025_this_team
