player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Riley Wilson,128218,ED,ARIZONA,11,6,1,66.7,0,0,109,0,0,90.4,78.0,89.6,61.5,77.2,68.3,5,8,0,2,22,12.5,6,1,0,59.7,2,3,0,141,0,28,428,282,0,0,282,0,0,146,198,202,4,25,36,6,3,16,0,30,29,15.0,2025_this_team
Tre Smith,146179,ED,ARIZONA,4,2,1,100.0,0,0,109,1,0,71.8,79.0,83.5,70.1,77.4,68.1,0,3,0,0,7,11.1,1,0,0,95.8,1,0,0,1,0,4,144,143,0,4,135,4,0,1,74,66,0,5,6,1,1,3,0,7,8,7.0,2025_this_team
Tiaoalii Savea,146408,DI,ARIZONA,10,9,0,100.0,0,0,109,0,0,59.5,64.2,39.6,61.0,67.1,70.0,4,5,0,0,3,6.9,2,0,2,79.2,1,2,0,6,0,4,379,373,132,202,28,11,0,6,186,189,0,13,18,2,1,11,0,3,6,3.0,2025_this_team
Deshawn McKnight,147037,DI,ARIZONA,13,8,0,,0,0,109,0,0,55.5,76.4,87.1,64.3,82.3,60.7,2,10,0,0,,18.2,6,0,0,0.0,0,2,0,5,0,7,449,444,61,243,109,31,0,5,221,221,0,17,19,9,0,14,0,0,0,,2025_this_team
Chase Kennedy,158491,ED,ARIZONA,13,10,0,50.0,0,2,109,1,0,67.2,65.5,67.7,66.1,60.4,54.7,4,18,0,0,6,20.0,9,0,1,56.3,2,4,0,203,0,56,537,322,0,0,322,0,0,215,229,252,12,23,26,3,4,26,0,9,8,4.5,2025_this_team
Malachi Bailey,168449,ED,ARIZONA,13,6,1,,0,0,109,0,0,74.5,67.2,59.8,62.2,66.3,69.8,2,11,0,0,,12.0,3,0,1,0.0,0,1,0,10,0,7,315,305,5,16,262,22,0,10,137,171,0,9,16,3,0,14,0,0,0,,2025_this_team
Jarra Anderson,169932,DI,ARIZONA,1,1,0,,0,0,109,0,0,,51.6,68.9,59.0,56.1,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,4,4,0,3,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Ammon Kaufusi,171857,ED,ARIZONA,2,1,0,,0,0,109,0,0,60.0,66.3,73.0,56.7,68.6,73.3,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,1,11,10,0,0,8,2,0,1,6,4,0,1,1,0,0,1,0,0,0,,2025_this_team
Dominic Lolesio,171858,ED,ARIZONA,13,4,0,,0,0,109,0,0,63.6,59.8,29.2,58.2,63.0,76.7,2,7,0,0,,5.9,1,0,2,0.0,0,0,0,9,0,6,284,275,0,4,249,22,0,9,138,140,0,8,12,1,0,9,0,0,0,,2025_this_team
Julian Savaiinaea,171867,DI,ARIZONA,13,2,0,100.0,0,0,109,1,0,55.4,61.9,82.3,64.4,65.6,80.7,1,4,0,0,33,0.0,0,0,0,118.8,1,1,0,3,0,14,208,205,34,111,29,31,0,3,90,104,0,10,12,1,1,6,0,33,34,33.0,2025_this_team
Chancellor Owens,178024,DI,ARIZONA,2,0,0,,0,0,109,0,0,,75.3,75.2,66.1,74.1,37.1,0,1,0,0,,50.0,1,0,0,0.0,0,1,0,0,0,0,32,32,4,22,3,3,0,0,16,16,0,2,1,0,0,2,0,0,0,,2025_this_team
Eduwa Okundaye,189625,ED,ARIZONA,4,1,0,0.0,0,0,109,0,0,65.2,53.5,74.9,48.1,51.1,29.9,0,1,0,0,,50.0,1,1,0,39.6,0,0,0,0,0,2,20,19,0,0,19,0,0,1,8,10,0,0,0,0,1,1,0,0,0,,2025_this_team
Leroy Palu,198104,DI,ARIZONA,13,7,2,,0,0,109,1,0,51.2,58.4,86.8,59.5,57.9,69.7,0,7,0,0,,7.7,2,0,0,0.0,0,1,0,5,0,6,489,484,162,255,54,13,0,5,241,242,0,11,17,2,0,8,0,0,0,,2025_this_team
Porter Patton,207806,ED,ARIZONA,1,0,0,,0,0,109,0,0,,59.5,68.5,59.2,60.0,,1,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,2,1,0,0,0,0,0,1,0,0,0,,2025_this_team
Mays Pese,208039,ED,ARIZONA,13,9,0,,0,0,109,0,0,58.1,58.8,62.0,60.8,57.8,64.5,1,6,0,0,,13.0,3,0,1,0.0,0,1,0,12,0,7,356,343,29,62,206,46,0,13,169,180,1,6,11,1,0,8,0,0,0,,2025_this_team
Kaleb Bilal-Jones,211178,DI,ARIZONA,1,0,0,,0,0,109,0,0,60.0,60.9,68.2,60.0,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,3,3,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Zac Siulepa,211563,DI,ARIZONA,5,0,0,,0,0,109,0,0,,63.2,75.2,70.9,55.6,72.2,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,20,20,11,9,0,0,0,0,10,10,0,2,1,1,0,1,0,0,0,,2025_this_team
