player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Ka'ena Decambra,146066,C,ARIZONA,13,100.0,1,109,67.9,77.8,63.6,2,7,494,100.0,100.0,98.9,5,10,1,898,898,0,0,898,535,535,0,0,363,0,2025_this_team
Alexander Doost,176507,G,ARIZONA,13,100.0,1,109,67.2,75.7,62.2,1,10,490,100.0,100.0,98.7,2,12,1,878,0,0,0,878,529,529,878,0,349,0,2025_this_team
Chubba Maae,142181,G,ARIZONA,13,100.0,0,109,63.9,76.5,60.3,0,13,404,100.0,100.0,98.4,3,13,0,753,0,752,0,753,439,439,0,0,314,0,2025_this_team
Ty Buchanan,146417,T,ARIZONA,13,100.0,1,109,70.9,68.3,72.5,4,14,397,100.0,100.0,97.0,5,21,3,737,0,0,737,737,428,428,0,0,309,0,2025_this_team
Tristan Bounds,144927,T,ARIZONA,10,100.0,0,109,72.3,80.3,63.4,0,12,351,100.0,100.0,98.0,1,13,1,628,0,0,0,628,372,372,0,627,256,0,2025_this_team
Matthew Lado,183729,T,ARIZONA,8,100.0,1,109,64.5,48.8,69.7,2,7,161,100.0,100.0,97.2,4,9,0,346,0,0,81,346,183,183,0,264,163,0,2025_this_team
Rhino Tapa'atoutai,171870,T,ARIZONA,8,100.0,1,109,46.8,45.3,52.3,2,7,121,100.0,100.0,93.8,6,12,3,231,0,0,147,231,137,137,0,74,94,10,2025_this_team
Michael Wooten,157250,G,ARIZONA,9,100.0,0,109,52.0,36.8,54.9,1,5,107,100.0,100.0,95.3,3,8,2,230,0,188,0,230,119,119,31,0,111,10,2025_this_team
Grayson Stovall,158745,C,ARIZONA,4,100.0,0,109,71.1,64.9,68.4,0,0,21,100.0,100.0,100.0,0,0,0,67,67,0,0,67,24,24,0,0,43,0,2025_this_team
Ise Matautia,146116,G,ARIZONA,5,100.0,0,109,78.8,85.1,77.7,0,0,7,100.0,100.0,100.0,0,0,0,32,0,2,0,32,8,8,28,0,24,1,2025_this_team
Isaac Perez,170755,G,ARIZONA,3,100.0,0,109,56.8,82.0,53.3,0,0,7,100.0,100.0,100.0,0,0,0,31,0,2,0,31,10,10,28,0,21,1,2025_this_team
Jake Griffin,175022,T,BYU,4,100.0,0,128,43.6,43.8,60.9,0,0,7,100.0,100.0,100.0,2,0,0,27,0,0,0,27,7,7,0,25,20,1,arrival_2025_at_BYU
Jordan Brown,145550,G,ARIZONA,1,100.0,0,109,53.5,74.2,46.7,0,1,15,100.0,100.0,96.7,0,1,0,21,0,21,0,21,16,16,0,0,5,0,2025_this_team
