player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Jordyn Tyson,157690,WR,ARIZONA ST,9,11.7,6,62.9,43.8,7,16,1,1.6,1,0.01,37,110,1,90.8,52.7,82.9,,85.3,0.0,0,1,57,0.0,0,324,2,43.2,61,92.6,300,25.0,81,108.2,97,8,74.7,242,711,263,4.3,11.7,2.37,2025_this_team
Omarion Miller,171901,WR,COLORADO,11,14.2,9,58.4,61.1,11,18,0,11.8,6,-0.06,26,143,1,56.8,43.2,67.9,,71.5,0.0,0,6,70,0.0,0,324,6,39.6,45,96.6,313,14.2,46,96.5,77,8,85.8,278,805,289,6.4,17.9,2.57,arrival_2025_at_COLORADO
Reed Harris,175339,WR,BOSTON COL,12,18.1,5,54.2,52.0,13,25,0,0.0,0,-0.1,28,121,0,90.8,73.3,65.6,66.3,66.2,0.4,2,3,57,0.4,2,499,3,42.4,39,95.6,477,26.5,132,92.0,72,5,72.9,364,673,208,5.3,17.3,1.41,arrival_2025_at_BOSTON COL
Malik McClain,143886,WR,ARIZONA ST,13,14.0,4,43.7,37.5,6,16,1,16.2,6,0.0,20,110,0,44.7,72.0,53.6,63.9,54.0,0.0,0,2,36,0.2,1,484,5,43.1,31,94.6,458,12.0,58,57.3,71,1,87.8,425,441,160,5.2,14.2,0.96,2025_this_team
Chamon Metayer,144230,TE,ARIZONA ST,12,5.3,6,76.0,70.0,7,10,0,5.0,2,-0.09,20,110,1,78.1,41.2,56.3,64.6,63.0,40.3,147,1,27,20.8,76,365,3,41.5,38,74.8,273,45.8,167,115.0,50,4,9.9,36,375,227,6.0,9.9,1.37,2025_this_team
Derek Eusebio,176528,WR,ARIZONA ST,12,8.1,3,61.1,40.0,2,5,0,8.3,2,-0.02,12,110,0,65.9,72.0,57.4,62.1,57.9,0.0,0,0,68,0.4,1,276,1,39.1,22,96.0,265,94.6,261,111.0,36,2,5.4,15,341,187,8.5,15.5,1.29,2025_this_team
Raiden Vines-Bright,199523,WR,WASHINGTON,12,8.2,4,85.7,0.0,0,1,0,0.0,0,0.22,9,340,0,87.7,71.5,63.4,71.2,60.7,0.4,1,0,45,1.1,3,278,0,55.5,24,97.5,271,81.3,226,114.0,28,1,18.3,51,238,149,6.2,9.9,0.88,arrival_2025_at_WASHINGTON
Jalen Moss,163408,WR,ARIZONA ST,9,9.9,6,59.3,20.0,1,5,0,5.9,1,-0.02,10,110,1,60.0,24.7,60.3,,62.0,0.0,0,0,51,0.0,0,191,0,40.8,16,96.3,184,34.0,65,105.9,27,1,66.0,126,273,128,8.0,17.1,1.48,2025_this_team
Cameron Harpole,146163,TE,ARIZONA ST,13,6.1,1,59.1,33.3,1,3,0,0.0,0,0.09,4,110,0,83.3,69.4,49.1,63.4,54.3,25.7,57,1,21,18.0,40,222,2,47.8,13,76.1,169,63.1,140,65.7,22,1,8.1,18,96,42,3.2,7.4,0.57,2025_this_team
Jaren Hamilton,172378,WR,ARIZONA ST,12,28.0,0,36.8,33.3,3,9,0,22.2,2,0.01,4,110,0,37.6,73.2,54.5,61.9,56.6,0.0,0,2,49,1.0,1,100,0,40.2,7,91.0,91,35.0,35,30.3,19,0,65.0,65,169,15,2.1,24.1,1.86,2025_this_team
Khamari Anderson,175134,TE,ARIZONA ST,13,10.3,0,45.5,0.0,0,2,0,16.7,1,0.03,2,110,0,53.8,68.8,56.3,72.2,49.8,20.0,26,1,8,5.4,7,130,0,40.8,5,88.5,115,70.8,92,44.9,11,1,9.2,12,24,15,3.0,4.8,0.21,2025_this_team
Anthony Miller,175984,TE,TULANE,14,8.4,0,50.0,66.7,2,3,0,16.7,1,0.18,5,319,0,49.8,65.7,55.7,57.4,62.9,76.1,102,1,18,47.0,63,134,0,51.6,5,49.3,66,12.7,17,62.5,10,1,8.2,11,60,30,6.0,12.0,0.91,arrival_2025_at_TULANE
AJ Ia,198128,TE,ARIZONA ST,3,8.5,0,50.0,,0,0,0,0.0,0,0.62,1,110,0,66.7,61.0,56.6,70.8,57.4,34.6,9,0,10,15.4,4,26,0,57.7,1,84.6,22,53.8,14,64.6,2,0,11.5,3,10,3,3.0,10.0,0.45,2025_this_team
Zechariah Sample,183751,WR,ARIZONA ST,2,53.0,0,0.0,0.0,0,1,0,,0,0.12,0,110,0,,80.6,53.6,,54.0,0.0,0,0,0,0.0,0,12,0,30.0,0,83.3,10,75.0,9,39.6,1,0,16.7,2,0,0,,,0.0,2025_this_team
