player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Shakur Smalls,142301,CB,ARKANSAS,12,2,0,68.4,0,1,111,1,0,57.0,63.7,0.0,61.1,90.3,82.3,0,1,0,0,25,6.3,1,3,2,110.0,13,1,0,49,3,108,178,2,0,0,2,0,5,176,6,64,119,9,13,1,19,2,1,152,63,11.7,2025_this_team
Kani Walker,144177,CB,ARKANSAS,11,11,0,60.0,0,0,111,0,0,67.4,66.1,49.7,72.0,58.8,66.8,1,0,1,1,50,14.0,8,5,5,117.5,27,1,0,46,557,337,671,8,0,0,8,0,2,663,2,332,57,9,38,2,45,2,4,486,98,18.0,2025_this_team
Quentavius Scandrett,145764,S,ARKANSAS,2,1,0,,0,0,111,0,0,63.4,66.9,73.0,,67.6,79.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,5,0,10,23,0,0,0,0,0,15,23,0,13,3,0,1,0,0,0,0,0,0,,2025_this_team
Julian Neal,146043,CB,ARKANSAS,12,9,0,56.3,1,0,111,0,0,76.5,79.5,52.9,83.2,85.9,84.2,0,2,0,2,38,7.3,4,8,4,82.5,27,1,0,63,687,386,771,6,0,0,6,0,0,765,6,379,15,11,42,2,48,3,3,346,127,12.8,2025_this_team
Jordan Young,146705,CB,ARKANSAS,11,6,0,48.8,0,1,111,0,0,47.6,53.7,37.1,46.0,79.0,59.7,2,2,0,1,45,18.2,6,5,5,75.6,21,0,0,63,2,230,421,16,0,0,16,0,4,405,11,180,336,5,21,0,43,4,2,279,157,13.3,2025_this_team
John Howse IV,146966,S,MIDDLE TN,4,2,0,100.0,0,0,224,0,0,65.5,62.0,80.7,76.6,51.4,47.6,1,0,0,0,19,23.5,4,0,0,158.3,5,1,0,105,2,103,229,7,0,0,7,0,63,222,3,123,52,7,11,1,5,2,1,64,18,12.8,arrival_2025_at_MIDDLE TN
Caleb Wooden,157051,S,ARKANSAS,12,11,0,78.9,0,0,111,0,0,53.5,56.7,51.2,65.3,61.9,60.2,1,2,0,0,64,18.4,14,1,2,153.8,15,0,0,188,3,330,670,17,0,0,17,0,378,653,6,334,83,12,51,3,19,3,2,281,165,18.7,2025_this_team
Miguel Mitchell,157742,S,ARKANSAS,12,10,0,87.5,0,0,111,0,0,65.9,67.0,85.1,62.7,66.6,60.8,0,0,0,1,40,18.3,11,1,0,116.7,14,1,0,144,1,257,474,8,0,0,8,0,257,466,6,211,61,12,39,0,16,1,2,140,94,10.0,2025_this_team
Landon Phipps,163641,CB,ARKANSAS,1,0,0,,0,0,111,0,0,,60.0,66.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Jaheim Singletary,163751,CB,ARKANSAS,10,2,0,55.6,0,0,111,0,0,64.6,64.3,6.3,,66.6,73.8,0,0,0,0,15,7.1,1,1,2,74.3,5,0,0,22,220,118,251,1,0,0,1,0,0,250,0,133,7,3,11,0,9,0,0,56,19,11.2,2025_this_team
Christian Harrison,163763,S,CINCINNATI,12,15,0,73.8,1,0,138,0,0,68.3,67.3,49.8,59.2,64.5,65.1,0,0,0,1,41,13.8,11,7,5,88.1,45,0,0,327,5,368,685,2,0,0,2,0,50,683,1,316,301,20,54,3,61,0,1,380,200,8.4,arrival_2025_at_CINCINNATI
Larry Worth III,163980,S,ARKANSAS,12,11,1,60.0,0,0,111,0,0,47.5,60.1,43.8,70.0,76.5,90.9,0,2,0,0,46,4.3,3,0,2,126.0,12,1,0,218,4,295,622,24,0,0,24,0,290,598,11,316,85,19,55,0,20,3,2,195,58,16.3,2025_this_team
Jahiem Johnson,169982,CB,TULANE,14,12,0,64.8,1,1,319,0,0,75.3,76.2,56.2,63.2,78.4,48.9,0,2,0,4,65,21.0,13,10,3,83.4,46,0,0,80,716,468,834,15,0,0,15,0,6,819,15,351,16,14,37,1,71,2,4,545,223,11.8,arrival_2025_at_TULANE
Shelton Lewis,170015,CB,CLEMSON,3,1,1,85.7,0,0,140,0,0,53.9,59.9,79.9,75.4,64.4,72.5,1,0,0,0,59,11.1,1,0,0,118.8,6,0,0,4,0,25,49,7,0,0,7,0,3,42,6,18,35,4,7,0,7,1,0,93,60,15.5,arrival_2025_at_CLEMSON
Carter Stoutmire,171907,S,COLORADO,8,9,0,50.0,0,1,143,0,0,62.3,72.4,86.2,53.1,90.4,57.9,2,3,0,0,67,18.8,9,2,0,129.2,5,0,0,101,4,215,461,20,0,0,20,0,289,441,11,235,47,6,30,0,10,5,1,129,113,25.8,arrival_2025_at_COLORADO
Anton Pierce,172420,S,ARKANSAS,1,0,0,,0,0,111,0,0,,60.0,67.5,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,3,0,0,0,0,0,2,3,0,3,0,0,0,0,0,0,0,0,0,,2025_this_team
Braylon Watson,172432,S,ARKANSAS,1,0,0,,0,0,111,0,0,,61.1,64.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,0,3,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,,2025_this_team
Tyler Scott,172462,CB,GA STATE,1,2,0,100.0,0,0,175,0,0,67.9,69.9,73.0,,67.3,79.3,0,0,0,0,6,0.0,0,0,0,91.7,1,0,0,2,20,10,22,0,0,0,0,0,0,22,0,12,0,0,2,0,1,0,0,6,0,6.0,arrival_2025_at_GA STATE
Braydon Lee,183530,CB,MARYLAND,11,5,0,60.0,0,0,215,0,0,64.8,64.3,82.9,,58.8,87.5,0,0,0,1,38,0.0,0,1,3,65.0,12,0,0,10,256,142,282,3,0,0,3,0,2,279,0,140,10,3,13,0,20,0,0,162,30,13.5,arrival_2025_at_MARYLAND
Jaden Allen,184379,CB,ARKANSAS,1,0,0,,0,0,111,0,0,,62.9,67.8,,62.4,74.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,1,0,0,0,0,0,0,,2025_this_team
Selman Bridges,184381,CB,ARKANSAS,2,0,0,0.0,0,0,111,0,0,64.9,65.4,73.3,,61.4,,0,0,0,0,,,0,0,0,39.6,0,0,0,0,22,10,22,0,0,0,0,0,0,22,0,12,0,0,0,0,1,0,0,0,0,,2025_this_team
