player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
BJ Wagner,145542,S,ARK STATE,1,0,0,100.0,0,0,113,0,0,32.1,38.3,67.7,,60.0,,0,0,0,0,31,,0,0,0,158.3,1,0,0,0,0,3,4,0,0,0,0,0,4,4,0,1,0,0,0,0,1,0,1,31,16,31.0,2025_this_team
Avante Dickerson,146536,CB,ARK STATE,13,3,0,77.4,0,1,113,0,0,76.4,75.1,57.1,58.1,67.4,71.0,0,1,0,2,41,11.7,7,4,2,109.6,41,0,0,79,826,484,906,1,0,0,1,0,0,905,2,420,0,11,50,2,53,1,3,508,125,12.4,2025_this_team
James Reed III,156665,S,ARK STATE,4,1,0,,0,0,113,0,0,62.1,63.1,75.2,,63.1,79.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,18,0,20,37,0,0,0,0,0,18,37,0,17,1,0,1,0,0,0,0,0,0,,2025_this_team
AG McGhee,156812,S,ARK STATE,13,15,0,64.3,1,0,113,0,0,58.6,59.1,33.4,56.6,62.4,62.9,0,1,0,1,43,17.3,18,3,4,78.8,27,0,0,325,0,479,919,18,0,0,18,0,308,901,15,425,268,22,71,3,42,1,0,333,144,12.3,2025_this_team
Brandon Greil,172190,S,ARK STATE,11,15,0,73.5,0,0,113,0,0,56.0,62.0,85.9,70.6,71.1,57.9,0,0,1,1,44,18.7,14,1,0,115.7,25,1,0,156,0,266,507,4,0,0,4,0,171,503,1,240,176,16,46,2,34,1,2,367,199,14.7,2025_this_team
Five Hamilton,173787,CB,KENNESAW,14,12,0,60.7,0,0,200,0,0,82.1,77.4,0.0,56.6,63.3,60.3,0,2,0,1,23,18.9,10,2,2,70.5,17,0,0,36,5,282,444,6,0,0,6,0,9,438,6,156,387,14,31,3,28,2,1,140,123,8.2,arrival_2025_at_KENNESAW
Trenton Alan Yowe,174979,CB,ARK STATE,13,9,0,64.1,1,1,113,1,0,70.8,67.3,56.0,69.4,51.6,42.2,3,2,0,0,35,23.7,14,3,7,80.6,25,1,0,109,699,446,829,18,0,0,18,0,2,811,11,372,1,16,36,0,39,6,0,235,70,9.4,2025_this_team
Josh Stone,184256,CB,ARK STATE,1,0,0,100.0,0,0,113,0,0,63.7,64.5,67.4,,60.0,74.2,0,0,0,0,6,0.0,0,0,0,91.7,1,0,0,1,3,3,4,0,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,6,2,6.0,2025_this_team
Brandon Barnes,188330,S,ARK STATE,13,24,0,76.9,0,0,113,0,0,39.5,48.5,89.1,84.7,61.4,58.1,1,0,0,1,59,16.7,14,0,0,141.8,20,1,0,309,3,466,871,10,0,0,10,0,484,861,2,403,65,12,46,1,26,2,4,355,172,17.8,2025_this_team
Braden Jackson,188342,CB,ARK STATE,2,0,0,50.0,0,0,113,0,0,42.9,29.9,0.0,,,76.6,0,0,0,0,16,0.0,0,0,1,77.1,1,0,0,0,5,5,5,0,0,0,0,0,0,5,0,0,0,0,2,0,2,0,0,16,1,16.0,2025_this_team
Kyle Williams,188366,CB,ARK STATE,8,2,0,66.7,0,0,113,0,0,64.7,65.8,78.6,59.3,67.6,44.7,0,0,0,0,21,27.3,3,1,0,87.3,6,0,0,15,94,59,119,1,0,0,1,0,2,118,1,59,7,4,6,0,9,0,0,64,18,10.7,2025_this_team
Jaylen Heyward,190333,S,UCF,2,0,0,100.0,0,0,323,0,0,57.3,59.6,73.8,,63.0,76.9,0,0,0,0,6,0.0,0,0,0,91.7,1,0,0,9,0,8,26,0,0,0,0,0,10,26,0,18,7,0,1,0,1,0,0,6,1,6.0,arrival_2025_at_UCF
Malik McConico,191369,S,ARK STATE,1,0,0,0.0,0,0,113,0,0,77.9,78.1,71.9,,65.1,78.8,0,0,0,0,,0.0,0,1,0,39.6,0,0,0,4,0,6,11,0,0,0,0,0,6,11,0,5,1,0,2,0,2,0,0,0,0,,2025_this_team
Joe Drew,204633,S,ARK STATE,7,9,0,64.0,0,0,113,0,0,68.8,72.0,85.2,84.6,73.8,81.1,3,1,0,0,39,6.5,2,2,0,118.7,16,0,0,75,0,191,342,17,0,0,17,0,10,325,11,140,240,12,20,4,25,4,4,142,75,8.9,2025_this_team
Malekhi Weedon,204643,S,ARK STATE,7,2,0,33.3,0,0,113,1,0,55.6,59.4,76.4,,67.2,85.2,0,0,0,0,14,0.0,0,1,0,49.3,1,0,0,31,0,44,68,0,0,0,0,0,32,68,0,24,5,0,6,0,3,0,0,14,15,14.0,2025_this_team
