player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Corey Rucker,121539,WR,ARK STATE,13,12.6,21,58.9,43.8,14,32,0,8.8,7,0.03,45,113,1,63.0,55.9,66.4,,68.5,0.0,0,3,71,0.0,0,580,2,44.9,73,94.1,546,16.9,98,86.4,124,4,83.1,482,1029,406,5.6,14.1,1.88,2025_this_team
Chauncy Cobb,172187,WR,ARK STATE,13,6.2,19,79.1,50.0,3,6,0,5.3,4,0.03,35,113,2,79.3,60.8,67.7,,69.2,0.2,1,3,51,0.0,0,504,3,45.6,72,94.0,474,89.5,451,92.9,91,1,9.9,50,794,499,6.9,11.0,1.68,2025_this_team
Hunter Summers,169989,WR,ARK STATE,13,12.9,1,59.2,33.3,6,18,0,4.3,2,0.11,25,113,0,80.7,73.5,62.3,,62.9,0.0,0,3,43,0.0,0,455,4,48.0,45,93.0,423,14.7,67,80.3,76,4,85.3,388,507,96,2.1,11.3,1.2,2025_this_team
Tyler Fortenberry,184525,TE,ARK STATE,13,7.5,9,76.2,33.3,2,6,0,8.6,3,0.06,22,113,0,68.2,72.5,57.0,64.4,62.1,72.9,328,2,28,15.3,69,450,5,47.5,32,80.2,361,24.4,110,90.8,42,2,2.2,10,294,130,4.1,9.2,0.81,2025_this_team
Jaylen Bonelli,171689,WR,ARK STATE,13,11.7,0,62.9,57.1,4,7,0,8.3,2,-0.12,11,113,0,65.7,76.7,59.9,,59.9,0.5,1,1,34,0.0,0,206,4,41.7,22,93.2,192,14.1,29,94.9,35,3,85.4,176,200,67,3.0,9.1,1.04,2025_this_team
Jabari Bush,188335,TE,ARK STATE,6,8.1,0,68.8,50.0,1,2,0,0.0,0,-0.08,4,113,0,81.5,68.2,58.5,33.3,61.8,58.2,57,0,28,8.2,8,98,1,38.2,11,83.7,82,40.8,40,79.2,16,0,1.0,1,76,23,2.1,6.9,0.93,2025_this_team
Tyler Little,172200,TE,ARK STATE,5,10.0,0,66.7,100.0,2,2,0,0.0,0,0.05,4,113,0,77.5,66.2,67.6,74.0,59.2,73.7,56,0,28,26.3,20,76,0,51.4,6,69.7,53,21.1,16,127.5,9,1,5.3,4,71,23,3.8,11.8,1.34,2025_this_team
Nana Burris,149719,WR,ARK STATE,4,12.4,0,60.0,,0,0,0,0.0,0,-0.41,2,113,0,73.1,64.1,60.0,,58.2,0.0,0,0,15,0.0,0,43,0,27.5,3,93.0,40,25.6,11,80.4,5,0,74.4,32,34,23,7.7,11.3,0.85,2025_this_team
Jordan Smart,152307,WR,ARK STATE,8,5.0,0,33.3,,0,0,1,0.0,0,-0.23,0,113,0,70.7,62.9,53.3,,55.2,0.0,0,0,3,0.0,0,32,1,32.3,1,96.9,31,93.8,30,42.4,3,0,6.3,2,3,5,5.0,3.0,0.1,2025_this_team
TJ Starks,188361,WR,ARK STATE,1,4.0,0,0.0,,0,0,0,,0,-0.56,0,113,0,,,56.6,,56.4,0.0,0,0,0,0.0,0,3,0,33.3,0,100.0,3,0.0,0,39.6,1,0,100.0,3,0,0,,,0.0,2025_this_team
Ezra Burgess,188333,TE,ARK STATE,9,1.0,0,0.0,,0,0,0,,0,-0.35,0,113,0,,64.2,59.1,74.3,45.7,93.8,30,0,0,34.4,11,32,0,32.1,0,59.4,19,3.1,1,39.6,1,0,3.1,1,0,0,,,0.0,2025_this_team
