player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Choe Bryant-Strother,131789,LB,BYU,1,0,0,100.0,0,0,128,0,0,63.4,77.2,72.9,80.7,65.2,75.8,0,0,0,0,4,0.0,0,0,0,83.3,1,1,0,17,0,9,17,0,0,0,0,0,0,17,1,7,0,2,1,0,1,1,0,4,2,4.0,2025_this_team
Jack Kelly,147861,LB,BYU,12,11,0,78.1,0,2,128,0,0,60.7,68.7,87.9,77.7,65.1,57.2,6,14,0,0,37,22.4,15,2,0,110.9,25,9,0,481,9,287,658,128,0,0,128,0,0,530,99,272,40,31,41,2,32,29,1,260,158,10.4,2025_this_team
Isaiah Glasker,157436,LB,BYU,14,18,1,77.1,0,1,128,2,0,45.2,57.3,71.3,75.8,57.0,48.7,3,14,0,2,30,21.2,18,1,2,89.7,27,3,0,425,8,350,815,288,0,0,288,0,0,527,135,330,94,27,49,6,35,20,1,316,224,11.7,2025_this_team
Max Alford,157627,LB,BYU,9,7,0,50.0,0,0,128,0,0,63.7,62.9,78.3,70.7,55.2,44.6,2,5,0,0,7,28.0,7,0,0,58.3,1,2,0,136,0,54,142,1,0,0,1,0,0,141,21,67,5,7,11,0,2,9,0,7,2,7.0,2025_this_team
Siale Esera,175020,LB,BYU,14,14,0,75.0,0,0,128,0,0,57.5,62.0,85.2,69.0,60.4,58.0,4,7,0,0,17,15.0,9,1,0,97.4,6,1,0,462,4,229,481,5,0,0,5,0,0,476,57,195,10,25,37,3,8,12,0,63,26,10.5,2025_this_team
Miles Hall,175024,LB,BYU,9,6,0,83.3,0,0,128,0,0,45.9,58.3,80.1,52.4,74.6,66.9,0,2,0,0,17,10.0,2,0,0,100.0,5,0,0,122,1,54,137,7,0,0,7,0,0,130,20,63,7,7,12,1,6,2,0,48,30,9.6,2025_this_team
Ace Kaufusi,175031,LB,BYU,12,1,0,88.9,0,0,128,0,0,55.2,62.5,81.6,62.8,69.3,65.9,2,2,0,0,16,13.3,2,0,1,97.2,8,0,0,102,0,73,170,49,0,0,49,0,0,121,25,72,19,9,12,2,9,4,0,66,21,8.3,2025_this_team
Maika Kaufusi,175032,LB,BYU,4,0,0,,0,0,128,0,0,60.7,48.8,73.0,59.9,48.0,26.2,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,10,0,3,18,8,0,0,8,0,0,10,1,14,0,1,1,0,0,0,0,0,0,,2025_this_team
Cade Uluave,176566,LB,CAL,12,24,1,69.2,0,0,130,0,0,55.5,60.5,0.0,90.2,57.3,57.5,8,8,0,0,33,15.2,16,1,3,105.4,27,3,0,602,2,331,662,15,0,0,15,0,5,647,44,287,38,40,65,8,39,19,2,267,116,9.9,arrival_2025_at_CAL
Ephraim Asiata,183758,LB,BYU,3,2,0,100.0,0,0,128,0,0,43.5,43.2,0.0,58.3,65.7,77.0,0,0,0,0,14,0.0,0,0,1,118.8,2,0,0,14,0,11,23,8,0,0,8,0,0,15,2,10,1,0,1,0,2,0,0,25,1,12.5,2025_this_team
