player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Parker Kingston,163251,WR,BYU,14,9.2,6,68.4,27.3,3,11,0,8.2,6,0.07,37,128,0,69.2,58.6,72.6,,75.2,0.0,0,2,75,0.0,0,380,5,46.9,67,91.3,347,60.0,228,107.0,98,5,39.5,150,928,475,7.1,13.9,2.67,2025_this_team
Chase Roberts,147528,WR,BYU,13,13.8,5,60.7,52.9,9,17,0,12.9,8,0.06,41,128,0,53.5,74.3,74.5,,76.9,0.0,0,2,85,0.0,0,365,3,45.9,54,93.7,342,26.0,95,103.3,89,6,74.0,270,802,247,4.6,14.9,2.35,2025_this_team
Carsen Ryan,162467,TE,BYU,14,6.5,11,76.3,22.2,2,9,0,4.3,2,0.04,28,128,0,80.2,73.7,81.8,57.5,81.6,55.9,245,2,43,26.0,114,438,3,46.0,45,69.4,304,31.3,137,112.3,59,3,10.5,46,620,336,7.5,13.8,2.04,2025_this_team
Walker Lyons,190350,TE,USC,12,8.6,1,76.9,100.0,3,3,0,4.8,1,0.33,15,326,0,64.7,70.4,69.3,67.3,67.6,51.4,107,2,26,18.3,38,208,0,54.5,20,74.5,155,34.1,71,95.5,26,2,12.5,26,223,115,5.8,11.2,1.44,arrival_2025_at_USC
Jojo Phillips,175038,WR,BYU,8,10.8,1,53.8,33.3,1,3,0,22.2,4,0.02,9,128,0,32.3,69.0,53.3,,54.2,0.0,0,1,21,0.0,0,203,0,49.2,14,96.1,195,18.2,37,56.7,26,0,81.8,166,161,39,2.8,11.5,0.83,2025_this_team
Cody Hagen,189644,WR,BYU,13,10.7,3,57.1,0.0,0,3,0,0.0,0,0.13,4,128,0,82.2,76.1,55.3,,52.4,0.0,0,0,24,0.0,0,210,0,46.4,12,93.3,196,35.2,74,68.9,21,0,64.8,136,97,66,5.5,8.1,0.49,2025_this_team
Tiger Bachmeier,174177,WR,BYU,14,11.9,0,50.0,0.0,0,2,1,0.0,0,0.13,3,128,1,78.5,28.2,56.9,,53.1,0.0,0,0,17,0.0,0,105,1,52.0,7,97.1,102,35.2,37,61.3,14,0,64.8,68,59,39,5.6,8.4,0.58,2025_this_team
Kyler Kasper,163298,WR,OREGON,4,13.2,0,40.0,,0,0,0,0.0,0,0.36,2,264,0,70.7,62.9,67.5,,63.8,0.0,0,0,40,0.0,0,26,1,52.2,2,88.5,23,7.7,2,77.9,5,0,92.3,24,51,4,2.0,25.5,2.22,arrival_2025_at_OREGON
Roger Saleapaga II,184864,TE,OREGON,14,9.8,0,60.0,100.0,1,1,0,0.0,0,0.59,2,264,0,74.9,69.4,57.0,64.4,63.7,32.7,17,0,18,23.1,12,52,2,60.5,3,63.5,33,44.2,23,113.3,5,1,13.5,7,26,5,1.7,8.7,0.79,arrival_2025_at_OREGON
Noah Moeaki,189649,TE,BYU,5,8.7,0,66.7,0.0,0,1,0,0.0,0,0.47,2,128,0,70.7,62.9,75.4,34.1,72.7,70.0,14,0,11,35.0,7,20,0,65.0,2,65.0,13,15.0,3,119.4,3,1,10.0,2,16,0,0.0,8.0,1.23,2025_this_team
Reggie Frischknecht,203997,WR,BYU,6,5.0,0,100.0,,0,0,0,0.0,0,0.04,1,128,0,66.7,61.0,59.4,,57.0,0.0,0,0,7,0.0,0,25,0,48.0,1,100.0,25,36.0,9,95.8,1,0,64.0,16,7,2,2.0,7.0,0.28,2025_this_team
Dominique McKenzie,183778,WR,BYU,1,43.0,0,0.0,0.0,0,1,0,,0,-0.62,0,128,0,,62.5,67.2,,49.7,0.0,0,0,0,0.0,0,2,0,50.0,0,100.0,2,0.0,0,39.6,1,0,100.0,2,0,0,,,0.0,2025_this_team
Rowan Reay,72336,WR,BYU,1,7.0,0,100.0,,0,0,0,0.0,0,-0.62,0,128,0,66.7,61.0,60.2,,60.3,0.0,0,0,8,0.0,0,2,0,50.0,1,100.0,2,50.0,1,100.0,1,0,50.0,1,8,1,1.0,8.0,4.0,2025_this_team
