unit,pos,depth,player,class,origin,note
QB,QB,1,Bear Bachmeier,SO,RETURNING STARTER (bold),"B12 Freshman of the Year: 3,033 pass + 527 rush, 26 total TD; only true FR in America w/ 3,500+ total yds; 65% / 7.8 Y/A; PFF 78.9/464; 6-2 230 'centaur'; yr-2 bonus + FIRST spring in Provo (spent last spring at Stanford)"
QB,QB,2,Treyson Bourguet,SR,returner,"2 career snaps; Hillstead -> Utah State; near-5* Ryder Lyons (#5 QB of 2026) signed but ON MISSION this year"
RB,RB,1,LJ Martin,SR,RETURNING STARTER (bold),"2025 B12 OFFENSIVE PLAYER OF THE YEAR; league-high 1,305 yds; PFF 86.3/360; played through shoulder injury (offseason surgery), still 100 ypg after; All-America candidate (P6); shot at school career rushing title"
RB,RB,2,Sione Moa,SO,returner,"PFF 79.8/49; Nawahine (58.9/74) expired"
WRTE,WR,1,Jojo Phillips / Cody Hagen,JR / JR,returners,"'experienced veterans' (P6) but low-graded: Phillips 53.3/195, Hagen 55.3/196 (also KR)"
WRTE,WR,1,Kyler Kasper,JR,Oregon transfer (Athlon-bold*),"former 4*, 6-6, 'stuck in a crowded NFL factory' (P6); PFF 67.5 on just 23 routes"
WRTE,WR,2,Tiger Bachmeier,SR,returner,"Bear's brother; 56.9/102"
WRTE,TE,1,Walker Lyons,JR,USC transfer (Athlon-bold*),"former Top100, USC co-starter 2025; PFF 69.3/155"
WRTE,TE,2,Roger Saleapaga II,JR,Oregon transfer*,"former 4*; 57.0/33; +Top200 4* Goettsche (FR); Brock Harris (4*) on mission. DEPARTED: all three All-B12 catchers - Roberts (74.5/342) + TE Ryan (81.8/304) graduated; Kingston (72.6/347) EXPELLED (felony charge, P6)"
OL,LT,1,Paki Finau,SO,Washington transfer (Athlon-bold*),"former 4*; 'coaches named the starting left tackle after spring' (P6); PFF 61.3/426 at UW"
OL,LG,1,Sonny Makasini,SR,returner,"PFF 72.9/423 - strong returning grade"
OL,C,1,Bruce Mitchell,SR,RETURNING STARTER (bold),"FIRST-TEAM All-B12 C; PFF 77.8/923 - the headliner (P6)"
OL,RG,1,Kyle Sfarcioc,SR,returner,"PFF 66.0/606"
OL,RT,1,Andrew Gentry,SR,RETURNING STARTER (bold),"all-league (P6); PFF 69.4/796"
OL,ALL,9,DEPARTED + depth,,,"GONE (3): LT Jatta (66.1/869), G Lapuaho (62.3/475), Leausa demoted to depth (56.2/544 returns). Depth adds: Yamauchi (Stanford, 49.0/142), Sia (Utah State, 48.6/731 - Athlon backup RT). OL coach TJ Woods: Top-40 again in both P6 OL metrics (#38 run push / #18 pass pro, 4% sack rate); five RS-seniors in two-deep"
DL,DT,1,Keanu Tanuvasa,SR,RETURNING STARTER (bold),"All-B12; 6-4 300; retained ('he elevated everything' - Poppinga); PFF 63.2/544"
DL,NT,1,Justin Kirkland,SR,returner (REDSHIRT - magazine override),"yr-4 but P6-explicit: former OkSt NT 'who redshirted' 2025, back as space-eater; Athlon NT starter"
DL,DE,1,Bodie Schoonover,SR,RETURNING STARTER (bold),"PFF 69.6/455"
DL,DT,1,Nusi Taumoepeau,SO,returner,"Athlon DT starter (young)"
DL,DE,2,Tausili Akana / Viliami Po'uha / Hunter Clegg / Anisi Purcell,JR / JR / / SR,returners,"Akana 64.3/197 ('rounds out top rotation' - P6); Po'uha 63.3/362; Clegg 70.3/253; Purcell 66.2/153. DEPARTED (2 starters): J.Taumoepeau (74.3/537) + Lutui (69.1/537) - the two best volume grades"
LB,OLB,1,Cade Uluave,SR,California transfer (Athlon-bold*),"#1 LB transfer of the cycle (P6); All-ACC: 100 tkl, 12 TFL; 'legit All-America candidate'; PFF 60.5/662 - honors/production vs grade split (LB caution)"
LB,MLB,1,Siale Esera,JR,RETURNING STARTER (bold),"PFF 62.0/481"
LB,OLB,1,Isaiah Glasker,SR,RETURNING STARTER (bold),"'do-it-all' (P6); PFF 57.3/815 - volume high, grade low (LB caution)"
LB,LB,2,Ace Kaufusi / Maika Kaufusi / Jake Clifton,JR / JR / JR,returners + KState transfer,"Ace 62.5/170; Clifton NO 2025 tape (ST-only at KState). DEPARTED: Jack Kelly (68.7/658) graduated/pro; Alford (62.9/142) -> Michigan"
DB,CB,1,Evan Johnson,SR,RETURNING STARTER (bold),"tied for league lead w/ FIVE INTs; PFF 82.4/824 - elite"
DB,CB,1,Therrian Alexander III,JR,RETURNING STARTER (bold),"PFF 69.6/530"
DB,SS,1,Faletau Satuala,JR,RETURNING STARTER (bold),"All-America praise (P6); led team in tackles; Iowa State pick-six; PFF 81.6/617; 'best safety we played all year' (opposing assistant, Athlon)"
DB,FS,1,Raider Damuni,SR,returner,"PFF 64.6/421"
DB,DB,2,Jayven Williams / Jarinn Kalama / Tommy Prassas,SR / SO / SO,MissSt transfer* + returners,"Williams 63.4/344. DEPARTED: Wall (81.3/739, 1st-tm All-B12) graduated; Bamba (68.4/396) expired; Beasley (62.2/305) -> USF. CAVEAT: DB coach Gilford -> Michigan (Athlon: 'question marks')"
ST,K,1,Matthias Dunn,SR,returner (career backup),"'finally get his chance' (Athlon) - until 5* Brody Laga returns from mission. DEPARTED: K Ferrin, P Vander Haar (waiver denied), LS Grimes - ALL THREE specialists gone from a 98th-pctile SPEC unit (89.5)"
ST,P,1,Fuller Shurtz,FR,signee,"spring results 'mostly positive' (Athlon); KR Hagen/Po'uha"
