player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Josh Cameron,144513,WR,BAYLOR,12,9.9,15,67.6,59.3,16,27,0,1.4,1,-0.02,41,118,2,91.6,55.5,72.4,,71.9,0.0,0,1,48,0.0,0,555,0,43.9,69,92.3,512,7.2,40,119.4,102,9,92.8,515,872,334,4.8,12.6,1.7,2025_this_team
Michael Trigg,146410,TE,BAYLOR,11,11.3,17,58.8,41.2,7,17,1,12.3,7,0.06,31,118,0,54.2,73.8,72.5,62.3,77.3,27.2,104,2,42,8.9,34,382,4,45.7,50,83.5,319,69.4,265,98.8,85,6,2.9,11,694,224,4.5,13.9,2.18,2025_this_team
Ashtyn Hawkins,147222,WR,BAYLOR,12,10.7,11,63.1,45.0,9,20,1,3.6,2,0.03,27,118,1,83.0,47.0,62.1,,62.3,0.0,0,4,41,0.0,0,497,1,45.4,53,92.2,458,12.9,64,65.6,84,0,86.9,432,621,237,4.5,11.7,1.36,2025_this_team
Kole Wilson,168441,WR,BAYLOR,12,14.3,11,57.9,35.7,5,14,0,2.2,1,-0.01,30,118,0,79.4,39.0,66.0,,68.4,0.0,0,2,64,0.0,0,373,0,44.3,44,92.5,345,89.5,334,93.7,76,5,9.4,35,591,304,6.9,13.4,1.71,2025_this_team
Gavin Freeman,158078,WR,OKLA STATE,12,4.6,11,76.8,55.6,5,9,0,7.0,4,-0.23,24,262,2,71.8,55.0,66.0,,66.1,0.0,0,3,33,0.0,0,277,3,36.3,53,96.0,266,93.9,260,96.3,69,4,5.4,15,481,363,6.8,9.1,1.81,arrival_2025_at_OKLA STATE
Hardley Gilmore IV,184632,WR,KENTUCKY,12,13.6,7,58.3,54.5,6,11,0,6.7,2,-0.14,17,202,1,70.7,32.1,64.7,,64.4,0.4,1,0,45,0.0,0,257,2,41.7,28,93.4,240,9.3,24,84.8,48,1,89.9,231,313,116,4.1,11.2,1.3,arrival_2025_at_KENTUCKY
Kobe Prentice,163609,WR,BAYLOR,11,9.4,6,74.3,0.0,0,1,0,7.1,2,0.03,11,118,0,69.2,71.2,72.3,,73.1,0.0,0,1,73,0.0,0,175,0,41.6,26,92.0,161,95.4,167,136.9,35,6,4.6,8,380,195,7.5,14.6,2.36,2025_this_team
Matthew Klopfenstein,174633,TE,BAYLOR,12,9.4,0,53.3,50.0,2,4,0,11.1,1,0.0,5,118,0,58.9,67.1,50.7,57.4,52.6,47.5,84,2,20,17.5,31,177,1,43.2,8,77.4,137,49.2,87,49.4,15,1,2.8,5,73,19,2.4,9.1,0.53,2025_this_team
Tony Livingston,174255,TE,FLORIDA,10,6.7,1,73.3,,0,0,0,8.3,1,0.12,7,163,0,67.5,68.7,76.2,69.9,85.1,70.0,56,0,38,21.3,17,80,2,45.5,11,75.0,60,13.8,11,135.8,15,2,12.5,10,119,105,9.5,10.8,1.98,arrival_2025_at_FLORIDA
Louis Brown IV,163319,WR,BAYLOR,4,16.8,1,42.9,25.0,1,4,0,14.3,1,-0.13,3,118,0,53.4,66.2,60.2,,62.0,0.0,0,0,28,0.0,0,53,1,40.0,6,94.3,50,0.0,0,86.6,14,1,100.0,53,84,30,5.0,14.0,1.68,2025_this_team
Jadon Porter,184818,WR,BAYLOR,8,9.1,1,64.3,25.0,1,4,0,10.0,1,0.06,4,118,0,61.0,67.5,58.4,,57.7,0.0,0,0,22,0.0,0,84,0,46.2,9,92.9,78,4.8,4,104.8,14,1,95.2,80,85,31,3.4,9.4,1.09,2025_this_team
LaKelsey Johnson Jr.,158559,TE,BAYLOR,7,9.2,0,60.0,,0,0,0,0.0,0,-0.08,2,118,0,73.1,66.4,59.3,52.9,61.6,51.1,23,0,15,28.9,13,45,1,50.0,3,71.1,32,48.9,22,79.6,5,0,0.0,0,33,12,4.0,11.0,1.03,2025_this_team
Jayden McGowan,157184,WR,CHARLOTTE,1,25.3,1,33.3,0.0,0,1,0,0.0,0,-0.1,1,136,0,66.7,61.0,65.4,,62.2,0.0,0,0,7,0.0,0,14,0,25.0,1,85.7,12,100.0,14,42.4,3,0,0.0,0,7,4,4.0,7.0,0.58,arrival_2025_at_CHARLOTTE
Jacorey Watson,200109,WR,BAYLOR,1,-1.5,0,100.0,,0,0,0,0.0,0,-0.39,0,118,0,70.7,62.9,58.0,,58.0,0.0,0,0,4,0.0,0,6,0,16.7,2,100.0,6,83.3,5,79.2,2,0,16.7,1,6,9,4.5,3.0,1.0,2025_this_team
Taz Williams Jr.,200110,WR,BAYLOR,4,11.0,0,50.0,,0,0,0,0.0,0,-0.03,1,118,0,66.7,61.0,57.9,,57.7,0.0,0,0,11,0.0,0,22,0,40.0,1,90.9,20,0.0,0,66.7,2,0,100.0,22,11,0,0.0,11.0,0.55,2025_this_team
Cody Mladenka,158565,TE,BAYLOR,2,12.0,0,0.0,0.0,0,1,0,,0,-0.61,0,118,0,,,57.6,66.0,54.2,40.0,4,0,0,20.0,2,10,0,22.2,0,80.0,8,60.0,6,39.6,1,0,0.0,0,0,0,,,0.0,2025_this_team
Mason Dossett,191287,WR,BAYLOR,1,11.0,0,100.0,,0,0,0,0.0,0,1.68,1,118,0,66.7,61.0,82.3,,74.8,0.0,0,0,11,0.0,0,1,0,100.0,1,100.0,1,100.0,1,112.5,1,0,0.0,0,11,0,0.0,11.0,11.0,2025_this_team
