player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Victor Vazquez,145656,CB,BOWL GREEN,5,0,0,50.0,0,0,122,0,0,56.4,50.3,76.2,56.0,48.0,76.4,0,1,0,0,6,0.0,0,0,0,56.3,1,0,0,2,0,10,21,0,0,0,0,0,3,21,2,9,16,1,1,0,2,1,0,6,1,6.0,2025_this_team
JoJo Johnson,147488,CB,BOWL GREEN,10,6,0,41.7,0,0,122,1,0,73.7,74.9,82.6,55.9,75.9,62.8,0,0,0,1,39,13.0,3,8,1,49.0,15,0,0,17,283,170,308,0,0,0,0,0,5,308,3,135,3,4,14,0,36,0,0,205,41,13.7,2025_this_team
Jalen McClendon,155787,CB,BOWL GREEN,12,5,0,59.4,1,0,122,0,0,53.7,54.4,50.0,75.7,57.1,51.8,0,0,0,0,75,17.7,11,5,7,115.9,38,1,0,45,645,376,719,1,0,0,1,0,11,718,2,341,17,8,46,0,64,1,5,588,145,15.5,2025_this_team
MJ Cannon,159355,CB,BOWL GREEN,12,8,0,60.0,0,0,122,1,0,72.4,74.3,58.7,64.0,79.7,75.4,0,3,0,2,44,12.5,7,1,4,71.5,27,2,0,121,42,371,752,35,0,0,35,0,43,717,21,360,511,19,41,5,45,5,2,250,104,9.3,2025_this_team
Darius Lorfils,163110,S,BOWL GREEN,9,4,0,78.6,0,1,122,0,0,58.2,61.1,82.7,55.7,66.2,40.7,0,2,0,0,44,28.2,11,1,0,150.0,11,0,0,182,5,221,423,10,0,0,10,0,158,413,6,196,68,7,24,2,14,2,3,147,36,13.4,2025_this_team
Jace Henry,176275,CB,BOWL GREEN,2,0,0,,0,0,122,0,0,60.0,61.1,67.8,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,4,1,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,,2025_this_team
Mike Wright III,183425,S,FAU,7,3,0,100.0,0,0,165,0,0,34.5,53.8,78.5,,86.9,51.6,0,0,0,0,65,7.7,1,0,0,158.3,4,0,0,19,0,32,70,1,0,0,1,0,43,69,0,38,7,4,9,0,4,0,3,142,69,35.5,arrival_2025_at_FAU
Kal-El Pascal,184151,S,BOWL GREEN,12,20,0,60.0,0,2,122,1,0,65.0,66.7,56.3,54.1,69.9,71.6,0,3,0,1,73,13.0,12,3,3,98.1,15,0,0,320,7,374,731,16,0,0,16,0,270,715,6,351,118,15,60,3,25,3,2,216,128,14.4,2025_this_team
Keyon Washington,189945,CB,BOWL GREEN,10,8,0,60.0,1,0,122,1,0,52.6,55.0,27.3,74.6,64.5,51.2,0,0,0,0,63,20.5,9,4,3,101.9,18,1,0,25,364,206,406,3,0,0,3,0,9,403,2,198,5,10,27,1,30,1,1,279,114,15.5,2025_this_team
Josira Andrews,191001,CB,BOWL GREEN,2,0,0,50.0,0,0,122,0,0,63.9,64.6,74.9,,62.9,53.2,0,0,0,0,12,20.0,1,0,0,61.8,3,0,0,2,34,20,36,0,0,0,0,0,0,36,0,16,0,0,4,0,6,0,0,26,7,8.7,2025_this_team
Preston EstoEsta,198179,S,BOWL GREEN,8,5,0,81.8,0,0,122,0,0,61.1,58.1,81.7,64.2,49.8,46.7,0,2,0,1,37,25.0,8,0,1,80.9,9,0,0,120,3,156,298,6,0,0,6,0,115,292,4,138,54,8,19,1,11,2,0,150,59,16.7,2025_this_team
DeVenchi Arnold II,198189,S,BOWL GREEN,1,0,0,,0,0,122,0,0,,38.3,63.6,,52.6,,0,0,0,0,,,0,0,0,0.0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,,2025_this_team
Jahai Johnson,198196,S,BOWL GREEN,1,0,0,,0,0,122,0,0,,60.9,64.9,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,0,3,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,,2025_this_team
