player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Aidan Keanaaina,122903,DI,CAL,13,20,2,,0,0,130,0,0,54.7,76.9,86.0,58.5,85.1,73.4,0,9,0,0,,6.1,3,0,0,0.0,0,2,0,0,0,1,544,543,150,389,2,2,0,1,271,272,0,24,26,0,0,11,0,0,0,,2025_this_team
Justin Beadles,123341,ED,LOUISVILLE,13,5,0,,0,0,210,0,0,58.3,53.4,45.2,51.9,58.0,38.7,0,3,0,0,,25.0,4,0,1,0.0,0,0,0,0,0,3,203,201,0,2,142,57,0,2,98,102,2,2,7,0,0,3,0,0,0,,arrival_2025_at_LOUISVILLE
Stanley Saole-McKenzie,131656,DI,CAL,13,3,0,,0,0,130,0,0,61.8,60.2,82.3,56.2,60.3,65.4,1,1,0,0,,15.4,2,0,0,0.0,0,0,0,0,0,0,229,229,69,156,1,3,0,0,124,105,0,4,8,0,0,2,0,0,0,,2025_this_team
T.J. Bollers,145165,DI,CAL,12,8,0,,0,0,130,0,0,60.0,62.5,83.9,62.0,60.5,58.8,2,8,0,0,,10.5,4,0,1,0.0,0,1,0,0,0,0,482,481,1,363,8,109,0,1,239,243,0,18,26,1,0,11,0,0,0,,2025_this_team
Derek Wilkins,146310,DI,CAL,11,3,8,100.0,1,0,130,0,0,62.2,55.6,24.4,67.6,49.3,35.5,1,8,0,0,-4,31.6,6,0,2,79.2,1,0,0,0,0,0,271,271,1,207,13,50,0,0,131,140,0,8,10,0,1,9,0,-4,3,-4.0,2025_this_team
Chris Victor,155855,ED,CAL,11,3,0,100.0,0,0,130,0,0,34.4,65.2,52.1,64.8,75.2,66.5,3,12,0,0,5,17.6,3,0,1,87.5,2,2,0,4,0,13,232,226,0,1,225,0,0,6,130,89,2,10,11,1,2,17,0,10,9,5.0,2025_this_team
Zae Smith,155866,DI,CAL,7,2,0,,0,0,130,0,0,,55.6,77.3,66.3,45.4,45.4,0,6,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,0,72,72,5,55,0,12,0,0,45,27,0,1,1,1,0,6,0,0,0,,2025_this_team
Tyson Ford,156978,DI,CAL,8,1,0,,0,0,130,0,0,,54.5,3.8,59.8,56.6,73.5,0,2,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,77,77,0,18,4,55,0,0,28,49,0,0,1,0,0,2,0,0,0,,2025_this_team
Curlee Thomas IV,158332,DI,CAL,9,0,0,,0,0,130,0,0,,51.5,79.6,56.8,48.3,24.1,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,89,89,0,25,35,29,0,0,48,41,0,1,1,0,0,0,0,0,0,,2025_this_team
Jayden Wayne,170098,ED,CAL,13,6,1,100.0,0,0,130,0,0,57.5,57.9,74.3,59.9,55.2,28.1,4,15,0,0,8,32.4,12,0,1,95.8,2,4,0,29,0,17,615,582,1,17,440,124,0,33,349,249,3,14,19,2,2,23,0,14,13,7.0,2025_this_team
Emmanuel Okoye,174736,ED,TENNESSEE,3,0,0,100.0,0,0,307,0,0,60.0,51.0,74.8,56.9,63.0,72.2,0,1,0,0,7,0.0,0,0,0,95.8,1,0,0,1,0,1,15,14,0,0,14,0,0,1,7,7,0,0,1,0,1,1,0,7,1,7.0,arrival_2025_at_TENNESSEE
TJ Bush Jr.,174925,ED,CAL,13,11,1,100.0,2,0,130,0,0,82.3,69.1,35.0,70.7,60.5,72.2,8,23,0,0,26,11.9,5,0,4,91.7,7,5,0,5,0,52,691,658,0,8,612,38,0,33,354,285,27,22,26,5,7,36,0,42,25,6.0,2025_this_team
Serigne Tounkara,175914,ED,CAL,3,0,0,,0,0,130,0,0,,65.2,75.0,54.5,68.6,73.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,13,13,0,0,13,0,0,0,7,6,0,1,1,0,0,0,0,0,0,,2025_this_team
Ryan McCulloch,176559,ED,CAL,4,2,1,100.0,0,0,130,1,0,51.9,75.4,86.6,83.8,64.8,50.8,6,12,0,0,17,25.0,3,0,0,136.3,5,2,0,10,0,21,210,193,0,0,191,2,0,17,106,83,7,6,7,1,5,20,1,36,17,7.2,2025_this_team
