player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Malik Denkins,55516,ED,C MICHIGAN,8,3,0,,0,0,134,0,0,61.2,62.1,79.0,56.0,60.2,78.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,66,66,5,0,54,7,0,0,27,39,0,3,4,0,0,0,0,0,0,,2025_this_team
Jonathan Decker,145715,DI,C MICHIGAN,13,9,0,,0,0,134,1,0,60.5,60.7,85.9,59.0,59.6,64.9,2,13,0,0,,12.1,4,0,0,0.0,0,0,0,2,0,0,484,482,121,318,2,41,0,2,246,238,0,13,20,3,0,15,0,0,0,,2025_this_team
Michael Heldman,145731,ED,C MICHIGAN,13,8,0,,1,2,134,0,0,62.8,93.2,39.3,92.9,87.3,73.7,5,36,0,0,,15.8,6,0,3,0.0,0,12,0,20,0,1,568,548,1,2,433,112,0,20,321,246,0,29,24,5,0,53,0,0,0,,2025_this_team
Fernando Sanchez III,145741,ED,C MICHIGAN,6,8,0,,0,0,134,1,0,72.5,63.3,43.5,62.6,61.1,40.7,1,5,0,0,,28.6,6,0,1,0.0,0,1,0,2,1,1,185,182,0,0,181,1,0,3,103,81,0,6,7,0,0,7,0,0,0,,2025_this_team
Oumar Conde,158576,DI,C MICHIGAN,3,0,0,,0,0,134,0,0,,58.3,73.8,56.0,60.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,25,25,0,24,0,1,0,0,12,13,0,0,0,0,0,0,0,0,0,,2025_this_team
Kade Kostus,158593,DI,C MICHIGAN,4,1,0,,0,0,134,0,0,60.0,46.1,17.1,59.5,42.2,73.8,0,1,0,0,,0.0,0,0,1,0.0,0,1,0,1,0,0,103,102,0,90,0,12,0,1,56,47,0,2,1,0,0,2,0,0,0,,2025_this_team
Korver Demma,170222,ED,C MICHIGAN,13,4,1,50.0,0,1,134,1,0,74.0,68.3,50.5,64.8,67.1,59.0,1,12,0,0,10,22.2,6,1,2,64.6,1,5,0,28,0,23,468,439,0,0,438,1,0,29,246,199,1,18,17,4,2,18,0,10,8,10.0,2025_this_team
Keshawn Hayden,171230,ED,C MICHIGAN,13,3,0,,0,1,134,0,0,60.1,65.9,54.2,74.6,54.0,39.0,4,8,0,0,,21.4,3,0,1,0.0,0,2,0,5,0,0,261,256,0,2,218,36,0,5,155,106,0,7,8,0,0,14,0,0,0,,2025_this_team
D.J. Bennett,184669,DI,C MICHIGAN,13,3,2,,0,0,134,0,0,49.6,40.7,83.2,54.0,33.0,61.6,0,3,0,0,,22.2,2,0,0,0.0,0,0,0,6,0,8,283,277,86,156,6,29,0,6,162,113,0,3,4,0,0,3,0,0,0,,2025_this_team
Quavion Bird,191023,DI,C MICHIGAN,12,5,0,,0,0,134,0,0,60.0,54.2,84.8,52.8,54.6,60.4,0,1,0,0,,10.5,2,0,1,0.0,0,0,0,2,0,0,222,220,100,119,0,1,0,2,105,117,0,6,12,0,0,1,0,0,0,,2025_this_team
Adam Kaminski,191034,DI,C MICHIGAN,2,0,0,,0,0,134,0,0,,52.4,71.0,56.5,57.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,10,10,0,10,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Landon Swanson,191047,ED,C MICHIGAN,6,1,0,,0,0,134,0,0,60.8,66.3,79.8,55.3,76.8,80.1,1,0,0,0,,0.0,0,0,0,0.0,0,1,0,2,0,3,47,44,0,1,43,0,0,3,29,15,0,3,4,0,0,2,0,0,0,,2025_this_team
Dylan Fisher,198243,DI,C MICHIGAN,8,1,1,,0,0,134,0,0,,58.9,39.6,66.0,55.0,61.0,0,2,0,0,,11.1,1,0,1,0.0,0,0,0,1,0,0,177,176,49,123,0,4,0,1,97,80,0,5,7,1,0,2,0,0,0,,2025_this_team
JJ Douglas,198250,ED,C MICHIGAN,9,0,2,100.0,0,1,134,0,0,65.2,59.6,86.7,70.3,37.7,83.3,2,13,0,0,28,0.0,0,0,0,118.8,1,2,0,35,1,17,228,192,41,3,140,8,0,36,138,73,0,8,13,0,1,17,0,28,15,28.0,2025_this_team
Daniel Viramontes,204753,DI,C MICHIGAN,1,1,0,,0,0,134,0,0,60.0,60.1,68.2,,59.3,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,3,3,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Joey VanWetzinga,204754,DI,C MICHIGAN,11,3,0,,0,0,134,0,0,,60.0,80.1,62.5,57.0,77.4,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,170,169,10,124,1,34,0,1,79,91,0,2,5,0,0,2,0,0,0,,2025_this_team
