player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Ja'Qurious Conley,122827,S,CHARLOTTE,11,11,0,65.4,0,1,136,1,0,86.4,75.4,0.0,58.3,63.8,72.2,0,0,0,3,38,13.0,9,4,3,57.1,17,0,0,148,2,220,459,18,0,0,18,0,230,441,5,234,61,12,49,0,26,0,1,170,80,10.0,2025_this_team
Derrick Edwards,144153,CB,CHARLOTTE,10,3,0,56.3,0,0,136,0,0,62.5,62.8,81.3,,61.8,68.6,0,0,0,0,46,13.6,3,2,0,103.9,9,0,0,29,195,117,231,7,0,0,7,0,0,224,0,114,0,3,16,0,16,0,1,131,49,14.6,2025_this_team
Randy Franklin,144307,S,CHARLOTTE,12,10,0,87.0,0,1,136,0,0,47.1,60.5,85.4,57.9,83.0,86.1,0,0,0,0,40,7.6,5,1,2,138.0,20,0,0,166,2,217,432,12,0,0,12,0,198,420,3,212,54,10,51,1,23,0,2,234,136,11.7,2025_this_team
Thai Baldwin,145629,CB,CHARLOTTE,12,0,1,72.4,1,0,136,1,0,46.1,51.1,84.0,73.0,66.7,51.8,0,0,0,0,60,20.0,5,3,2,149.0,21,0,0,46,323,196,387,18,0,0,18,0,0,369,2,189,0,2,20,0,29,0,4,327,119,15.6,2025_this_team
Caleb Curtain,148341,S,CHARLOTTE,11,17,0,82.4,0,0,136,1,0,53.8,52.9,85.2,84.0,46.0,46.2,1,0,0,0,70,22.6,12,0,0,158.0,14,0,0,129,1,215,388,7,0,0,7,0,169,381,4,169,81,5,24,2,17,1,2,214,154,15.3,2025_this_team
Gavin Shipman,148908,CB,CHARLOTTE,10,1,0,44.8,0,0,136,0,0,55.6,58.2,82.5,64.3,67.4,45.9,0,1,0,1,43,25.0,4,3,0,65.2,13,0,0,20,288,168,311,3,0,0,3,0,0,308,1,142,0,3,11,1,29,1,1,199,117,15.3,2025_this_team
Breon Noel,151309,S,CHARLOTTE,3,0,0,,0,0,136,0,0,,45.7,72.4,60.0,44.4,27.8,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,7,0,0,15,2,0,0,2,0,0,13,1,14,6,1,1,0,0,0,0,0,0,,2025_this_team
Treyveon McGee,157596,S,CHARLOTTE,10,11,0,81.8,0,0,136,0,0,58.5,57.0,87.0,61.9,51.1,43.6,1,2,0,0,26,18.8,6,1,0,134.1,18,0,0,96,0,205,392,56,0,0,56,0,3,336,14,173,236,8,15,2,22,3,4,147,94,8.2,2025_this_team
CJ Clinkscales Jr.,162658,CB,CHARLOTTE,12,5,0,75.0,0,0,136,0,0,58.2,64.3,84.0,68.9,83.2,67.4,0,0,0,0,45,12.5,7,0,1,127.7,27,0,0,56,394,239,471,12,0,0,12,0,0,459,2,230,8,9,44,0,36,0,2,385,123,14.3,2025_this_team
Dwight Bootle,170218,CB,CHARLOTTE,11,5,0,60.6,0,0,136,1,0,69.1,67.5,83.8,55.3,59.7,56.9,0,0,0,0,41,18.2,8,3,2,103.9,20,0,0,52,349,223,434,12,0,0,12,0,1,422,3,208,19,8,31,0,33,0,2,246,54,12.3,2025_this_team
