player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jalar Holley,97977,DI,CHARLOTTE,12,0,0,,0,0,136,0,0,,56.9,82.2,57.7,55.6,77.1,1,3,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,241,241,29,203,0,9,0,0,108,133,0,6,7,0,0,5,0,0,0,,2025_this_team
Zion Shockley,144911,DI,CHARLOTTE,11,6,0,,0,0,136,0,0,61.7,56.9,83.4,54.7,56.6,66.5,0,3,0,0,,7.7,1,0,0,0.0,0,0,0,1,0,1,311,309,38,251,7,13,0,2,167,143,0,3,6,2,0,3,0,0,0,,2025_this_team
Macyo Williams,145794,DI,CHARLOTTE,4,1,0,,0,0,136,0,0,,60.0,78.2,58.3,60.6,43.8,0,2,0,0,,25.0,1,0,0,0.0,0,1,0,0,0,0,92,92,5,80,1,6,0,0,56,36,0,1,2,0,0,3,0,0,0,,2025_this_team
Braden Mullen,148849,ED,CHARLOTTE,12,7,1,,0,0,136,0,0,64.5,65.0,86.0,63.3,62.1,63.3,0,6,0,0,,8.7,2,0,0,0.0,0,1,0,7,0,26,415,408,0,14,307,87,0,7,178,211,0,8,14,2,0,7,0,0,0,,2025_this_team
Jorel Liverpool,159534,ED,CHARLOTTE,11,7,0,100.0,0,1,136,0,0,62.5,65.6,85.2,54.2,71.3,28.9,4,6,0,0,7,26.9,7,0,0,95.8,1,1,0,0,0,5,304,303,3,9,223,68,0,1,144,155,0,11,12,3,1,11,0,7,9,7.0,2025_this_team
Jamarrion Solomon,162949,DI,CHARLOTTE,11,1,0,,0,0,136,0,0,67.9,61.6,58.6,58.3,60.9,81.0,2,3,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,353,353,39,292,3,19,0,0,195,158,0,13,18,4,0,5,0,0,0,,2025_this_team
DJ Burgess,163557,ED,CHARLOTTE,1,0,0,,0,0,136,0,0,,70.7,78.0,63.6,72.1,73.3,3,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,54,54,0,2,46,6,0,0,33,21,0,2,2,0,0,4,0,0,0,,2025_this_team
Cheick Kaba,172160,DI,CHARLOTTE,11,10,2,,1,0,136,0,0,60.0,41.5,49.7,58.8,35.6,23.6,0,2,0,0,,34.8,8,0,1,0.0,0,0,0,0,0,0,252,251,26,210,1,14,0,1,126,126,0,2,5,0,0,2,0,0,0,,2025_this_team
Curtis Simpson,183339,ED,CHARLOTTE,12,7,1,100.0,1,1,136,0,0,66.3,62.7,63.0,67.4,55.2,72.1,6,10,0,0,1,11.1,3,0,1,79.2,1,3,0,3,0,6,353,350,0,10,303,37,0,3,191,156,0,14,17,3,1,19,0,1,3,1.0,2025_this_team
Yamil Talib,188734,ED,CHARLOTTE,12,13,2,0.0,0,1,136,0,0,86.0,79.0,87.4,68.8,74.5,64.2,2,8,0,1,,10.3,3,0,0,0.0,0,2,0,11,0,26,374,361,0,6,325,30,0,13,174,174,2,12,13,2,1,12,0,0,0,,2025_this_team
Caleb Irving,190910,DI,CHARLOTTE,12,6,0,,0,0,136,0,0,66.5,54.7,50.5,51.1,56.9,35.7,0,3,0,0,,22.2,4,0,1,0.0,0,0,0,0,0,0,249,249,35,200,2,12,0,0,111,138,0,6,8,0,0,3,0,0,0,,2025_this_team
Kendal Brown,193122,ED,CHARLOTTE,1,0,0,,0,0,136,0,0,,60.4,74.4,59.6,60.4,29.6,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,12,12,0,0,12,0,0,0,1,11,0,2,2,0,0,0,0,0,0,,2025_this_team
Xavier Miles,197642,DI,CHARLOTTE,11,6,0,,0,0,136,2,0,58.1,46.3,50.8,58.4,43.7,57.2,0,3,0,0,,10.0,2,0,1,0.0,0,0,0,0,0,1,267,267,24,238,1,4,0,0,110,156,0,8,12,0,0,3,0,0,0,,2025_this_team
Jaylon Johnson,198255,ED,CHARLOTTE,10,8,0,50.0,0,1,136,0,0,30.4,50.6,87.1,56.8,54.1,43.3,1,8,0,0,38,21.1,4,0,0,128.1,2,1,0,5,0,23,326,320,0,3,260,57,0,6,133,170,0,4,7,0,4,10,1,43,22,21.5,2025_this_team
Devin Ancrum,199822,DI,N CAROLINA,2,1,0,,0,0,245,0,0,,43.9,74.4,53.7,44.4,69.7,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,22,22,6,16,0,0,0,0,15,7,0,0,0,0,0,1,0,0,0,,arrival_2025_at_N CAROLINA
Jaylen Doss,204763,DI,CHARLOTTE,1,0,0,,0,0,136,0,0,,58.6,69.9,59.3,59.2,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,7,7,0,6,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,,2025_this_team
