player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Mo Clipper Jr.,157618,G,CHARLOTTE,12,100.0,0,136,54.8,50.7,53.8,3,13,397,100.0,100.0,96.7,1,21,5,701,0,701,0,701,421,421,0,0,280,0,2025_this_team
Dallas Shirley,198253,C,CHARLOTTE,12,100.0,0,136,56.1,54.0,59.9,4,13,341,100.0,100.0,97.5,6,17,0,605,488,0,0,605,359,359,99,18,246,0,2025_this_team
Mason Bowers,122319,T,CHARLOTTE,11,100.0,0,136,51.4,51.9,52.8,2,13,243,100.0,100.0,95.7,4,18,3,470,0,0,0,470,261,261,221,249,209,0,2025_this_team
Jesse Ramil,151251,T,CHARLOTTE,9,100.0,1,136,65.5,66.3,66.5,4,7,224,100.0,100.0,97.1,4,12,1,426,0,0,420,426,241,241,0,6,185,0,2025_this_team
Tyler Gibson,156301,T,CHARLOTTE,11,100.0,0,136,53.2,71.9,45.1,1,9,231,100.0,100.0,97.4,5,11,1,377,0,0,0,377,239,239,0,377,138,0,2025_this_team
Kristos Fernandez,154608,T,CHARLOTTE,10,100.0,1,136,50.3,46.3,57.6,3,10,205,100.0,100.0,94.4,3,18,5,337,0,0,262,337,211,211,0,75,126,0,2025_this_team
Devin Davis,198252,G,CHARLOTTE,8,100.0,0,136,59.2,54.2,60.7,2,8,139,100.0,100.0,96.4,3,10,0,257,0,11,0,257,154,154,246,0,103,0,2025_this_team
Rod Green,150891,G,CHARLOTTE,10,100.0,1,136,61.8,56.3,62.0,1,7,126,100.0,100.0,96.0,1,9,1,199,0,0,0,199,129,129,199,0,70,0,2025_this_team
Luke Sandy,157677,G,WYOMING,11,100.0,1,351,65.9,77.7,64.4,0,0,100,100.0,100.0,99.0,2,1,1,174,8,119,0,174,103,103,47,0,71,0,arrival_2025_at_WYOMING
Drew Cunningham,193125,C,CHARLOTTE,6,100.0,0,136,64.2,71.6,59.8,0,3,97,100.0,100.0,98.5,0,3,0,163,163,0,0,163,99,99,0,0,64,0,2025_this_team
Eli Samples,162654,T,CHARLOTTE,7,100.0,0,136,60.2,49.8,70.1,0,5,67,100.0,100.0,94.8,2,6,1,129,0,0,86,129,70,70,0,43,59,0,2025_this_team
Jonny King,122188,C,CHARLOTTE,4,100.0,0,136,52.5,53.3,52.2,1,1,58,100.0,100.0,98.3,1,2,0,117,117,0,0,117,64,64,0,0,53,0,2025_this_team
Dom Silvia,184273,G,CHARLOTTE,6,100.0,0,136,62.5,55.7,62.8,0,1,29,100.0,100.0,98.3,0,1,0,56,0,56,0,56,29,29,0,0,27,0,2025_this_team
Andrew Adair,147536,G,CHARLOTTE,1,100.0,0,136,59.0,11.8,,0,0,3,100.0,100.0,100.0,0,0,0,3,0,0,0,3,3,3,3,0,0,0,2025_this_team
J'ven Williams,170305,T,PENN STATE,2,100.0,0,266,60.0,66.5,60.0,0,0,0,,100.0,,0,0,0,2,0,1,0,2,1,1,0,1,1,0,arrival_2025_at_PENN STATE
