player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Cyrus Allen,156582,WR,CINCINNATI,13,10.8,8,71.0,20.0,1,5,0,2.0,1,0.18,29,138,2,87.6,28.6,72.6,62.1,75.2,0.0,0,4,88,0.3,1,293,0,44.6,49,93.2,273,92.2,270,116.6,69,12,7.8,23,661,269,5.5,13.5,2.42,2025_this_team
Jeff Caldwell,154188,WR,CINCINNATI,13,15.0,11,55.2,38.5,5,13,0,8.6,3,0.14,25,138,0,65.7,72.0,70.0,,71.5,0.0,0,0,40,0.0,0,232,2,44.8,32,95.3,221,8.2,19,116.9,58,6,91.8,213,478,119,3.7,14.9,2.16,2025_this_team
Caleb Goodie,173459,WR,CINCINNATI,12,15.6,4,56.9,36.4,4,11,0,9.4,3,0.19,19,138,1,65.7,33.2,63.5,64.4,63.1,0.3,1,1,82,0.3,1,322,0,43.8,29,94.1,303,14.3,46,93.6,51,2,85.4,275,480,176,6.1,16.6,1.58,2025_this_team
Noah Jennings,178610,WR,CINCINNATI,13,12.6,9,56.1,0.0,0,7,0,14.8,4,0.14,19,138,0,49.8,71.2,67.1,,66.7,0.0,0,0,36,0.0,0,223,0,41.6,23,93.7,209,7.2,16,81.7,41,0,92.8,207,323,113,4.9,14.0,1.55,2025_this_team
Cade Wolford,188243,WR,KENT STATE,12,14.4,3,55.9,100.0,1,1,0,5.0,1,-0.11,12,201,0,74.6,76.0,80.3,67.5,77.8,0.0,0,0,79,0.6,1,155,1,36.1,19,92.3,143,77.4,120,140.3,34,7,9.7,15,509,241,12.7,26.8,3.56,arrival_2025_at_KENT STATE
Joe Royer,52545,TE,CINCINNATI,13,6.2,4,87.9,75.0,3,4,0,0.0,0,0.21,16,138,0,88.9,71.8,59.8,72.4,64.6,45.4,161,0,73,16.6,59,355,4,44.8,29,78.6,279,49.3,175,158.3,33,4,2.0,7,416,257,8.9,14.3,1.49,2025_this_team
Isaiah Johnson,185903,WR,CINCINNATI,13,6.6,9,60.9,,0,0,0,12.5,2,0.26,11,138,0,57.1,71.1,67.9,,69.0,0.0,0,0,42,0.0,0,108,1,44.1,14,94.4,102,98.1,106,132.6,23,3,0.9,1,222,161,11.5,15.9,2.18,2025_this_team
Gavin Grover,183794,TE,CINCINNATI,12,3.0,0,66.7,,0,0,0,0.0,0,0.04,2,138,0,76.3,68.5,58.2,72.4,53.1,54.5,36,1,33,19.7,13,66,0,45.3,4,77.3,51,43.9,29,58.3,6,0,1.5,1,58,44,11.0,14.5,1.14,2025_this_team
Patrick Gurd,129747,TE,CINCINNATI,13,2.3,2,75.0,,0,0,0,0.0,0,0.17,2,138,0,73.1,64.1,57.6,48.1,70.4,63.6,42,0,23,56.1,37,66,1,49.2,3,40.9,27,25.8,17,112.5,4,0,0.0,0,46,42,14.0,15.3,1.7,2025_this_team
Elijah Jones,188191,WR,CINCINNATI,10,16.8,1,50.0,0.0,0,1,1,0.0,0,0.37,0,138,0,70.7,62.9,49.4,,48.2,0.0,0,0,11,0.0,0,51,1,49.0,2,96.1,49,17.6,9,61.5,4,0,82.4,42,17,3,1.5,8.5,0.35,2025_this_team
Barry Jackson Jr.,173031,WR,CINCINNATI,4,6.0,0,0.0,,0,0,1,,0,0.29,0,138,0,,,47.6,,53.4,0.0,0,0,0,0.0,0,20,1,47.4,0,95.0,19,35.0,7,39.6,1,0,65.0,13,0,0,,,0.0,2025_this_team
