unit,pos,depth,player,class,origin,note
QB,QB,1,JC French IV,SR,Georgia Southern transfer (Athlon-bold*),"5,760 pass yds / 37 TD + 554 rush over past two seasons; 6th in SBC QB Rating 2025 (9th in 2024) - volume over efficiency; drawn by RPO/play-action fit (P6); PFF 65.4/498. DEPARTED: Sorsby (90.3/400 - elite) -> Texas Tech as the cycle's TOP-RATED transfer; Cincinnati sued over contract break (P6; see research_log flag for TT)"
QB,QB,2,Samaj Jones / Liam O'Brien,SO / ,returner + Penn transfer,"Jones 9 career snaps; O'Brien (Ivy) no PFF tape"
RB,RB,1,Zion Johnson,FR,returner,"bowl-game start; 'surged in spring... the most explosive of the bunch' - Satterfield named him starter (P6); 67.4/29"
RB,RB,2,Zylan Perry / Gi'Bran Payne / Cole Tabb,JR / SR / ,Louisiana + Notre Dame + Stanford transfers,"Perry All-Sun Belt (74.6/192); Payne P4 backup (71.3/13); Tabb (72.6/125). DEPARTED: Walker (85.0/167, All-B12) graduated + Pryor (73.8/109) -> Florida = 1,231 combined yds"
WRTE,WR,1,JV Gibson,SR,Oklahoma transfer (Athlon-bold*),"spring #1 (P6); injury-limited 2025 at OU (NO qualifying tape); 70 catches at FCS in 2024"
WRTE,WR,1,Isaiah Johnson,JR,returner,"'lightning speed' (Athlon), rotation last year (67.9/102); also KR/PR"
WRTE,WR,1,Larenzo Fenner,JR,South Dakota transfer (Athlon-bold*),"15 FCS TD (P6); no PFF row"
WRTE,WR,2,Cade Wolford / Malachi Henry / Flynn Schiele,SO / JR / ,Kent State + Central Arkansas + D2 Colorado Mines transfers,"Wolford: 27 yds/catch All-MAC - PFF 80.3/143 (best incoming tape; P6: may get run-game touches); Henry 10 FCS TD (no row); Schiele D2 w/ 4* transfer grade (no row). DEPARTED top 3: Allen (72.6/273; 13 TD - 3rd natl; 2nd-tm All-B12) expired, Goodie (63.5/303) -> Missouri, Caldwell (70.0/221; all-time Combine performance) expired. Jennings (67.1/209) returns as depth (not on Athlon DC)"
WRTE,TE,1,Gavin Grover,JR,returner,"'next in line' in the TE legacy (P6): 250 snaps as true FR (58.2/51 routes). DEPARTED: Royer (59.8/279, All-B12) - NFL 5th round"
OL,LT,1,Joe Cotton,SR,RETURNING STARTER (bold),"one of the December joint-announcement trio (P6); PFF 69.9/771"
OL,LG,1,Evan Tengesdahl,JR,RETURNING STARTER (bold),"ALL-AMERICAN (Athlon); PFF 85.4/735 - elite"
OL,C,1,Taran Tyo,SR,RETURNING STARTER (bold),"PFF 72.7/766; trio makes 'one of the strongest Big 12 lines yet again' (P6)"
OL,RG,1,Xavier Lozowicki,JR,returner,"projected fill-in (P6); PFF 71.1/103"
