player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
DeMonte Capehart,122144,DI,CLEMSON,12,5,2,,0,0,140,0,0,60.0,71.2,83.5,61.9,74.5,53.4,3,7,0,0,,16.0,4,0,0,0.0,0,1,0,0,0,0,347,347,57,282,0,8,0,0,204,143,0,14,16,2,0,11,0,0,0,,2025_this_team
Cade Denhoff,144114,ED,CLEMSON,13,10,1,50.0,0,0,140,0,0,69.7,72.3,87.6,62.5,74.6,67.8,3,12,0,0,21,10.7,3,0,0,87.5,1,0,0,0,0,22,334,333,0,4,301,28,0,1,177,135,0,10,15,2,2,15,0,21,5,21.0,2025_this_team
Zaire Patterson,144132,DI,CLEMSON,3,0,0,,0,0,140,0,0,,43.8,72.8,54.7,51.8,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,16,16,3,10,0,3,0,0,13,3,0,0,0,0,0,0,0,0,0,,2025_this_team
Caden Story,156229,ED,CLEMSON,5,1,0,,0,0,140,0,0,67.5,61.0,78.8,65.6,49.1,77.2,0,3,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,3,70,70,1,29,31,9,0,0,37,30,0,1,3,0,0,4,0,0,0,,2025_this_team
Jahiem Lawson,156235,ED,CLEMSON,11,5,2,100.0,0,0,140,0,0,70.4,77.7,29.0,73.4,78.0,77.4,3,19,0,0,16,6.3,1,0,2,118.8,2,4,0,28,0,27,300,270,0,8,249,13,0,30,173,100,2,12,10,3,2,26,0,25,8,12.5,2025_this_team
Levi Matthews,162686,ED,CLEMSON,2,0,0,,0,0,140,0,0,,57.9,70.9,57.3,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Vic Burley,170004,DI,CLEMSON,13,1,1,,0,0,140,0,0,61.0,62.6,80.8,62.0,58.5,77.0,0,4,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,176,176,22,134,1,19,0,0,90,86,0,4,6,1,0,4,0,0,0,,2025_this_team
Markus Dixon,170006,ED,CLEMSON,3,0,0,,0,0,140,0,0,,56.5,74.4,55.6,59.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,12,12,0,0,12,0,0,0,7,5,0,0,0,0,0,0,0,0,0,,2025_this_team
Stephiylan Green,170008,DI,CLEMSON,10,7,0,,0,0,140,0,0,62.2,71.5,55.2,61.6,76.9,65.5,1,7,0,0,,11.8,2,0,1,0.0,0,2,0,1,0,0,291,289,42,218,2,27,0,2,177,114,0,8,8,1,0,10,0,0,0,,2025_this_team
T.J. Parker,170021,ED,CLEMSON,12,11,0,20.0,0,0,140,3,0,79.3,80.6,73.8,74.5,77.5,66.2,11,24,0,0,11,11.1,4,1,1,39.6,1,6,0,0,0,33,549,548,0,21,508,19,0,1,325,191,0,22,21,5,5,41,0,11,2,11.0,2025_this_team
Patrick Swygert,170030,DI,CLEMSON,1,0,0,,0,0,140,0,0,,60.0,64.4,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Peter Woods,170034,DI,CLEMSON,12,6,1,,0,0,140,0,0,61.2,72.3,85.2,65.4,73.9,55.4,2,9,0,0,,18.2,6,0,0,0.0,0,3,0,15,0,2,562,546,51,429,16,50,0,16,363,197,0,21,21,1,0,14,0,0,0,,2025_this_team
Markus Strong,173720,DI,OKLAHOMA,11,2,0,,0,0,261,0,0,60.0,66.5,79.4,59.3,69.0,60.3,0,1,0,0,,12.5,1,0,0,0.0,0,1,1,1,0,0,106,105,19,70,4,12,0,1,62,44,0,5,5,1,0,2,0,0,0,,arrival_2025_at_OKLAHOMA
Will Heldt,174960,ED,CLEMSON,13,8,3,100.0,0,1,140,0,0,75.7,84.4,58.7,82.4,77.9,77.0,9,26,0,0,21,7.5,3,0,2,79.2,6,10,0,3,0,28,579,575,0,13,540,22,0,4,342,209,1,27,29,8,6,45,0,13,19,2.2,2025_this_team
Champ Thompson,183203,DI,CLEMSON,8,0,0,,0,0,140,0,0,61.1,56.0,78.4,52.5,56.6,36.5,0,1,0,0,,50.0,1,0,0,0.0,0,1,0,0,0,0,101,101,12,74,1,14,0,0,46,55,0,2,1,0,0,2,0,0,0,,2025_this_team
Hevin Brown-Shuler,189362,DI,CLEMSON,3,0,0,,0,0,140,0,0,,56.2,77.0,56.8,56.2,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,57,57,8,49,0,0,0,0,32,25,0,0,1,0,0,0,0,0,0,,2025_this_team
Aidan Hydrick,189366,ED,CLEMSON,1,0,0,,0,0,140,0,0,,60.0,64.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Darien Mayo,189368,ED,CLEMSON,7,1,0,,0,0,140,0,0,61.3,68.3,79.1,62.5,69.3,73.3,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,4,62,61,0,1,52,8,0,1,32,26,0,1,1,0,0,1,0,0,0,,2025_this_team
London Merritt,198301,ED,COLORADO,12,9,0,,0,0,143,0,0,62.8,72.5,85.7,61.0,76.5,69.8,2,11,0,0,,10.3,3,0,0,0.0,0,1,0,3,0,3,323,320,1,13,295,11,0,3,146,174,0,15,17,6,0,14,0,0,0,,arrival_2025_at_COLORADO
Amare Adams,199625,DI,CLEMSON,10,3,0,,0,0,140,0,0,,55.7,78.9,54.7,57.0,75.2,0,4,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,110,110,7,98,0,5,0,0,64,46,0,0,2,0,0,4,0,0,0,,2025_this_team
Ari Watford,199632,ED,CLEMSON,1,0,0,,0,0,140,0,0,,62.2,72.7,58.8,62.0,73.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,7,7,0,0,7,0,0,0,2,5,0,0,1,0,0,0,0,0,0,,2025_this_team
