player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Bryson Graves,175806,WR,COAST CAR,13,8.4,8,54.1,36.4,4,11,0,10.8,4,-0.19,12,141,1,61.1,65.8,61.3,,63.5,1.8,5,3,39,0.0,0,274,2,32.4,33,92.0,252,94.9,260,58.8,61,2,2.6,7,311,216,6.5,9.4,1.23,2025_this_team
Tristian Gardner,198895,WR,MO STATE,12,13.3,3,69.8,53.8,7,13,0,3.2,1,0.0,18,230,0,80.9,71.9,76.1,,76.1,0.0,0,1,42,0.0,0,231,0,42.2,30,94.4,218,2.2,5,135.2,43,6,97.8,226,465,99,3.3,15.5,2.13,arrival_2025_at_MO STATE
Robby Washington,170096,WR,COAST CAR,13,3.6,13,71.4,0.0,0,1,0,11.8,4,-0.19,14,141,1,56.4,38.6,61.6,,63.8,1.2,2,2,39,0.0,0,173,2,34.8,30,92.5,160,94.8,164,94.0,42,3,4.0,7,287,220,7.3,9.6,1.79,2025_this_team
Cameron Wright,144289,WR,COAST CAR,12,8.9,2,57.1,9.1,1,11,0,14.3,4,-0.13,15,141,0,52.4,71.2,59.0,,59.3,0.0,0,0,44,0.0,0,198,0,33.0,24,94.9,188,6.6,13,84.8,42,1,93.4,185,274,128,5.3,11.4,1.46,2025_this_team
Clayton Coppock Jr.,198608,WR,KENNESAW,11,10.3,1,70.7,40.0,2,5,0,0.0,0,0.17,14,200,0,89.5,76.0,67.9,,68.4,2.8,7,2,55,0.0,0,247,2,47.4,29,92.3,228,86.2,213,113.2,41,5,8.5,21,324,118,4.1,11.2,1.42,arrival_2025_at_KENNESAW
Malick Meiga,129791,WR,COAST CAR,11,11.2,0,55.6,60.0,3,5,0,13.0,3,-0.31,9,141,0,53.7,70.2,56.1,,56.1,0.0,0,1,32,0.0,0,196,0,31.0,20,93.9,184,5.1,10,70.5,36,1,94.4,185,211,81,4.1,10.6,1.15,2025_this_team
Karmello English,176212,WR,COAST CAR,13,8.3,2,62.5,0.0,0,2,1,4.8,1,-0.29,11,141,0,75.4,70.4,56.0,61.9,55.3,0.0,0,2,42,0.4,1,253,1,33.2,20,93.7,237,4.7,12,83.5,32,3,95.3,241,185,104,5.2,9.3,0.78,2025_this_team
Jameson Tucker,147090,WR,COAST CAR,13,17.5,1,45.8,0.0,0,1,1,15.4,2,-0.19,6,141,1,49.5,20.5,52.6,,55.6,0.0,0,2,75,0.0,0,140,2,32.8,11,93.6,131,7.1,10,69.3,24,2,92.9,130,207,76,6.9,18.8,1.58,2025_this_team
Malcolm Gillie,173996,WR,COAST CAR,12,19.3,4,34.8,33.3,3,9,0,27.3,3,-0.32,6,141,0,29.8,74.1,55.5,,56.0,0.0,0,1,69,0.0,0,165,0,31.2,8,93.3,154,4.2,7,71.5,23,2,95.8,158,163,106,13.3,20.4,1.06,2025_this_team
Brooks Johnson,156670,TE,COAST CAR,10,5.8,0,55.0,40.0,2,5,0,8.3,1,-0.3,6,141,0,64.6,68.2,47.7,68.2,58.6,54.9,90,0,22,22.0,36,164,3,29.5,11,74.4,122,43.9,72,82.7,20,1,1.2,2,87,44,4.0,7.9,0.71,2025_this_team
Eli Aragon,192915,WR,COAST CAR,10,9.9,3,55.6,0.0,0,1,0,0.0,0,-0.39,5,141,0,80.9,67.9,58.1,,59.4,0.0,0,1,40,0.0,0,102,0,27.1,10,94.1,96,99.0,101,50.5,18,0,0.0,0,109,57,5.7,10.9,1.14,2025_this_team
Zach Courtney,157704,TE,COAST CAR,9,9.0,0,64.3,50.0,1,2,0,0.0,0,-0.08,6,141,1,80.1,18.7,55.5,70.1,55.5,53.4,78,0,23,19.2,28,146,2,40.3,9,76.7,112,45.2,66,91.1,14,0,1.4,2,119,57,6.3,13.2,1.06,2025_this_team
Colton Hinton,172651,WR,COAST CAR,5,4.5,1,75.0,,0,0,0,0.0,0,-0.52,0,141,0,74.9,65.0,53.5,,57.6,0.0,0,1,4,0.0,0,40,1,21.6,3,92.5,37,92.5,37,37.5,4,0,7.5,3,8,17,5.7,2.7,0.22,2025_this_team
Krosse Johnson,190171,WR,ARKANSAS,5,19.0,0,50.0,,0,0,0,0.0,0,-0.07,0,111,0,66.7,61.0,63.2,,62.7,0.0,0,0,9,0.0,0,12,0,41.7,1,100.0,12,100.0,12,62.5,2,0,0.0,0,9,2,2.0,9.0,0.75,arrival_2025_at_ARKANSAS
