player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Preston Hodge,131462,CB,COLORADO,12,3,0,50.0,1,0,143,1,0,57.5,57.0,89.2,85.2,49.7,51.6,2,2,0,1,60,20.3,13,6,5,89.4,33,0,0,178,8,373,844,34,0,0,34,0,65,810,10,461,558,18,48,2,66,4,4,503,339,15.2,2025_this_team
Ivan Yates,139049,CB,COLORADO,7,3,0,39.3,0,0,143,0,0,64.6,62.7,82.9,,53.9,28.7,0,0,0,0,28,31.8,7,3,0,57.7,11,0,0,39,306,170,374,1,0,0,1,0,9,373,0,204,18,2,12,0,28,0,0,154,72,14.0,2025_this_team
Ben Finneseth,154599,S,COLORADO,7,4,0,100.0,0,1,143,1,0,79.8,73.5,82.0,66.4,61.8,80.2,2,1,0,0,13,8.0,2,0,0,118.8,1,0,0,111,3,110,275,8,0,0,8,0,127,267,5,160,25,1,19,0,1,3,0,13,4,13.0,2025_this_team
Justin Eaglin,156724,CB,JAMES MAD,14,3,0,49.3,0,0,197,0,0,72.7,74.7,86.2,,78.5,62.2,0,0,1,5,98,15.0,6,5,1,65.1,35,0,0,15,648,414,679,2,0,0,2,0,0,677,0,265,11,11,31,0,71,0,3,634,276,18.1,arrival_2025_at_JAMES MAD
Braden Keith,157713,S,COLORADO,1,0,0,,0,0,143,0,0,60.0,63.0,69.4,,60.7,74.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,5,0,0,0,0,0,5,5,0,4,0,0,1,0,0,0,0,0,0,,2025_this_team
Emory Floyd,158127,CB,APP STATE,13,12,0,56.9,1,0,108,0,0,67.6,69.0,0.0,59.8,85.2,80.8,0,0,0,1,47,7.7,5,4,8,94.9,37,0,0,33,792,486,846,12,0,0,12,0,1,834,1,359,8,11,48,1,65,0,3,568,188,15.4,arrival_2025_at_APP STATE
DJ McKinney,163824,CB,COLORADO,9,3,0,58.1,1,0,143,0,0,64.2,66.6,85.4,,72.4,54.3,0,0,0,1,32,20.0,9,4,3,92.5,18,0,0,50,505,287,597,12,0,0,12,0,1,585,0,310,29,7,33,1,31,0,2,253,81,14.1,2025_this_team
Carter Stoutmire,171907,S,COLORADO,8,9,0,50.0,0,1,143,0,0,62.3,72.4,86.2,53.1,90.4,57.9,2,3,0,0,67,18.8,9,2,0,129.2,5,0,0,101,4,215,461,20,0,0,20,0,289,441,11,235,47,6,30,0,10,5,1,129,113,25.8,2025_this_team
RJ Johnson,172410,CB,COLORADO,4,0,0,44.4,0,0,143,0,0,66.2,63.5,78.7,,50.4,63.6,0,0,0,1,16,12.5,1,0,0,16.7,4,0,0,12,96,59,112,0,0,0,0,0,0,112,0,53,4,1,7,0,9,0,0,37,6,9.3,2025_this_team
Terrance Love,172457,S,COLORADO,1,0,0,,0,0,143,0,0,61.4,62.8,71.9,,60.5,,0,0,0,0,,,0,0,0,0.0,0,0,0,3,0,3,8,1,0,0,1,0,2,7,0,5,2,0,0,0,0,0,0,0,0,,2025_this_team
Randon Fontenette,173136,CB,VANDERBILT,13,10,1,75.0,0,1,333,0,0,69.5,68.2,63.1,59.2,67.5,72.6,4,6,0,0,33,14.7,10,4,2,100.4,36,0,0,153,8,417,790,88,0,0,88,0,78,702,66,307,463,21,48,5,48,10,1,333,190,9.3,arrival_2025_at_VANDERBILT
