player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Shaun Myers,62235,LB,COLORADO,12,7,0,72.7,0,0,143,1,0,74.1,70.1,29.0,52.4,69.1,54.8,0,3,0,0,33,17.5,7,1,1,125.0,8,0,0,275,2,95,318,21,0,0,21,0,0,297,33,190,19,19,26,4,11,3,2,60,45,7.5,2025_this_team
Martavius French,124277,LB,COLORADO,10,9,0,85.7,0,0,143,1,0,37.7,44.9,82.1,56.6,52.4,43.0,2,2,0,0,28,24.3,9,0,1,117.6,12,1,0,273,3,126,322,27,0,0,27,0,0,295,12,184,19,10,19,2,14,5,0,171,126,14.3,2025_this_team
Jeremiah Brown,150923,LB,COLORADO,10,16,0,79.2,0,0,143,1,0,34.7,63.5,83.5,57.6,80.1,72.2,0,2,0,0,69,10.7,9,0,0,122.0,19,1,0,390,4,145,472,56,0,0,56,0,1,416,56,271,20,37,59,6,24,3,1,239,176,12.6,2025_this_team
Reginald Hughes,157136,LB,COLORADO,12,13,0,75.0,0,0,143,1,0,43.4,54.6,51.9,77.9,55.4,90.0,2,5,0,0,27,1.9,1,0,1,112.3,15,1,0,427,1,178,516,69,0,0,69,0,0,447,71,267,18,16,38,1,20,8,1,149,101,9.9,2025_this_team
Kylan Salter,173149,LB,COLORADO,4,0,0,,0,0,143,0,0,60.4,69.5,69.0,60.0,69.7,75.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,12,0,2,13,0,0,0,0,0,0,13,1,10,0,2,2,1,0,0,0,0,0,,2025_this_team
Liona Lefau,173161,LB,TEXAS,12,25,1,77.8,1,0,311,1,1,46.9,61.7,5.2,62.0,76.4,65.4,1,4,0,0,62,12.5,9,0,2,137.3,21,0,0,432,0,222,462,11,0,0,11,0,1,451,34,206,18,19,38,2,27,5,2,298,196,14.2,arrival_2025_at_TEXAS
Tyler Martinez,175679,LB,NEW MEX ST,4,13,0,91.7,0,0,242,0,0,71.6,66.2,80.7,50.2,61.4,73.2,1,2,0,1,40,10.5,4,3,0,101.0,11,0,0,153,1,95,218,3,0,0,3,0,2,215,15,108,59,14,21,1,12,3,1,119,68,10.8,arrival_2025_at_NEW MEX ST
Bo LaPenna,176580,LB,COLORADO,2,0,0,,0,0,143,0,0,60.0,48.9,68.5,60.0,56.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,4,0,1,4,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Mantrez Walker,198305,LB,COLORADO,1,0,0,,0,0,143,0,0,,62.8,64.4,,60.8,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Gideon Lampron,165250,LB,BOWL GREEN,12,23,0,87.0,0,2,122,0,0,69.7,86.6,86.3,81.8,85.0,77.0,7,9,0,0,18,11.3,15,0,0,97.6,20,3,0,702,3,321,753,24,0,0,24,0,0,729,72,360,24,65,95,17,23,19,0,171,119,8.6,arrival_2025_at_BOWL GREEN (manual: PFF name corrupted as 'Gideon ESPN Lampron')
