player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Danny Scudero,170781,WR,S JOSE ST,12,12.6,18,56.4,39.1,9,23,0,11.1,11,-0.08,45,285,2,58.7,44.8,74.3,,75.0,0.0,0,5,72,0.0,0,535,0,43.6,88,94.8,507,89.5,479,91.8,156,10,8.8,47,1299,479,5.4,14.8,2.56,arrival_2025_at_S JOSE ST
Kam Perry,156397,WR,MIAMI OH,14,18.6,4,46.2,50.0,7,14,0,10.6,5,-0.17,34,221,0,61.4,73.3,77.3,66.0,77.3,0.5,2,5,66,0.3,1,389,1,37.7,42,95.1,370,60.7,236,83.8,91,6,38.8,151,965,220,5.2,23.0,2.61,arrival_2025_at_MIAMI OH
Omarion Miller,171901,WR,COLORADO,11,14.2,9,58.4,61.1,11,18,0,11.8,6,-0.06,26,143,1,56.8,43.2,67.9,,71.5,0.0,0,6,70,0.0,0,324,6,39.6,45,96.6,313,14.2,46,96.5,77,8,85.8,278,805,289,6.4,17.9,2.57,2025_this_team
Joseph Williams,190753,WR,COLORADO,10,11.0,4,67.3,27.3,3,11,0,2.6,1,-0.09,23,143,1,83.4,37.9,67.7,66.8,70.1,4.5,14,2,47,0.3,1,311,5,40.0,37,95.8,298,70.7,220,104.3,55,4,24.8,77,489,157,4.2,13.2,1.64,2025_this_team
DeAndre Moore Jr.,173164,WR,TEXAS,11,11.6,8,77.6,66.7,2,3,0,7.3,3,0.18,25,311,0,69.9,73.6,71.7,,73.3,0.0,0,2,46,0.0,0,274,2,43.3,38,96.0,263,78.8,216,122.1,49,4,20.8,57,532,184,4.8,14.0,2.02,arrival_2025_at_TEXAS
Sincere Brown,123276,WR,COLORADO,12,17.5,3,59.5,33.3,3,9,1,0.0,0,-0.11,12,143,1,76.5,27.7,54.6,,53.8,0.0,0,1,71,0.0,0,387,3,37.6,22,96.1,372,4.4,17,100.7,37,2,95.6,370,376,208,9.5,17.1,1.01,2025_this_team
Zach Atkins,198297,TE,COLORADO,12,4.3,4,66.7,66.7,4,6,0,4.8,1,-0.09,6,143,0,74.4,70.2,53.5,62.9,53.9,63.8,180,0,22,24.8,70,282,1,38.0,20,73.8,208,35.5,100,78.3,30,0,0.7,2,149,101,5.1,7.5,0.72,2025_this_team
Quentin Gibson,198298,WR,COLORADO,11,4.7,6,62.5,33.3,1,3,0,16.7,3,-0.39,3,143,0,45.4,77.7,55.4,,56.8,4.8,5,1,12,0.0,0,105,0,34.7,15,96.2,101,87.6,92,49.3,24,0,7.6,8,71,75,5.0,4.7,0.7,2025_this_team
Hykeem Williams,170360,WR,COLORADO,6,2.7,0,100.0,100.0,1,1,0,0.0,0,0.02,4,143,0,80.1,67.5,59.8,,59.2,0.0,0,0,12,0.0,0,95,0,41.9,9,97.9,93,14.7,14,104.2,9,0,85.3,81,81,57,6.3,9.0,0.87,2025_this_team
Isaiah Hardge,171894,WR,COLORADO,5,0.6,1,100.0,100.0,1,1,0,0.0,0,0.14,2,143,0,76.3,67.0,53.5,,56.2,0.0,0,0,11,0.0,0,45,1,57.1,5,93.3,42,95.6,43,97.5,5,0,4.4,2,37,34,6.8,7.4,0.88,2025_this_team
Quanell Farrakhan Jr.,198299,WR,COLORADO,9,12.0,3,20.0,,0,0,0,50.0,1,-0.32,1,143,0,24.9,78.1,50.7,,50.1,0.0,0,0,17,0.0,0,72,0,34.8,1,95.8,69,9.7,7,41.3,5,0,90.3,65,17,9,9.0,17.0,0.25,2025_this_team
Terrell Timmons Jr.,157423,WR,COLORADO,4,5.5,4,75.0,0.0,0,1,0,0.0,0,-0.19,3,143,0,74.9,65.0,66.6,,70.8,0.0,0,0,28,0.0,0,41,1,43.2,3,90.2,37,14.6,6,116.7,4,0,85.4,35,58,39,13.0,19.3,1.57,2025_this_team
Kaleb Mathis,171898,WR,COLORADO,5,7.0,0,100.0,,0,0,0,0.0,0,0.04,1,143,0,70.7,67.5,53.1,,54.1,5.8,3,0,12,0.0,0,52,0,41.2,2,98.1,51,92.3,48,102.1,2,0,1.9,1,17,3,1.5,8.5,0.33,2025_this_team
Corbin Laisure,198308,TE,COLORADO,1,5.0,0,0.0,,0,0,0,,0,-1.86,0,143,0,,,56.2,67.4,57.5,50.0,2,0,0,25.0,1,4,0,0.0,0,75.0,3,50.0,2,39.6,1,0,0.0,0,0,0,,,0.0,2025_this_team
