player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jason Scott,123549,S,DELAWARE,8,2,0,72.7,0,0,151,0,0,66.9,64.1,85.6,55.7,58.1,74.1,0,0,0,0,39,11.1,2,1,0,130.5,8,0,0,127,3,143,273,32,0,0,32,0,55,241,11,119,56,2,14,0,11,0,1,99,61,12.4,2025_this_team
Nate Evans,143991,CB,DELAWARE,13,5,0,55.4,1,0,151,0,0,74.8,74.3,87.9,58.8,68.5,90.0,0,1,0,3,32,2.7,1,7,5,58.0,31,0,0,45,572,407,715,42,0,0,42,0,0,673,7,301,56,7,31,0,56,1,1,352,145,11.4,2025_this_team
Kshawn Cox Jr.,173607,CB,DELAWARE,11,2,0,70.8,0,0,151,0,0,62.5,62.8,45.5,52.2,68.2,57.8,0,0,0,0,68,15.0,6,1,2,124.3,34,0,0,41,550,362,608,13,0,0,13,0,0,595,7,239,4,6,32,1,48,0,4,408,256,12.0,2025_this_team
Nyair Domnie,173609,CB,DELAWARE,4,1,0,33.3,0,0,151,0,0,44.9,44.1,78.2,54.1,48.4,18.8,0,0,0,0,71,57.1,4,0,1,121.5,1,0,0,5,88,53,96,0,0,0,0,0,0,96,3,40,3,1,2,0,3,0,1,71,42,71.0,2025_this_team
Hass Manning Jr.,173614,S,DELAWARE,11,1,0,66.7,0,0,151,0,0,55.9,53.0,84.7,57.8,44.7,26.6,0,0,0,0,48,38.9,7,3,0,115.5,16,0,0,89,3,136,254,3,0,0,3,0,40,251,2,116,119,3,10,2,24,0,1,253,63,15.8,2025_this_team
KT Seay,173621,S,DELAWARE,13,16,0,64.1,1,0,151,1,0,75.5,75.9,88.0,72.1,71.8,87.7,1,1,0,3,31,7.8,8,3,2,87.2,25,0,0,412,3,513,885,5,0,0,5,0,330,880,1,371,135,21,79,3,39,2,4,277,106,11.1,2025_this_team
Kahlil Ali,175331,S,DELAWARE,13,18,0,66.7,0,0,151,0,0,61.9,64.5,85.7,59.8,68.2,54.5,0,3,1,1,79,16.1,9,2,1,128.8,14,1,0,305,2,282,528,33,0,0,33,0,63,495,29,217,125,15,29,2,21,4,3,259,150,18.5,2025_this_team
Alex Nash-Lally,185324,S,DELAWARE,1,0,0,,0,0,151,0,0,63.5,63.1,67.2,,60.0,76.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,2,0,4,5,0,0,0,0,0,3,5,0,1,0,1,1,0,0,0,0,0,0,,2025_this_team
Mysonne Pollard,188762,S,DELAWARE,13,17,0,60.5,0,1,151,0,0,71.9,70.4,88.2,57.4,63.7,53.4,0,0,0,4,49,18.2,14,1,3,63.0,26,0,0,221,5,422,700,5,0,0,5,0,106,695,2,276,363,16,46,3,43,0,3,269,140,10.3,2025_this_team
Alex Adebayo,199645,CB,DELAWARE,1,0,0,,0,0,151,0,0,55.3,55.1,69.5,,60.0,74.2,0,0,0,0,,,0,0,0,0.0,0,0,0,0,7,6,7,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
AJ Graham,199648,S,DELAWARE,2,0,0,,0,0,151,0,0,61.4,61.6,71.8,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,3,0,5,8,0,0,0,0,0,4,8,0,3,1,0,0,0,0,0,0,0,0,,2025_this_team
Nasir Eatmon,204835,CB,DELAWARE,4,1,0,0.0,0,0,151,0,0,92.5,93.2,70.5,,60.0,74.2,0,0,0,2,,0.0,0,0,0,0.0,0,0,0,1,10,7,11,0,0,0,0,0,0,11,0,4,0,0,0,0,1,0,0,0,0,,2025_this_team
Noah Jefferson,204837,S,DELAWARE,4,0,0,0.0,0,0,151,0,0,49.4,61.1,73.6,,74.9,81.5,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,15,0,12,24,0,0,0,0,0,9,24,0,12,0,3,4,0,2,0,0,0,0,,2025_this_team
Jamarion Kolagbodi,204840,CB,DELAWARE,13,3,0,55.9,0,1,151,0,0,74.1,73.5,84.5,51.9,67.5,80.2,0,0,0,1,40,5.9,2,4,3,73.0,19,0,0,18,406,242,437,9,0,0,9,0,0,428,4,191,4,12,29,1,34,0,1,219,66,11.5,2025_this_team
Jalen Ross,204842,CB,DELAWARE,2,0,0,,0,0,151,0,0,64.1,64.8,72.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,14,8,15,0,0,0,0,0,0,15,0,7,0,0,0,0,0,0,0,0,0,,2025_this_team
