player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Cooper Barkate,159333,WR,DUKE,14,13.5,8,62.6,41.7,10,24,1,7.7,6,0.2,51,154,0,71.2,76.8,75.4,,76.1,0.0,0,2,77,0.0,0,502,3,48.5,72,93.6,470,17.5,88,106.9,115,7,82.5,414,1093,399,5.5,15.2,2.33,2025_this_team
Que'Sean Brown,170041,WR,DUKE,14,10.7,15,71.4,53.8,7,13,0,1.5,1,0.1,36,154,0,90.9,80.5,71.8,,75.4,0.0,0,2,69,0.0,0,425,1,46.9,65,93.4,397,80.9,344,109.4,91,5,18.6,79,844,400,6.2,13.0,2.13,2025_this_team
Javen Nicholas,157109,WR,CHARLOTTE,12,9.4,19,71.4,40.0,6,15,0,1.6,1,-0.2,33,136,1,90.4,68.1,74.8,,75.9,0.3,1,2,64,0.0,0,390,2,36.5,60,95.6,373,82.3,321,108.5,84,5,16.7,65,746,369,6.2,12.4,2.0,arrival_2025_at_CHARLOTTE
Sahmir Hagans,143854,WR,DUKE,14,12.1,7,67.2,33.3,3,9,0,4.4,2,0.17,22,154,2,80.6,30.1,61.6,,61.5,0.2,1,1,35,0.0,0,443,0,48.8,43,93.5,414,19.2,85,115.4,64,6,79.9,354,501,155,3.6,11.7,1.21,2025_this_team
Jeremiah Hasley,162696,TE,DUKE,14,5.7,13,83.3,57.1,4,7,0,4.8,2,0.19,18,154,0,78.2,73.0,72.3,72.4,66.6,59.5,288,0,56,28.3,137,484,5,47.9,40,66.7,323,25.8,125,145.7,48,6,6.0,29,454,287,7.2,11.4,1.41,2025_this_team
Andrel Anthony,144916,WR,DUKE,11,12.9,2,72.2,77.8,7,9,0,3.7,1,0.21,14,154,0,78.9,71.3,67.3,62.1,66.7,0.0,0,0,35,0.5,1,215,0,46.8,26,94.0,202,14.9,32,130.3,36,5,84.7,182,246,76,2.9,9.5,1.22,2025_this_team
Nate Kurisky,156319,TE,LOUISVILLE,11,6.0,0,71.4,60.0,3,5,1,4.8,1,-0.01,8,210,0,74.4,70.2,60.3,62.9,63.3,43.7,93,1,37,21.1,45,213,5,47.1,20,75.6,161,37.1,79,93.9,28,2,2.3,5,157,59,3.0,7.9,0.98,arrival_2025_at_LOUISVILLE
Landen King,146664,TE,DUKE,13,13.4,1,83.3,100.0,3,3,0,0.0,0,0.45,11,154,0,57.3,69.2,69.4,71.0,75.8,59.0,82,0,33,12.9,18,139,1,57.3,15,81.3,113,30.9,43,153.2,18,4,5.8,8,203,48,3.2,13.5,1.8,2025_this_team
Jayden Moore,189388,WR,DUKE,11,7.3,2,63.6,0.0,0,2,0,0.0,0,0.2,3,154,0,78.5,69.0,63.4,,63.2,0.0,0,1,15,0.0,0,55,0,48.1,7,94.5,52,87.3,48,33.1,11,0,12.7,7,42,44,6.3,6.0,0.81,2025_this_team
Jake Taylor,162702,TE,DUKE,12,6.8,0,33.3,0.0,0,1,1,33.3,1,-0.01,2,154,0,31.6,62.9,49.3,55.5,50.5,55.4,36,0,16,20.0,13,65,1,44.3,2,76.9,50,32.3,21,43.8,6,0,9.2,6,20,3,1.5,10.0,0.4,2025_this_team
Chase Tyler,189398,WR,DUKE,11,19.6,0,80.0,100.0,2,2,0,0.0,0,-0.01,3,154,0,74.9,65.0,69.9,,68.0,0.0,0,0,62,0.0,0,36,1,45.7,4,97.2,35,19.4,7,118.8,5,0,80.6,29,120,63,15.8,30.0,3.43,2025_this_team
