player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Anthony Smith,122885,WR,E CAROLINA,13,15.1,6,64.0,40.9,9,22,0,8.6,6,0.11,40,156,1,66.9,51.4,72.4,,74.4,0.2,1,3,72,0.0,0,403,4,48.7,64,93.3,376,8.4,34,110.1,100,7,91.3,368,1053,376,5.9,16.5,2.8,2025_this_team
Brock Spalding,157443,WR,E CAROLINA,13,9.7,4,66.7,45.5,5,11,0,4.5,2,0.23,24,156,1,85.2,44.5,70.8,,70.7,0.3,1,1,55,0.0,0,290,1,51.5,42,94.5,274,77.9,226,103.5,63,3,20.3,59,554,220,5.2,13.2,2.02,2025_this_team
Yannick Smith,190425,WR,E CAROLINA,11,10.8,3,77.2,64.7,11,17,0,4.3,2,0.23,30,156,0,73.1,73.3,66.3,,66.6,0.3,1,0,59,0.0,0,356,3,49.7,44,93.8,334,5.1,18,138.3,57,5,94.7,337,583,155,3.5,13.3,1.75,2025_this_team
Landon Sides,173213,WR,N TEXAS,13,10.7,11,61.4,53.8,7,13,0,5.4,2,0.2,24,251,1,75.1,52.9,57.7,,59.1,0.0,0,2,60,0.0,0,378,3,49.3,35,94.4,357,4.2,16,76.9,57,1,95.8,362,444,192,5.5,12.7,1.24,arrival_2025_at_N TEXAS
Desirrio Riles,175202,TE,E CAROLINA,13,7.8,6,65.1,71.4,5,7,0,12.5,4,0.01,18,156,0,54.4,71.5,62.0,62.3,67.3,32.7,96,1,42,26.5,78,294,3,46.5,28,69.7,205,46.3,136,97.2,43,2,3.4,10,362,179,6.4,12.9,1.77,2025_this_team
Jayvontay Conner,172510,TE,E CAROLINA,12,8.6,6,67.6,33.3,1,3,0,8.0,2,0.23,16,156,1,66.7,29.0,69.8,70.6,72.6,37.2,92,0,79,36.0,89,247,1,51.1,23,59.5,147,42.5,105,130.3,34,3,1.6,4,346,200,8.7,15.0,2.35,2025_this_team
Kanen Hamlett,157546,TE,APP STATE,13,6.6,1,61.9,50.0,1,2,0,18.8,3,-0.13,7,108,0,41.1,68.7,44.1,36.2,54.7,67.6,117,1,35,18.5,32,173,2,39.4,13,77.5,134,26.0,45,93.7,21,2,6.4,11,142,69,5.3,10.9,1.06,arrival_2025_at_APP STATE
Payton Mangrum,124248,WR,E CAROLINA,12,11.9,1,52.6,50.0,2,4,0,0.0,0,0.19,7,156,0,80.9,76.2,59.8,83.3,62.2,1.7,2,0,46,1.7,2,121,2,43.9,10,92.6,112,90.1,109,103.4,19,1,5.8,7,182,60,6.0,18.2,1.63,2025_this_team
Jaquaize Pettaway,173716,WR,E CAROLINA,10,0.8,0,87.5,33.3,1,3,0,6.7,1,0.11,2,156,0,57.3,71.1,50.7,,52.1,1.2,1,0,11,0.0,0,85,1,44.7,14,89.4,76,92.9,79,79.2,16,0,2.4,2,33,37,2.6,2.4,0.43,2025_this_team
Tyler Johnson,164176,WR,E CAROLINA,10,7.9,2,46.7,0.0,0,3,0,22.2,2,0.02,2,156,0,38.0,66.7,57.5,,57.1,0.0,0,0,14,0.0,0,84,0,45.1,7,97.6,82,4.8,4,61.0,15,0,95.2,80,72,21,3.0,10.3,0.88,2025_this_team
Jyron Waiters,184628,WR,E CAROLINA,6,6.6,0,54.5,0.0,0,1,0,33.3,3,0.19,2,156,0,22.9,66.2,50.2,,52.8,0.0,0,0,17,0.0,0,74,1,50.0,6,89.2,66,35.1,26,73.7,11,0,64.9,48,69,23,3.8,11.5,1.05,2025_this_team
Jeremiah Melvin,183392,WR,WAKE,11,18.5,0,30.0,0.0,0,4,0,0.0,0,0.06,1,339,0,73.1,64.1,54.0,,52.1,0.0,0,0,27,0.0,0,56,0,38.9,3,96.4,54,19.6,11,76.7,10,1,80.4,45,39,1,0.3,13.0,0.72,arrival_2025_at_WAKE
Kelan Robinson,144571,WR,E CAROLINA,8,17.0,0,33.3,0.0,0,1,0,0.0,0,-0.08,0,156,0,66.7,61.0,51.9,,52.1,0.0,0,0,7,0.0,0,23,0,31.8,1,95.7,22,8.7,2,42.4,3,0,87.0,20,7,2,2.0,7.0,0.32,2025_this_team
Malik Leverett,175194,WR,E CAROLINA,2,8.5,0,50.0,,0,0,0,0.0,0,0.43,0,156,0,66.7,61.0,50.2,,49.5,0.0,0,0,8,0.0,0,9,0,55.6,1,100.0,9,0.0,0,60.4,2,0,88.9,8,8,3,3.0,8.0,0.89,2025_this_team
Dillon Lorick,190418,WR,E CAROLINA,5,7.0,2,100.0,100.0,1,1,0,0.0,0,-0.41,2,156,0,70.7,62.9,64.5,,64.1,0.0,0,0,12,0.0,0,21,0,40.0,2,95.2,20,4.8,1,154.2,2,1,95.2,20,23,12,6.0,11.5,1.15,2025_this_team
