player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Sterling Miles,123574,ED,E MICHIGAN,10,10,1,75.0,0,0,160,0,0,57.3,63.4,56.6,69.4,60.1,78.0,3,10,0,0,74,8.3,3,1,1,116.7,3,1,0,21,0,23,286,259,0,0,249,10,0,27,110,153,6,14,23,1,4,14,0,111,80,37.0,2025_this_team
Donovan Green,139507,DI,E MICHIGAN,12,19,0,,1,0,160,0,0,58.1,76.2,68.6,60.2,81.4,55.6,4,3,0,0,,11.3,6,0,1,0.0,0,2,0,0,0,0,534,534,172,348,6,8,0,0,209,325,0,22,28,2,0,9,0,0,0,,2025_this_team
Carter Evans,145757,ED,E MICHIGAN,12,8,1,,0,1,160,0,0,70.7,66.0,88.1,68.7,59.4,54.3,5,16,0,0,,15.9,7,0,0,0.0,0,1,0,23,0,12,569,541,0,13,498,30,0,28,223,334,5,21,29,5,0,22,0,0,0,,2025_this_team
Warren-Stevens Tayou,159022,DI,E MICHIGAN,12,7,1,,0,0,160,1,0,60.0,58.7,82.7,51.8,61.5,36.0,1,3,0,0,,20.0,4,0,0,0.0,0,0,0,0,0,0,334,334,36,248,7,43,0,0,141,193,0,5,9,0,0,4,0,0,0,,2025_this_team
Makhi Gilbert,160872,DI,E MICHIGAN,5,2,0,,0,0,160,0,0,60.0,63.6,37.3,60.9,65.3,66.0,0,1,0,0,,8.3,1,0,1,0.0,0,0,0,0,0,0,181,181,8,134,6,33,0,0,76,105,0,5,9,2,0,1,0,0,0,,2025_this_team
Tyrell Martin,174463,DI,E MICHIGAN,12,12,0,,0,0,160,0,0,63.5,67.6,85.6,61.9,67.0,54.9,1,7,0,0,,9.1,3,0,0,0.0,0,1,0,0,0,2,535,535,48,409,8,70,0,0,231,302,0,11,18,5,0,9,0,0,0,,2025_this_team
Messiah Blair,175042,ED,E MICHIGAN,7,2,1,50.0,1,1,160,0,0,44.4,53.9,0.0,54.6,66.0,72.2,1,1,0,0,2,8.3,1,0,2,56.3,1,1,0,12,0,8,146,129,0,0,121,8,0,17,65,73,5,7,9,0,2,3,0,2,3,2.0,2025_this_team
Marvell Eggleston,184046,ED,E MICHIGAN,5,0,0,,0,0,160,0,0,60.0,60.7,74.8,55.4,62.5,74.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,2,0,1,17,15,0,0,15,0,0,2,6,10,0,1,2,0,0,0,0,0,0,,2025_this_team
Reggie Gardner,184050,DI,E MICHIGAN,3,1,0,,0,0,160,0,0,,61.6,70.3,,61.1,74.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,9,9,0,5,0,4,0,0,0,9,0,0,3,0,0,0,0,0,0,,2025_this_team
Noah Patterson,184058,DI,E MICHIGAN,10,3,0,,0,0,160,0,0,62.6,65.6,80.4,53.8,66.4,56.6,0,0,0,0,,7.7,1,0,0,0.0,0,0,0,0,0,0,128,128,41,84,3,0,0,0,46,82,0,6,9,0,0,0,0,0,0,,2025_this_team
