player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Caleb Banks,144146,DI,FLORIDA,3,1,0,,0,0,163,1,0,59.9,68.8,78.6,64.2,68.5,25.2,0,3,0,0,,50.0,4,0,0,0.0,0,0,0,2,0,1,96,94,3,62,4,25,0,2,52,43,0,2,3,0,0,3,0,0,0,,2025_this_team
George Gumbs Jr.,145870,ED,FLORIDA,9,7,0,80.0,0,3,163,1,0,49.1,66.0,88.9,68.2,69.2,63.2,5,5,0,0,15,12.5,4,0,0,105.4,8,3,0,5,1,63,345,332,0,1,330,1,0,13,136,146,7,18,21,3,10,13,0,93,58,11.6,2025_this_team
Jamari Lyons,157729,DI,FLORIDA,12,9,0,100.0,0,0,163,0,0,57.3,60.4,82.6,53.9,65.3,80.8,0,3,0,0,23,0.0,0,0,0,118.8,1,0,0,2,0,1,250,248,55,168,1,24,0,2,105,144,0,5,8,1,1,3,0,23,10,23.0,2025_this_team
Tyreak Sapp,157752,ED,FLORIDA,12,9,0,,0,0,163,0,0,63.8,65.0,42.2,59.4,68.8,59.4,2,14,0,0,,14.3,5,0,2,0.0,0,2,0,4,0,18,407,403,0,28,226,149,0,4,189,200,0,17,21,4,0,18,0,0,0,,2025_this_team
Kofi Asare,158754,ED,FLORIDA,11,3,0,100.0,0,0,163,0,0,66.2,62.3,85.5,55.5,62.5,72.2,0,1,0,0,9,6.3,1,0,0,97.9,2,1,0,2,0,16,154,149,0,0,149,0,0,5,52,86,3,5,12,2,2,2,0,15,17,7.5,2025_this_team
Kamran James,174249,ED,FLORIDA,12,9,2,100.0,0,1,163,0,0,61.1,68.3,86.4,62.0,69.7,71.9,3,8,0,0,22,9.1,4,0,0,118.8,2,5,0,0,0,21,402,402,0,59,226,117,0,0,174,207,0,24,31,1,2,16,0,28,15,14.0,2025_this_team
Sebastian Scott,174263,DI,FLORIDA,1,0,0,,0,0,163,0,0,,56.2,67.4,66.7,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Layne Swafford,174265,ED,FLORIDA,1,0,0,,0,0,163,0,0,,62.0,66.0,,60.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Brendan Bett,174627,DI,FLORIDA,12,14,0,0.0,0,0,163,0,0,57.4,66.6,30.9,59.1,72.9,58.1,0,6,0,0,,10.3,4,0,2,39.6,0,2,0,2,0,2,346,344,101,197,6,40,0,2,156,188,0,16,21,2,1,8,0,0,0,,2025_this_team
DK Kalu,174631,DI,BAYLOR,8,8,0,,0,0,118,0,0,60.0,59.7,83.5,54.0,61.5,68.4,0,4,0,0,,6.7,1,0,0,0.0,0,0,0,0,0,0,281,281,67,214,0,0,0,0,124,157,0,4,6,0,0,4,0,0,0,,arrival_2025_at_BAYLOR
Mason Clinton,176342,DI,SO MISS,12,1,0,,0,0,296,0,0,72.9,58.5,44.1,59.1,55.8,69.4,0,4,0,0,,6.7,1,0,1,0.0,0,0,0,2,0,1,204,202,57,140,0,5,0,2,98,105,0,10,13,2,0,4,0,0,0,,arrival_2025_at_SO MISS
Michai Boireau,184418,DI,FLORIDA,9,9,0,,0,0,163,0,0,79.3,66.6,83.8,61.3,62.4,74.9,0,7,0,1,,4.5,1,0,0,0.0,0,2,0,0,0,3,296,296,117,169,1,9,0,0,143,150,0,11,12,0,0,9,0,0,0,,2025_this_team
LJ McCray,184427,ED,FLORIDA,1,0,0,,0,0,163,0,0,,60.5,69.8,59.2,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,4,3,0,0,2,1,0,1,3,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Brien Taylor Jr.,184433,DI,FLORIDA,12,8,0,100.0,0,1,163,0,0,59.0,66.2,50.1,58.8,72.4,63.3,1,5,0,0,8,12.5,3,0,1,100.0,1,3,0,0,0,2,268,268,2,161,13,92,0,0,140,126,0,10,13,1,1,9,0,8,15,8.0,2025_this_team
Tarvorise Brown,190266,DI,FLORIDA,3,1,0,,0,0,163,0,0,,57.9,75.4,57.2,58.4,74.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,27,27,12,11,0,4,0,0,9,18,0,0,3,0,0,0,0,0,0,,2025_this_team
Titus Bullard,190267,ED,FLORIDA,1,0,0,,0,0,163,0,0,60.0,73.1,69.5,59.7,63.3,73.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,3,3,0,0,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,,2025_this_team
Emmanuel Oyebadejo,198573,ED,JVILLE ST,14,10,6,100.0,0,2,196,0,0,67.5,80.2,57.0,73.9,78.2,61.3,6,25,0,0,8,13.3,6,0,2,100.0,1,5,0,1,0,10,653,652,2,81,301,268,0,1,371,272,0,27,29,2,1,36,0,8,4,8.0,arrival_2025_at_JVILLE ST
Jalen Wiggins,200119,ED,FLORIDA,3,0,0,0.0,0,0,163,0,0,61.2,71.1,74.5,63.0,70.5,70.8,0,1,0,0,,0.0,0,0,0,39.6,0,0,0,0,0,3,18,18,0,0,13,5,0,0,8,7,0,1,1,0,1,1,0,0,0,,2025_this_team
