player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Austin Barber,146692,T,FLORIDA,12,100.0,2,163,83.5,66.7,90.0,1,13,400,100.0,100.2,97.5,7,17,3,750,0,0,745,750,422,421,0,0,328,5,2025_this_team
Jake Slaughter,146693,C,FLORIDA,12,100.0,2,163,79.3,84.1,80.2,1,2,400,100.0,100.2,99.4,7,4,1,748,748,0,0,748,422,421,0,0,326,0,2025_this_team
Harrison Moore,183220,C,GA TECH,11,100.0,0,176,64.0,69.0,66.7,6,9,316,100.0,100.0,97.6,7,15,0,682,427,254,0,682,332,332,0,0,350,1,arrival_2025_at_GA TECH
Knijeah Harris,174244,G,FLORIDA,12,100.0,0,163,65.1,74.4,63.4,1,10,354,100.0,100.3,97.9,3,13,2,672,0,672,0,672,375,374,0,0,297,0,2025_this_team
Damieon George Jr.,123915,G,FLORIDA,12,100.0,2,163,65.5,73.7,63.5,0,9,319,100.0,100.3,98.3,4,10,1,603,0,0,0,603,337,336,603,0,266,0,2025_this_team
Caden Jones,174252,T,FLORIDA,12,100.0,1,163,54.2,51.5,56.4,2,24,290,100.0,100.3,95.2,2,27,1,541,0,0,5,541,309,308,0,535,232,1,2025_this_team
Emeka Ugorji,200326,G,STANFORD,10,100.0,1,300,46.5,27.6,51.1,6,11,290,100.0,100.0,94.7,2,24,7,523,0,0,0,523,302,302,434,89,221,0,arrival_2025_at_STANFORD
TJ Shanahan Jr.,172597,G,PENN STATE,12,100.0,0,266,63.8,76.9,59.1,1,6,201,100.0,100.0,98.3,0,7,0,419,0,147,0,419,206,206,269,0,213,3,arrival_2025_at_PENN STATE
Bryce Lovett,174256,T,FLORIDA,11,100.0,1,163,59.5,56.3,73.5,1,8,136,100.0,100.0,96.7,6,9,0,251,0,0,0,251,140,140,0,251,111,0,2025_this_team
Kamryn Waites,147153,G,FLORIDA,10,100.0,0,163,75.1,80.7,73.8,0,1,86,100.0,100.0,99.4,1,1,0,167,0,115,0,167,89,89,51,0,78,1,2025_this_team
Roderick Kearney,174253,G,FLORIDA,7,100.0,0,163,55.2,34.1,67.0,1,5,85,100.0,100.0,96.5,3,6,0,132,0,0,0,132,89,89,132,0,43,0,2025_this_team
Eagan Boyer,183597,T,PENN STATE,3,100.0,0,266,48.2,29.5,54.0,2,2,39,100.0,100.0,94.9,0,4,0,84,0,0,82,84,40,40,1,0,44,0,arrival_2025_at_PENN STATE
Mark Faircloth,190270,T,FLORIDA,2,100.0,0,163,77.7,63.6,80.6,0,1,18,100.0,100.0,97.2,0,1,0,33,0,0,32,33,19,19,0,0,14,0,2025_this_team
Jason Zandamela,190281,C,FLORIDA,1,100.0,0,163,64.2,72.5,61.3,0,1,18,100.0,100.0,97.2,0,1,0,31,31,0,0,31,19,19,0,0,12,0,2025_this_team
Hayden Clem,146695,C,FLORIDA,2,100.0,0,163,65.4,75.1,63.9,0,0,4,100.0,100.0,100.0,0,0,0,9,8,0,0,9,4,4,1,0,5,0,2025_this_team
Devon Manuel,146633,T,FLORIDA,1,100.0,0,163,60.0,66.9,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,2025_this_team
